"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",3,5,3,1,5,5,1,5,5,3,5,4,4,5,6,4,1,5,4,5,5,5,5,5,5,5,3
"2",5,3,5,7,3,3,7,3,3,5,3,1,1,7,9,1,7,3,1,3,3,3,3,3,3,3,5
"3",3,1,3,5,1,1,5,1,1,3,1,4,4,1,2,4,5,1,4,1,1,1,1,1,1,1,3
"4",5,4,5,3,4,4,3,4,4,5,4,1,1,4,2,1,3,4,1,4,4,4,4,4,4,4,5
"5",1,3,1,6,3,3,6,3,3,1,3,5,5,3,8,5,6,3,5,3,3,3,3,3,3,3,1
"6",1,6,1,2,6,6,2,6,6,1,6,4,4,6,3,4,2,6,4,6,6,6,6,6,6,6,1
"7",2,1,2,5,1,1,5,1,1,2,1,6,6,1,3,6,5,1,6,1,1,1,1,1,1,1,2
"8",6,7,6,3,7,7,3,7,7,6,7,3,3,7,9,3,3,7,3,7,7,7,7,7,7,7,6
"9",2,4,2,3,4,4,3,4,4,2,4,1,1,4,5,1,3,4,1,4,4,4,4,4,4,4,2
"10",5,1,5,4,1,1,4,1,1,5,1,3,3,4,7,3,4,1,3,1,1,1,1,1,1,1,5
"11",3,4,3,2,4,4,2,4,4,3,4,5,5,2,1,5,2,4,5,4,4,4,4,4,4,4,3
"12",2,4,2,1,4,4,1,4,4,2,4,3,3,4,3,3,1,4,3,4,4,4,4,4,4,4,2
"13",5,1,5,4,1,1,4,1,1,5,1,2,2,1,3,2,4,1,2,1,1,1,1,1,1,1,5
"14",5,3,5,1,3,3,1,3,3,5,3,6,6,3,2,6,1,3,6,3,3,3,3,3,3,3,5
"15",1,4,1,2,4,4,2,4,4,1,4,3,3,4,3,3,2,4,3,4,4,4,4,4,4,4,1
"16",5,4,5,3,4,4,3,4,4,5,4,3,3,4,2,3,3,4,3,4,4,4,4,4,4,4,5
"17",3,5,3,2,5,5,2,5,5,3,5,4,4,2,6,4,2,5,4,5,5,5,5,5,5,5,3
"18",5,3,5,1,3,3,1,3,3,5,3,8,8,3,2,8,1,3,8,3,3,3,3,3,3,3,5
"19",7,1,7,5,1,1,5,1,1,7,1,4,4,5,6,4,5,1,4,1,1,1,1,1,1,1,7
"20",2,4,2,1,4,4,1,4,4,2,4,3,3,4,3,3,1,4,3,4,4,4,4,4,4,4,2
"21",7,5,7,4,5,5,4,5,5,7,5,2,2,4,1,2,4,5,2,5,5,5,5,5,5,5,7
"22",3,4,3,9,4,4,9,4,4,3,4,7,7,4,1,7,5,4,7,4,4,4,4,4,4,4,3
"23",5,4,5,1,4,4,1,4,4,5,4,1,1,1,2,1,1,4,1,4,4,4,4,4,4,4,5
"24",3,1,3,5,1,1,5,1,1,3,1,6,6,5,4,6,5,1,6,1,1,1,1,1,1,1,3
"25",7,6,7,5,6,6,5,6,6,7,6,3,3,6,8,3,9,6,3,6,6,6,6,6,6,6,7
"26",3,5,3,6,5,5,6,5,5,3,5,2,2,6,7,2,6,5,2,5,5,5,5,5,5,5,3
"27",1,5,1,2,5,5,2,5,5,1,5,4,4,2,3,4,2,5,4,5,5,5,5,5,5,5,1
"28",2,4,2,3,4,4,3,4,4,2,4,1,1,4,5,1,3,4,1,4,4,4,4,4,4,4,2
"29",6,5,6,3,5,5,3,5,5,6,5,2,2,5,1,2,3,5,2,5,5,5,5,5,5,5,6
"30",3,10,3,5,10,10,5,10,10,3,10,7,7,10,4,7,5,10,7,10,10,10,10,10,10,10,3
"31",4,5,4,6,5,5,6,5,5,4,5,2,2,5,1,2,6,5,2,5,5,5,5,5,5,5,4
"32",7,6,7,1,6,6,1,6,6,7,6,2,2,6,5,2,1,6,2,6,6,6,6,6,6,6,7
"33",5,2,5,1,2,2,1,2,2,5,2,1,1,2,4,1,1,2,1,2,2,2,2,2,2,2,5
"34",3,1,3,4,1,1,4,1,1,3,1,5,5,4,6,5,4,1,5,1,1,1,1,1,1,1,3
"35",7,4,7,1,4,4,1,4,4,7,4,2,2,4,2,2,1,4,2,4,4,4,4,4,4,4,7
"36",7,6,7,2,6,6,2,6,6,7,6,3,3,6,4,3,2,6,3,6,6,6,6,6,6,6,7
"37",3,4,3,6,4,4,6,4,4,3,4,2,2,6,7,2,6,4,2,4,4,4,4,4,4,4,3
"38",4,3,4,2,3,3,2,3,3,4,3,5,5,2,1,5,2,3,5,3,3,3,3,3,3,3,4
"39",5,3,5,4,3,3,4,3,3,5,3,2,2,3,1,2,4,3,2,3,3,3,3,3,3,3,5
"40",4,3,4,2,3,3,2,3,3,4,3,2,2,3,5,2,2,3,2,3,3,3,3,3,3,3,4
"41",8,4,8,5,4,4,5,4,4,8,4,7,7,5,2,7,5,4,7,4,4,4,4,4,4,4,8
"42",1,3,1,2,3,3,2,3,3,1,3,2,2,3,4,2,2,3,2,3,3,3,3,3,3,3,1
"43",5,1,5,9,1,1,9,1,1,5,1,9,9,1,4,9,9,1,9,1,1,1,1,1,1,1,5
"44",1,3,1,7,3,3,7,3,3,1,3,6,6,7,5,6,7,3,6,3,3,3,3,3,3,3,1
"45",2,5,2,3,5,5,3,5,5,2,5,3,3,5,1,3,3,5,3,5,5,5,5,5,5,5,2
"46",7,3,7,8,3,3,8,3,3,7,3,2,2,8,1,2,8,3,2,3,3,3,3,3,3,3,7
"47",3,2,3,1,2,2,1,2,2,3,2,4,4,1,5,4,1,2,4,2,2,2,2,2,2,2,3
"48",4,2,4,6,2,2,6,2,2,4,2,1,1,2,3,1,6,2,1,2,2,2,2,2,2,2,4
"49",7,3,7,4,3,3,4,3,3,7,3,6,6,3,1,6,4,3,6,3,3,3,3,3,3,3,7
"50",5,6,5,7,6,6,7,6,6,5,6,2,2,6,4,2,7,6,2,6,6,6,6,6,6,6,5
"51",3,9,3,6,9,9,6,9,9,3,9,2,2,9,5,2,4,9,2,9,9,9,9,9,9,9,3
"52",5,2,5,7,2,2,7,2,2,5,2,4,4,7,1,4,7,2,4,2,2,2,2,2,2,2,5
"53",8,5,8,2,5,5,2,5,5,8,5,4,4,5,3,4,6,5,4,5,5,5,5,5,5,5,8
"54",1,5,1,2,5,5,2,5,5,1,5,2,2,5,4,2,2,5,2,5,5,5,5,5,5,5,1
