"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118"
"1",17,4,1,9,1,12,12,4,14,4,16,15,12,15,17,4,17,15,12,14,9,15,9,9,4,6,9,9,2,15,9,15,6,4,2,4,1,14,4,1,2,15,2,2,1,4,9,17,12,2,1,17,1,15,17,15,17,4,1,1,17,9,4,4,1,9,1,15,9,9,1,10,17,12,6,11,2,10,1,13,15,15,15,10,15,13,6,15,12,14,12,11,2,1,4,2,2,17,17,15,2,4,14,1,13,1,15,15,2,14,2,15,6,2,6,2,11,12
"2",4,13,10,9,10,16,16,13,17,13,3,14,16,3,4,13,4,3,6,17,9,14,16,9,13,18,4,16,7,14,9,14,18,13,7,13,10,17,13,10,7,7,7,7,10,13,9,4,16,7,10,4,10,14,4,14,4,13,10,10,4,9,13,13,10,9,10,14,9,9,10,16,4,16,18,15,6,16,10,16,14,14,14,16,14,16,18,3,14,17,15,15,6,10,13,6,7,4,4,14,6,13,17,10,16,10,14,14,6,17,7,3,18,6,18,6,15,14
"3",15,9,12,17,12,1,1,9,5,9,9,3,1,18,15,9,15,18,1,5,17,3,10,17,9,8,10,10,17,3,17,3,8,9,18,9,12,5,9,12,18,18,18,18,12,9,17,15,1,17,12,15,12,3,15,3,15,9,12,12,15,17,9,9,12,17,12,3,5,17,12,2,15,1,8,14,1,2,12,1,3,3,3,2,3,1,8,18,7,5,14,14,1,12,9,1,17,15,15,3,1,9,5,12,3,12,3,3,2,5,17,18,8,1,8,18,14,7
"4",14,3,11,12,11,1,1,3,3,3,15,8,1,14,14,3,14,14,13,12,12,8,7,12,3,15,7,7,10,8,12,8,15,12,10,3,11,12,3,11,10,14,10,10,11,3,3,14,1,10,11,14,11,8,12,8,14,3,11,11,14,12,3,3,11,12,11,8,12,12,11,1,14,1,15,13,14,1,11,1,8,8,8,1,8,1,15,14,13,10,13,13,14,11,3,14,10,14,14,8,14,3,12,11,8,11,8,8,10,12,10,14,15,14,15,10,13,13
"5",2,15,6,15,6,16,16,15,1,15,22,20,16,2,2,15,2,2,14,1,15,20,11,15,15,8,11,11,21,20,15,20,8,15,21,15,6,1,15,6,21,2,21,21,6,15,15,2,16,21,6,2,6,20,2,20,2,15,6,6,2,15,15,15,6,14,6,20,15,15,6,3,2,16,8,10,14,3,6,16,20,20,20,3,20,16,8,2,21,1,2,10,14,6,15,14,21,2,2,20,14,15,1,6,16,6,20,20,3,1,21,2,8,14,8,14,10,16
"6",14,7,8,4,8,11,11,7,7,7,2,13,11,13,14,7,14,13,9,7,4,13,5,4,7,7,5,5,6,13,4,13,7,7,6,7,8,7,7,8,6,13,6,6,8,7,4,14,11,6,8,14,8,13,14,13,14,7,8,8,14,4,7,7,8,4,8,13,7,4,8,6,14,11,7,10,10,6,8,5,13,13,13,6,13,5,7,13,9,14,9,10,10,8,7,10,6,14,14,13,10,7,7,8,5,8,13,13,6,7,6,13,7,10,10,10,10,9
"7",10,6,13,6,13,4,4,6,1,6,14,3,4,9,10,6,10,9,9,1,6,3,12,6,6,6,12,12,15,3,6,3,6,6,15,6,13,1,6,13,15,3,15,15,13,6,6,10,4,15,13,10,13,3,10,3,10,6,13,13,10,6,6,6,13,13,13,3,6,6,13,15,10,4,6,11,13,15,13,4,3,3,3,15,3,4,6,9,9,1,9,11,13,13,6,13,15,10,10,3,13,6,1,13,4,13,3,3,15,1,15,9,6,13,6,13,11,9
"8",14,2,13,2,13,10,10,2,15,2,3,6,10,13,14,2,14,13,18,15,2,6,6,2,2,7,14,6,12,6,2,6,7,2,12,2,13,15,2,13,12,12,12,12,13,2,2,14,10,12,13,14,13,6,14,6,14,2,13,13,14,2,2,2,13,15,13,6,2,2,13,12,14,10,7,18,15,12,13,8,6,6,6,12,6,8,7,13,18,15,18,18,15,13,2,15,12,14,14,6,15,2,15,13,8,13,6,6,12,15,12,13,7,15,7,15,18,18
"9",1,6,5,7,5,3,3,6,6,6,4,2,3,3,1,6,1,3,3,7,7,2,5,7,6,6,1,5,4,2,7,2,2,6,4,6,5,7,6,5,4,1,4,4,5,6,6,1,3,4,5,1,5,2,1,2,1,6,5,5,1,7,6,6,5,7,5,2,7,7,5,4,1,3,2,7,7,4,5,3,2,2,2,4,2,3,2,3,3,1,3,7,7,5,6,7,4,1,1,2,7,6,7,5,3,5,2,2,4,7,4,3,2,7,2,4,6,3
"10",8,11,4,8,4,1,1,11,3,11,8,10,1,5,5,11,8,5,1,3,8,10,1,8,11,11,1,1,7,10,8,10,10,8,7,11,4,3,11,4,7,7,7,7,4,11,11,8,1,7,4,8,8,10,8,10,8,11,4,4,8,8,11,11,4,11,4,10,3,8,4,12,8,1,10,5,11,12,4,1,10,10,10,12,10,1,10,5,1,3,5,5,11,4,11,11,7,8,8,10,11,11,3,4,1,4,10,10,12,3,7,5,10,11,11,7,5,1
