"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"1",7,5,33,21,13,30,30,21,30,21,6,33,7,36,33,33,33,6,30,36,33,28,33,6,31,33,33,1,20,33,33,11,21,31,6,6,13,30,20,5,6,30,13,14,21,21,27,21,20,28,7,13,28,33,21,28,13,20,1,21,27,30,13,13,30,30,20,13,6,7,21,30,6,21,1,13,21,13,6,13,17,17,21
"2",16,1,5,21,28,22,22,21,22,21,29,5,16,27,5,5,5,29,22,27,5,5,5,23,18,28,5,28,28,5,5,17,21,18,23,23,23,22,28,1,23,22,28,33,21,21,4,21,28,9,16,28,9,5,21,9,28,28,31,21,4,22,23,23,22,22,28,23,29,16,21,22,23,21,31,23,31,28,21,28,10,10,21
"3",11,9,10,6,12,3,3,6,3,6,7,10,11,9,10,10,10,7,3,9,10,1,10,2,9,10,10,1,4,10,10,10,6,9,2,2,11,3,4,9,2,3,12,5,6,6,12,6,4,1,11,12,1,10,6,1,12,4,1,6,12,3,11,11,3,3,4,11,7,11,6,3,2,6,1,11,6,12,2,12,7,7,6
"4",5,23,13,10,12,17,17,10,17,10,16,13,5,21,13,13,13,16,17,21,13,16,13,11,19,13,13,11,21,13,13,6,10,19,11,11,12,17,21,23,11,17,12,11,10,10,12,10,21,16,5,12,16,13,10,16,12,21,11,10,12,17,12,12,17,17,21,12,16,5,10,17,11,21,11,12,11,12,11,12,2,2,21
"5",27,11,8,30,25,6,6,30,6,30,14,8,27,24,8,8,8,14,6,24,8,4,8,28,14,8,8,31,9,8,8,14,30,14,28,28,22,6,9,11,28,6,25,27,30,30,37,30,9,4,27,25,4,8,30,4,25,9,31,30,37,6,22,22,6,6,9,22,14,27,30,6,28,30,31,22,30,25,28,25,12,12,30
"6",4,7,3,7,2,1,1,7,1,7,6,3,4,2,3,3,3,6,1,2,3,3,3,5,5,3,3,8,8,3,3,2,7,5,5,8,8,1,8,7,5,1,2,3,7,7,2,7,8,2,4,2,2,3,7,2,2,8,2,7,2,1,8,8,1,1,8,8,6,4,7,1,5,7,7,8,7,2,5,2,6,6,7
"7",3,7,8,11,2,5,5,11,5,11,9,8,3,9,8,8,8,9,5,9,8,8,8,9,4,2,8,2,2,8,8,4,11,4,9,9,4,5,2,7,9,5,2,8,11,11,2,11,2,9,3,2,9,8,11,9,2,2,2,11,2,5,4,4,5,5,2,4,9,3,9,5,9,11,8,4,11,2,11,2,1,1,11
"8",28,2,19,11,30,3,3,11,3,11,21,19,28,2,19,19,19,21,3,2,19,19,19,9,16,19,19,30,18,19,19,7,11,16,9,9,21,3,18,2,9,3,30,23,11,11,25,11,18,23,28,30,23,19,11,23,30,18,30,11,25,3,21,21,3,3,18,21,21,28,11,3,9,11,28,5,11,30,11,30,15,15,11
"9",16,10,5,12,22,6,6,12,6,12,23,5,16,21,5,5,5,23,6,21,5,10,5,12,24,5,5,20,20,5,5,26,12,24,12,20,2,6,10,10,12,6,22,15,12,12,22,12,20,10,16,22,10,5,12,10,22,20,22,12,22,6,2,2,6,6,20,2,23,16,12,6,12,12,5,10,12,22,12,22,14,14,12
"10",2,2,6,10,3,5,5,10,5,10,2,6,2,9,6,6,6,2,5,9,6,4,6,3,1,6,6,3,3,6,6,2,10,1,3,3,3,5,7,2,3,5,3,6,10,10,3,10,3,4,2,3,4,6,10,4,3,3,9,10,3,5,3,3,5,5,3,3,2,2,10,5,3,10,9,7,3,3,3,3,9,9,10
"11",21,13,32,33,4,12,12,33,12,6,27,32,21,14,32,32,32,27,12,14,32,6,32,9,23,32,32,25,10,32,32,15,33,23,9,10,21,12,10,13,9,12,4,19,33,33,4,33,10,6,21,4,6,32,33,6,4,10,25,33,4,12,21,21,12,12,10,21,27,21,9,12,9,9,25,10,9,4,9,4,2,2,9
"12",16,6,32,1,9,15,15,1,15,1,33,32,16,33,32,32,32,33,15,33,32,3,32,8,30,32,32,3,26,32,32,14,1,30,8,8,8,15,26,6,8,15,9,19,1,1,9,1,26,3,16,9,3,32,1,3,9,26,3,1,9,15,8,8,15,15,26,8,33,16,1,15,8,1,3,11,1,9,8,9,16,16,1
"13",12,9,4,1,11,3,3,1,3,1,5,4,12,13,4,4,4,5,3,13,4,15,4,5,11,4,4,7,14,4,4,8,1,11,5,14,5,3,10,9,5,3,11,1,1,1,11,1,14,15,12,11,15,4,1,15,11,14,7,1,11,3,5,5,3,3,14,5,5,12,1,3,5,1,7,10,1,11,5,11,8,8,1
"14",8,9,9,2,3,4,4,2,4,2,5,9,8,7,9,9,9,5,4,7,9,9,9,8,10,9,9,10,10,9,9,3,2,10,8,8,3,4,3,9,8,4,3,1,2,2,3,2,10,3,8,3,6,9,2,6,3,10,3,2,3,4,3,3,4,4,10,3,5,8,2,4,8,2,2,3,2,3,2,3,1,1,2
"15",16,35,33,6,27,36,36,6,36,6,23,33,16,26,33,33,33,23,36,26,33,33,33,24,39,33,33,3,9,33,33,21,6,39,24,24,3,36,9,35,24,36,27,30,6,6,18,6,9,4,16,27,4,33,6,4,27,9,3,6,18,36,3,3,36,36,9,3,23,16,6,36,24,6,3,1,6,27,6,27,13,13,6
"16",10,25,6,5,1,2,2,5,2,5,24,6,10,21,6,6,6,24,2,21,6,6,6,21,10,6,6,1,1,6,6,13,5,10,21,21,5,2,1,25,21,2,1,23,5,5,1,5,1,17,10,1,17,6,5,17,1,1,27,5,1,2,5,5,2,2,1,5,24,10,5,2,21,5,27,1,27,1,5,1,11,11,5
"17",7,7,2,4,6,3,3,4,3,4,5,2,7,4,2,2,2,5,3,4,2,2,2,7,1,2,2,6,7,2,2,7,4,1,7,7,7,3,7,7,7,3,6,1,4,4,6,4,7,5,7,6,5,2,4,5,6,7,6,4,6,3,7,7,3,3,7,7,5,7,4,3,7,4,6,7,6,6,7,6,5,5,4
