"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257"
"1",16,4,20,20,21,16,20,17,27,22,24,33,22,8,13,8,22,17,17,16,16,21,22,22,17,22,20,22,4,17,22,16,17,21,17,12,22,20,16,22,24,22,22,22,22,16,22,16,22,22,22,22,22,22,20,17,8,16,24,8,20,13,17,20,16,17,20,13,21,20,17,27,17,21,12,16,27,17,19,4,12,27,16,8,30,24,19,19,20,22,12,4,17,22,16,22,28,16,33,12,12,16,16,12,4,20,19,16,24,8,21,18,24,22,21,12,20,22,24,20,21,20,20,19,4,17,17,20,17,17,4,27,19,33,22,8,22,24,19,12,17,20,16,24,8,22,17,16,20,24,17,16,8,22,16,16,21,6,16,20,24,20,17,18,4,4,12,22,20,22,1,22,24,17,20,24,27,27,12,17,22,16,17,21,17,17,17,17,4,4,17,12,22,18,12,18,12,17,20,8,20,4,4,22,22,17,17,22,8,20,21,20,20,8,18,20,16,19,31,21,18,17,16,20,20,17,22,24,16,16,16,16,4,31,17,18,33,22,22,17,20,16,22,17,27,30,17,20,22,17,16,27,17,20,8,22,16
"2",16,9,2,18,15,8,2,18,5,1,5,20,1,17,24,17,1,18,18,8,8,15,1,1,18,22,2,1,9,18,1,16,18,15,18,21,22,2,8,1,5,1,1,1,1,8,1,16,1,1,1,1,1,22,2,18,17,16,5,17,2,24,18,2,16,13,2,24,15,2,18,3,18,15,3,16,3,18,23,9,3,3,16,17,22,5,23,23,2,1,23,9,18,15,16,1,19,16,20,23,3,16,16,23,9,2,23,16,5,17,15,24,5,1,15,21,2,22,5,2,15,2,2,23,9,18,18,2,18,18,9,3,23,20,1,17,22,5,23,23,18,2,16,5,17,1,18,16,2,5,18,16,17,1,16,16,17,18,16,2,5,2,13,15,9,9,21,1,2,1,5,22,5,13,2,5,3,5,3,18,1,16,18,15,18,18,18,18,9,9,18,3,1,15,23,15,21,18,17,17,2,9,9,1,1,18,18,22,17,2,5,2,2,17,15,2,16,23,17,15,24,18,16,2,2,18,1,5,16,16,16,16,9,17,18,2,24,1,1,18,2,16,1,18,3,22,18,2,1,18,16,5,18,2,17,1,16
"3",5,1,9,9,5,2,9,7,3,2,8,6,2,8,6,8,2,7,7,2,2,3,2,2,7,2,9,2,1,7,2,5,7,3,7,1,2,9,2,2,8,2,2,2,2,2,2,5,2,2,2,2,2,2,9,7,8,5,8,8,9,6,7,9,5,7,9,6,5,9,7,5,7,3,4,5,5,7,6,1,4,5,5,8,5,8,6,6,9,2,3,1,7,5,5,2,2,5,6,3,4,5,5,3,1,9,6,5,8,8,3,6,8,2,3,1,9,2,8,9,3,9,9,6,1,7,7,9,7,7,3,3,3,6,2,8,2,8,6,3,7,9,5,8,8,2,7,5,9,8,7,5,8,2,5,5,8,5,5,9,8,9,7,7,1,1,1,2,9,2,4,2,8,7,9,8,5,3,4,7,2,5,7,3,7,7,7,7,1,1,7,4,2,7,3,7,1,7,8,8,9,1,1,2,2,7,7,2,8,9,6,9,9,8,7,9,5,6,8,3,6,7,5,9,9,7,2,8,5,5,5,5,1,8,7,9,5,2,2,7,9,5,2,7,5,5,7,9,2,7,5,3,7,9,8,2,5
"4",4,6,21,21,7,7,21,26,4,7,17,13,7,20,15,20,7,26,26,20,20,16,7,7,26,7,25,7,6,26,25,4,26,16,26,1,7,25,20,7,17,7,7,7,7,20,7,4,7,7,7,7,7,7,25,26,20,4,17,20,21,15,26,21,4,26,25,15,7,25,26,17,26,16,16,4,17,26,24,6,16,17,4,20,12,17,24,24,21,7,7,6,26,2,4,7,2,4,13,7,16,25,4,7,6,21,24,4,17,20,16,16,17,7,16,1,21,7,17,21,16,21,21,24,6,26,26,25,26,26,6,16,16,13,7,20,7,17,24,7,26,25,4,17,20,7,26,4,25,17,26,4,20,7,4,4,25,6,4,25,17,21,26,11,6,6,1,7,25,7,13,7,17,25,25,17,17,4,16,26,7,4,26,16,26,26,26,26,6,6,26,16,7,11,7,11,1,26,20,20,25,6,6,7,7,26,26,7,20,25,16,21,21,20,11,25,4,24,10,16,16,26,4,21,21,26,7,17,4,4,4,4,6,10,26,21,9,7,7,26,21,4,25,26,11,12,26,25,7,26,4,4,26,21,20,7,4
"5",16,15,2,2,16,9,2,1,16,9,12,7,9,11,2,11,9,1,1,4,4,10,9,9,1,9,15,9,15,1,15,16,1,10,1,8,9,15,4,9,12,9,9,9,9,4,9,16,9,9,9,9,9,9,15,1,11,16,12,11,2,2,1,2,16,8,15,2,16,15,1,3,1,10,12,16,3,1,9,15,12,3,16,11,1,12,16,16,2,9,15,15,1,1,16,9,6,16,7,15,10,15,16,15,15,2,16,16,12,11,10,10,12,9,10,9,2,9,12,2,10,2,2,16,15,1,1,15,1,1,10,3,10,7,9,11,9,12,16,15,1,15,16,12,11,9,1,16,15,12,1,16,11,9,16,16,15,1,16,15,12,2,8,8,15,15,9,9,15,9,14,9,12,8,15,12,3,16,12,1,9,16,1,10,1,1,1,1,15,15,1,12,9,8,15,8,9,1,11,11,15,15,15,9,9,1,1,9,11,15,6,2,2,11,8,15,16,16,5,10,10,1,16,2,2,1,9,12,16,16,16,16,15,5,1,2,15,9,9,1,2,9,15,1,3,1,1,15,9,1,16,16,1,2,11,9,16
"6",24,17,29,29,31,6,29,26,27,11,28,3,11,29,23,29,11,26,26,6,6,14,11,11,26,20,32,11,17,26,32,24,26,14,26,1,20,32,6,11,28,11,11,11,11,6,11,24,11,11,11,11,11,20,32,26,29,24,28,32,29,23,26,29,24,26,32,23,31,32,26,24,26,14,14,24,24,26,27,17,14,24,24,29,5,28,27,27,29,11,18,17,26,3,24,11,15,24,3,18,14,32,24,18,17,29,27,24,28,29,14,17,28,11,14,1,29,20,28,29,14,29,29,27,17,26,26,32,26,26,14,14,14,3,11,29,20,28,27,18,26,32,24,28,29,11,26,24,32,28,26,24,29,11,24,24,32,15,24,32,28,29,26,12,17,17,1,11,32,11,4,20,28,32,32,28,24,27,14,26,11,24,26,14,26,26,26,26,17,17,26,14,11,12,18,12,1,26,32,29,32,17,17,11,11,26,26,20,29,32,8,29,29,29,12,32,24,27,5,14,17,26,24,29,29,26,11,28,24,24,24,24,17,5,26,12,6,11,11,26,29,24,32,26,12,5,26,32,11,26,24,27,26,29,29,11,24
"7",4,6,9,8,1,10,9,2,5,1,8,3,1,1,7,1,1,2,2,8,8,3,1,1,2,10,9,1,6,2,1,4,2,3,2,6,10,9,8,1,8,1,1,1,1,8,1,4,1,1,1,1,1,10,9,2,1,4,8,1,9,7,2,9,4,2,9,7,1,9,2,3,2,3,6,4,3,2,8,6,6,3,4,1,6,8,8,8,9,1,10,6,2,5,4,1,1,4,3,10,3,4,4,10,6,9,8,4,8,1,3,8,8,1,3,6,9,10,8,9,3,9,9,8,6,2,2,9,2,2,3,3,3,3,1,1,10,8,8,10,2,9,4,8,1,1,2,4,9,8,2,4,1,1,4,4,9,9,4,9,8,9,2,10,6,6,6,1,9,1,3,10,8,2,9,8,3,5,6,2,1,4,2,3,2,2,2,2,6,6,2,6,1,10,10,10,6,2,1,1,9,6,6,1,1,2,2,10,1,9,5,9,9,1,10,9,4,8,8,3,8,2,4,9,9,2,1,8,4,4,4,4,6,8,2,9,6,1,1,2,9,4,1,2,3,6,2,9,1,2,4,5,2,9,1,1,4
"8",3,7,8,8,7,14,8,9,2,14,1,4,14,1,11,1,14,9,9,5,5,13,14,14,9,14,4,14,7,9,4,3,9,13,9,1,14,4,5,14,2,14,14,14,14,5,14,3,14,14,14,14,14,14,4,9,1,3,2,1,8,11,9,8,3,9,4,11,7,4,9,13,9,13,9,3,13,9,3,7,9,13,3,1,1,2,3,3,8,14,8,7,9,9,3,14,14,3,2,8,13,4,3,8,7,8,3,3,2,1,13,12,2,14,13,1,8,14,2,8,13,8,8,3,7,9,9,4,9,9,13,13,13,2,14,1,14,2,3,8,9,4,3,2,1,14,9,3,4,2,9,3,1,14,3,3,4,5,3,4,11,8,9,11,7,7,1,14,4,14,8,14,2,4,4,2,13,2,9,9,14,3,9,13,9,9,9,9,7,7,9,9,14,11,8,11,1,9,4,1,4,7,7,14,14,9,9,14,1,4,7,8,8,1,11,4,3,3,2,13,12,9,3,8,8,9,14,4,3,3,3,3,7,2,9,8,6,14,14,9,8,3,4,9,13,1,9,4,14,9,3,2,9,8,1,14,3
"9",6,4,3,5,5,1,3,5,6,1,2,2,1,3,2,3,1,5,5,2,2,4,1,1,5,1,3,1,4,5,1,6,5,4,5,2,1,3,2,1,2,1,1,1,1,2,1,6,1,1,1,1,1,1,3,5,3,6,2,3,3,2,5,3,6,5,3,2,5,3,5,2,5,4,6,6,2,5,1,4,6,2,6,3,3,2,6,6,3,1,4,4,5,1,6,1,1,6,2,4,4,6,6,4,4,3,6,6,2,3,4,4,2,1,4,2,3,1,2,3,4,3,3,6,4,5,5,3,5,5,4,4,4,2,1,3,1,2,6,4,5,3,6,2,3,1,5,6,3,2,5,6,3,1,6,6,3,4,6,3,2,3,5,2,4,4,2,1,3,1,1,1,2,5,3,2,2,6,6,5,1,6,5,4,5,5,5,5,4,4,5,6,1,2,4,2,2,5,3,3,3,4,4,1,1,5,5,1,3,3,2,3,3,3,2,3,6,6,6,4,4,5,6,3,3,5,1,2,6,6,6,6,4,6,5,2,4,1,1,5,3,1,1,5,2,3,5,3,1,5,6,6,5,3,3,1,6
"10",9,4,7,7,13,11,7,6,4,11,12,8,11,12,5,12,11,6,6,13,13,1,11,11,6,11,7,11,4,6,11,9,6,1,6,13,11,7,13,11,12,11,11,11,11,13,11,9,11,11,11,11,11,11,7,6,12,9,12,12,7,5,6,7,9,6,7,5,13,7,6,9,6,1,5,9,9,6,14,4,5,9,9,12,4,12,14,14,7,11,14,4,6,2,9,11,10,9,8,14,5,9,9,14,4,7,14,9,12,12,1,2,12,11,1,11,7,11,12,7,1,7,7,14,4,6,6,7,6,6,1,1,1,8,11,12,11,12,14,14,6,7,9,12,12,11,6,9,7,12,6,9,12,11,9,9,7,2,9,7,12,7,6,13,4,4,6,11,7,11,11,11,12,6,7,12,9,4,5,6,11,9,6,1,6,6,6,6,4,4,6,5,11,13,14,13,6,6,7,12,7,4,4,11,11,6,6,11,12,7,12,7,7,12,13,7,9,14,13,1,2,6,9,7,7,6,11,12,9,9,9,9,4,13,6,7,12,11,11,6,7,9,11,6,13,4,6,7,11,6,9,4,6,7,12,11,9
