"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114"
"1",2,2,2,6,3,6,6,10,2,6,2,6,6,2,2,3,2,2,2,2,6,2,2,2,2,10,3,3,10,2,2,2,2,2,3,3,11,4,6,6,3,6,6,4,10,6,4,4,4,4,4,4,3,10,10,6,10,10,10,3,10,3,3,6,2,2,2,2,2,2,2,2,11,6,10,3,10,3,6,6,6,10,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,11
"2",1,1,1,12,21,12,12,20,8,12,1,12,1,1,1,21,1,1,1,1,12,1,1,1,1,20,21,21,20,1,1,1,1,1,21,21,4,13,12,12,21,12,12,13,20,12,13,13,13,13,13,13,21,20,20,12,8,20,20,21,20,21,21,12,1,1,1,1,1,1,1,1,4,12,20,21,20,21,12,12,12,20,12,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,12,12,12,12,4
"3",10,10,10,3,5,3,3,8,4,3,10,3,10,10,10,5,10,10,10,10,3,10,10,10,10,8,5,5,8,10,10,10,10,10,5,5,5,4,3,3,5,3,3,4,8,3,4,4,4,4,4,4,5,5,8,3,4,8,8,5,8,5,5,3,10,10,10,10,10,10,10,10,8,3,8,5,8,5,3,3,3,8,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,8
"4",7,7,7,19,26,19,19,6,9,19,7,19,7,7,7,26,7,7,7,7,19,7,7,7,7,6,26,26,6,7,7,7,7,7,26,26,15,10,19,19,26,19,19,10,6,19,10,10,10,10,10,10,26,6,6,19,9,6,6,26,6,26,26,19,7,7,7,7,7,7,7,7,15,19,6,26,6,26,19,19,19,6,19,26,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,26,19,19,19,19,15
"5",10,10,10,6,4,6,6,8,5,6,10,6,10,10,10,4,10,10,10,10,6,10,10,10,10,8,4,4,8,10,10,10,10,10,4,4,1,1,6,6,4,6,6,1,8,6,1,1,1,1,1,1,4,8,8,6,5,8,8,4,8,4,4,6,10,10,10,10,10,10,10,10,1,6,8,4,8,4,6,6,6,8,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,1
"6",5,5,5,4,1,4,4,7,3,4,5,4,5,5,5,1,5,5,5,5,4,5,5,5,5,7,1,1,7,5,5,5,5,5,1,1,6,8,4,4,1,4,4,8,7,4,8,8,8,8,8,8,1,7,7,4,3,7,7,1,2,1,1,4,5,5,5,5,5,5,5,5,6,4,7,1,2,1,4,4,4,7,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,6
"7",9,9,9,3,6,3,3,5,1,3,9,3,9,9,9,6,9,9,9,9,3,9,9,9,9,5,6,6,5,9,9,9,9,9,6,6,6,11,3,3,6,3,3,11,5,3,11,11,11,11,11,11,6,6,5,3,1,5,5,6,5,6,6,3,9,9,9,9,9,9,9,9,5,3,5,6,5,6,3,3,3,5,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,5
"8",4,4,4,3,5,3,3,2,1,3,4,3,4,4,4,5,4,4,4,4,3,4,4,4,4,2,5,5,2,4,4,4,4,4,5,5,5,6,3,3,5,3,3,6,2,3,6,6,6,6,6,6,5,2,2,3,1,2,2,5,5,5,5,3,4,4,4,4,4,4,4,4,5,3,2,5,5,5,3,3,3,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5
"9",4,4,4,1,2,1,1,5,4,1,4,1,1,4,4,2,4,4,4,4,1,4,4,4,4,5,2,2,5,4,4,4,4,4,2,2,2,3,1,1,2,1,1,3,5,1,3,3,3,3,3,3,2,2,5,1,5,5,5,2,5,2,2,1,4,4,4,4,4,4,4,4,5,1,5,2,5,2,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5
"10",6,6,6,1,3,1,1,4,6,1,6,1,1,6,6,3,6,6,6,6,1,6,6,6,6,4,3,3,4,6,6,6,6,6,3,3,3,5,1,1,3,1,1,5,4,1,5,5,5,5,5,5,3,4,4,1,4,4,4,3,2,3,3,1,6,6,6,6,6,6,6,6,3,1,4,3,2,3,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3
