"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"1",22,9,9,9,9,9,9,2,22,5,8,5,5,22,5,5,5,5,8,8,9,5,5,5,17,5,22,8,9,5,8,5,5,9,9,8,17,5,5,5,5,9,2,8,22,9,8,13,13,2,5,15,13,5,22,8,9,5,5,5,5,22,22,22,22,22,22,5,2,5,22,9,22,8,9,9,22,22,9
"2",5,2,2,2,2,2,2,3,5,1,3,1,1,5,1,1,1,1,1,3,2,1,1,1,4,1,5,2,2,1,3,1,1,2,2,3,4,1,1,1,1,2,3,3,5,2,3,8,8,3,1,6,8,1,5,3,2,1,1,1,1,5,5,5,5,5,5,1,3,1,3,2,5,3,2,2,5,5,2
"3",5,3,3,3,3,3,3,8,5,1,8,1,1,5,1,1,1,1,1,8,3,1,1,1,1,1,5,3,3,1,8,1,1,3,3,8,1,1,1,1,1,1,8,8,5,3,8,4,4,8,1,6,4,1,5,8,3,1,1,1,1,5,5,5,5,5,5,1,8,1,8,3,5,8,3,3,5,5,3
"4",6,1,1,1,1,1,1,2,6,7,3,7,7,6,7,7,7,7,3,3,1,7,7,7,5,7,6,3,1,7,3,7,7,1,1,3,5,7,7,7,7,1,2,3,6,1,3,10,10,2,7,9,10,7,6,3,1,7,7,7,7,6,6,6,6,6,6,7,2,7,6,1,6,3,1,1,6,6,1
"5",3,16,16,16,16,16,16,20,3,1,5,1,1,3,1,1,1,1,5,5,16,1,1,1,9,1,3,5,16,1,5,1,1,16,16,5,9,1,1,1,1,16,20,5,3,16,5,15,15,20,1,18,15,1,3,5,16,1,1,1,1,3,3,3,3,3,3,1,20,1,3,16,3,5,16,16,3,3,16
"6",13,6,6,6,6,6,6,10,13,7,8,7,7,13,7,7,7,7,7,8,6,7,7,7,14,7,13,8,6,7,8,7,7,6,6,8,14,7,7,7,7,6,10,8,13,6,8,12,12,10,7,8,12,7,13,8,6,7,7,7,7,13,13,13,13,13,13,7,10,7,13,6,13,8,6,6,13,13,6
"7",1,5,5,5,5,5,5,3,1,2,2,2,2,1,2,2,2,2,2,2,5,2,2,2,3,2,1,5,5,2,2,2,2,5,5,2,3,2,2,2,2,5,3,1,1,5,2,3,3,3,2,4,3,2,1,2,5,2,2,2,2,1,1,1,1,1,1,2,3,2,1,5,1,1,5,5,1,1,5
"8",6,8,8,8,8,8,8,3,6,1,5,1,1,6,1,1,1,1,5,5,8,1,1,1,10,1,6,5,8,1,5,1,1,8,8,5,10,1,1,1,1,8,3,5,6,8,5,4,4,3,1,7,4,1,6,5,8,1,1,1,1,6,6,6,6,6,6,1,3,1,6,8,6,5,8,8,6,6,8
"9",18,2,2,2,2,2,2,9,18,4,16,4,4,18,4,4,4,4,16,16,2,4,4,4,17,4,18,16,2,4,16,4,4,2,2,16,17,4,4,4,4,2,9,16,18,2,16,5,5,9,4,3,5,4,18,16,2,4,4,4,4,18,18,18,18,18,18,4,9,4,18,2,18,16,2,2,18,18,2
"10",14,8,8,8,8,8,8,16,14,7,2,7,7,14,7,7,7,7,7,2,8,7,7,7,18,7,14,2,8,7,2,7,7,8,8,2,18,7,7,7,7,8,16,2,14,8,2,5,5,16,7,2,5,7,14,2,8,7,7,7,7,14,14,14,14,14,14,7,16,7,14,8,14,2,8,8,14,14,8
