"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"1",5,7,3,3,4,4,1,6,6,5,3,3,7,7,6,6,6,7,6,7,3,3,7,3,6,7,6,7,5,5,7,7,7,7,7,7,4,4,1,7,4,5,7,7,7,7,6,6,5,5,7,3,5,7,3,1
"2",7,6,1,1,2,2,3,5,5,7,1,1,6,6,5,5,5,6,5,6,1,1,6,1,5,6,5,6,7,7,6,6,6,6,6,6,2,2,3,6,2,7,6,6,6,6,5,5,7,7,6,1,7,6,1,3
"3",5,7,1,1,6,6,2,4,4,5,1,1,7,7,4,4,4,7,4,7,1,1,7,1,4,7,4,7,5,5,7,7,7,7,7,7,6,6,2,7,6,5,7,7,7,7,4,4,5,5,7,1,5,7,1,2
"4",6,2,4,4,3,3,1,5,5,6,4,4,2,2,5,5,5,2,5,2,4,4,2,4,5,2,5,2,6,6,2,2,2,2,2,2,3,3,1,2,3,6,2,2,2,2,5,5,6,6,2,4,6,2,4,1
"5",4,2,3,3,7,7,5,6,6,4,3,3,2,2,6,6,6,2,6,2,3,3,2,3,6,2,6,2,4,4,2,2,2,2,2,2,7,7,5,2,7,4,2,2,2,2,6,6,4,4,2,3,4,2,3,5
"6",5,2,6,6,3,3,1,4,4,5,6,6,2,2,4,4,4,2,4,2,6,6,2,6,4,2,4,2,5,5,2,2,2,2,2,2,3,3,1,2,3,5,2,2,2,2,4,4,5,5,2,6,5,2,6,1
"7",4,7,8,8,2,2,3,5,5,4,8,8,7,7,5,5,5,7,5,7,8,8,7,8,5,7,5,7,4,4,7,7,7,7,7,7,2,2,3,7,2,4,7,7,7,7,5,5,4,4,7,8,4,7,8,3
"8",3,7,6,6,4,4,4,5,5,3,6,6,7,7,5,5,5,7,5,7,6,6,7,6,5,7,5,7,3,3,7,7,7,7,7,7,4,4,4,7,4,3,7,7,7,7,5,5,3,3,7,6,3,7,6,4
"9",3,7,4,4,5,5,5,6,6,3,4,4,7,7,6,6,6,7,6,7,4,4,7,4,6,7,6,7,3,3,7,7,7,7,7,7,5,5,5,7,5,3,7,7,7,7,6,6,3,3,7,4,3,7,4,5
"10",3,2,8,8,4,4,5,1,1,3,8,8,2,2,1,1,1,2,1,2,8,8,2,8,1,2,1,2,3,3,2,2,2,2,2,2,4,4,5,2,4,3,2,2,2,2,1,1,3,3,2,8,3,2,8,5
"11",6,4,5,5,1,1,2,3,3,6,5,5,4,4,3,3,3,4,3,4,5,5,4,5,3,4,3,4,6,6,4,4,4,4,4,4,1,1,2,4,1,6,4,4,4,4,3,3,6,6,4,5,6,4,5,2
"12",4,5,3,3,1,1,1,2,2,4,3,3,5,5,2,2,2,5,2,5,3,3,5,3,2,5,2,5,4,4,5,5,5,5,5,5,1,1,1,5,1,4,5,5,5,5,2,2,4,4,5,3,4,5,3,1
"13",1,3,4,4,2,2,6,7,7,1,4,4,3,3,7,7,7,3,7,3,4,4,3,4,7,3,7,3,1,1,3,3,3,3,3,3,2,2,6,3,2,1,3,3,3,3,7,7,1,1,3,4,1,3,4,6
"14",6,4,7,7,2,2,3,5,5,6,7,7,4,4,5,5,5,4,5,4,7,7,4,7,5,4,5,4,6,6,4,4,4,4,4,4,2,2,3,4,2,6,4,4,4,4,5,5,6,6,4,7,6,4,7,3
"15",2,3,6,6,1,1,5,4,4,2,6,6,3,3,4,4,4,3,4,3,6,6,3,6,4,3,4,3,2,2,3,3,3,3,3,3,1,1,5,3,1,2,3,3,3,3,4,4,2,2,3,6,2,3,6,5
"16",1,5,3,3,2,2,7,6,6,1,3,3,5,5,6,6,6,5,6,5,3,3,5,3,6,5,6,5,1,1,5,5,5,5,5,5,2,2,7,5,2,1,5,5,5,5,6,6,1,1,5,3,1,5,3,7
"17",6,7,5,5,1,1,2,3,3,6,5,5,7,7,3,3,3,7,3,7,5,5,7,5,3,7,3,7,6,6,7,7,7,7,7,7,1,1,2,7,1,6,7,7,7,7,3,3,6,6,7,5,6,7,5,2
"18",4,7,3,3,6,6,5,8,8,4,3,3,7,7,8,8,8,7,8,7,3,3,7,3,8,7,8,7,4,4,7,7,7,7,7,7,6,6,5,7,6,4,7,7,7,7,8,8,4,4,7,3,4,7,3,5
"19",1,5,4,4,3,3,6,2,2,1,4,4,5,5,2,2,2,5,2,5,4,4,5,4,2,5,2,5,1,1,5,5,5,5,5,5,3,3,6,5,3,1,5,5,5,5,2,2,1,1,5,4,1,5,4,6
"20",3,2,6,6,8,8,1,5,5,3,6,6,2,2,5,5,5,2,5,2,6,6,2,6,5,2,5,2,3,3,2,2,2,2,2,2,8,8,1,2,8,3,2,2,2,2,5,5,3,3,2,6,3,2,6,1
"21",4,1,3,3,6,6,2,5,5,4,3,3,1,1,5,5,5,1,5,1,3,3,1,3,5,1,5,1,4,4,1,1,1,1,1,1,6,6,2,1,6,4,1,1,1,1,5,5,4,4,1,3,4,1,3,2
"22",2,5,6,6,4,4,3,7,7,2,6,6,5,5,7,7,7,5,7,5,6,6,5,6,7,5,7,5,2,2,5,5,5,5,5,5,4,4,3,5,4,2,5,5,5,5,7,7,2,2,5,6,2,5,6,3
"23",5,6,4,4,3,3,1,2,2,5,4,4,6,6,2,2,2,6,2,6,4,4,6,4,2,6,2,6,5,5,6,6,6,6,6,6,3,3,1,6,3,5,6,6,6,6,2,2,5,5,6,4,5,6,4,1
"24",4,5,1,1,2,2,3,6,6,4,1,1,5,5,6,6,6,5,6,5,1,1,5,1,6,5,6,5,4,4,5,5,5,5,5,5,2,2,3,5,2,4,5,5,5,5,6,6,4,4,5,1,4,5,1,3
"25",3,2,6,6,4,4,4,7,7,3,6,6,2,2,7,7,7,2,7,2,6,6,2,6,7,2,7,2,3,3,2,2,2,2,2,2,4,4,4,2,4,3,2,2,2,2,7,7,3,3,2,6,3,2,6,4
"26",5,7,2,2,6,6,8,4,4,5,2,2,7,7,4,4,4,7,4,7,2,2,7,2,4,7,4,7,5,5,7,7,7,7,7,7,6,6,8,7,6,5,7,7,7,7,4,4,5,5,7,2,5,7,2,8
"27",3,5,1,1,4,4,6,2,2,3,1,1,5,5,2,2,2,5,2,5,1,1,5,1,2,5,2,5,3,3,5,5,5,5,5,5,4,4,6,5,4,3,5,5,5,5,2,2,3,3,5,1,3,5,1,6
"28",5,2,1,1,6,6,4,3,3,5,1,1,2,2,3,3,3,2,3,2,1,1,2,1,3,2,3,2,5,5,2,2,2,2,2,2,6,6,4,2,6,5,2,2,2,2,3,3,5,5,2,1,5,2,1,4
"29",7,4,3,3,6,6,1,5,5,7,3,3,4,4,5,5,5,4,5,4,3,3,4,3,5,4,5,4,7,7,4,4,4,4,4,4,6,6,1,4,6,7,4,4,4,4,5,5,7,7,4,3,7,4,3,1
"30",2,1,7,7,3,3,5,8,8,2,7,7,1,1,8,8,8,1,8,1,7,7,1,7,8,1,8,1,2,2,1,1,1,1,1,1,3,3,5,1,3,2,1,1,1,1,8,8,2,2,1,7,2,1,7,5
"31",2,4,1,1,3,3,5,7,7,2,1,1,4,4,7,7,7,4,7,4,1,1,4,1,7,4,7,4,2,2,4,4,4,4,4,4,3,3,5,4,3,2,4,4,4,4,7,7,2,2,4,1,2,4,1,5
"32",3,5,7,7,2,2,1,4,4,3,7,7,5,5,4,4,4,5,4,5,7,7,5,7,4,5,4,5,3,3,5,5,5,5,5,5,2,2,1,5,2,3,5,5,5,5,4,4,3,3,5,7,3,5,7,1
"33",4,2,3,3,6,6,5,7,7,4,3,3,2,2,7,7,7,2,7,2,3,3,2,3,7,2,7,2,4,4,2,2,2,2,2,2,6,6,5,2,6,4,2,2,2,2,7,7,4,4,2,3,4,2,3,5
"34",3,6,5,5,7,7,2,4,4,3,5,5,6,6,4,4,4,6,4,6,5,5,6,5,4,6,4,6,3,3,6,6,6,6,6,6,7,7,2,6,7,3,6,6,6,6,4,4,3,3,6,5,3,6,5,2
"35",5,3,4,4,6,6,1,2,2,5,4,4,3,3,2,2,2,3,2,3,4,4,3,4,2,3,2,3,5,5,3,3,3,3,3,3,6,6,1,3,6,5,3,3,3,3,2,2,5,5,3,4,5,3,4,1
"36",3,8,2,2,6,6,4,5,5,3,2,2,8,8,5,5,5,8,5,8,2,2,8,2,5,8,5,8,3,3,8,8,8,8,8,8,6,6,4,8,6,3,8,8,8,8,5,5,3,3,8,2,3,8,2,4
"37",6,2,3,3,4,4,8,7,7,6,3,3,2,2,7,7,7,2,7,2,3,3,2,3,7,2,7,2,6,6,2,2,2,2,2,2,4,4,8,2,4,6,2,2,2,2,7,7,6,6,2,3,6,2,3,8
"38",4,1,6,6,2,2,3,5,5,4,6,6,1,1,5,5,5,1,5,1,6,6,1,6,5,1,5,1,4,4,1,1,1,1,1,1,2,2,3,1,2,4,1,1,1,1,5,5,4,4,1,6,4,1,6,3
"39",4,1,5,5,7,7,8,3,3,4,5,5,1,1,3,3,3,1,3,1,5,5,1,5,3,1,3,1,4,4,1,1,1,1,1,1,7,7,8,1,7,4,1,1,1,1,3,3,4,4,1,5,4,1,5,8
"40",1,5,2,2,4,4,7,8,8,1,2,2,5,5,8,8,8,5,8,5,2,2,5,2,8,5,8,5,1,1,5,5,5,5,5,5,4,4,7,5,4,1,5,5,5,5,8,8,1,1,5,2,1,5,2,7
"41",4,1,3,3,5,5,2,7,7,4,3,3,1,1,7,7,7,1,7,1,3,3,1,3,7,1,7,1,4,4,1,1,1,1,1,1,5,5,2,1,5,4,1,1,1,1,7,7,4,4,1,3,4,1,3,2
"42",3,1,5,5,4,4,6,7,7,3,5,5,1,1,7,7,7,1,7,1,5,5,1,5,7,1,7,1,3,3,1,1,1,1,1,1,4,4,6,1,4,3,1,1,1,1,7,7,3,3,1,5,3,1,5,6
"43",3,6,2,2,7,7,5,1,1,3,2,2,6,6,1,1,1,6,1,6,2,2,6,2,1,6,1,6,3,3,6,6,6,6,6,6,7,7,5,6,7,3,6,6,6,6,1,1,3,3,6,2,3,6,2,5
"44",3,4,6,6,2,2,5,8,8,3,6,6,4,4,8,8,8,4,8,4,6,6,4,6,8,4,8,4,3,3,4,4,4,4,4,4,2,2,5,4,2,3,4,4,4,4,8,8,3,3,4,6,3,4,6,5
"45",2,8,3,3,5,5,5,1,1,2,3,3,8,8,1,1,1,8,1,8,3,3,8,3,1,8,1,8,2,2,8,8,8,8,8,8,5,5,5,8,5,2,8,8,8,8,1,1,2,2,8,3,2,8,3,5
"46",3,5,7,7,2,2,6,1,1,3,7,7,5,5,1,1,1,5,1,5,7,7,5,7,1,5,1,5,3,3,5,5,5,5,5,5,2,2,6,5,2,3,5,5,5,5,1,1,3,3,5,7,3,5,7,6
"47",4,1,5,5,6,6,2,3,3,4,5,5,1,1,3,3,3,1,3,1,5,5,1,5,3,1,3,1,4,4,1,1,1,1,1,1,6,6,2,1,6,4,1,1,1,1,3,3,4,4,1,5,4,1,5,2
"48",7,5,4,4,6,6,1,2,2,7,4,4,5,5,2,2,2,5,2,5,4,4,5,4,2,5,2,5,7,7,5,5,5,5,5,5,6,6,1,5,6,7,5,5,5,5,2,2,7,7,5,4,7,5,4,1
"49",1,3,6,6,4,4,7,2,2,1,6,6,3,3,2,2,2,3,2,3,6,6,3,6,2,3,2,3,1,1,3,3,3,3,3,3,4,4,7,3,4,1,3,3,3,3,2,2,1,1,3,6,1,3,6,7
"50",7,2,6,6,5,5,1,3,3,7,6,6,2,2,3,3,3,2,3,2,6,6,2,6,3,2,3,2,7,7,2,2,2,2,2,2,5,5,1,2,5,7,2,2,2,2,3,3,7,7,2,6,7,2,6,1
"51",6,3,4,4,5,5,1,2,2,6,4,4,3,3,2,2,2,3,2,3,4,4,3,4,2,3,2,3,6,6,3,3,3,3,3,3,5,5,1,3,5,6,3,3,3,3,2,2,6,6,3,4,6,3,4,1
"52",2,3,7,7,4,4,1,5,5,2,7,7,3,3,5,5,5,3,5,3,7,7,3,7,5,3,5,3,2,2,3,3,3,3,3,3,4,4,1,3,4,2,3,3,3,3,5,5,2,2,3,7,2,3,7,1
"53",7,4,3,3,1,1,6,5,5,7,3,3,4,4,5,5,5,4,5,4,3,3,4,3,5,4,5,4,7,7,4,4,4,4,4,4,1,1,6,4,1,7,4,4,4,4,5,5,7,7,4,3,7,4,3,6
"54",1,3,5,5,6,6,4,2,2,1,5,5,3,3,2,2,2,3,2,3,5,5,3,5,2,3,2,3,1,1,3,3,3,3,3,3,6,6,4,3,6,1,3,3,3,3,2,2,1,1,3,5,1,3,5,4
"55",4,2,3,3,5,5,1,6,6,4,3,3,2,2,6,6,6,2,6,2,3,3,2,3,6,2,6,2,4,4,2,2,2,2,2,2,5,5,1,2,5,4,2,2,2,2,6,6,4,4,2,3,4,2,3,1
"56",5,2,4,4,1,1,6,7,7,5,4,4,2,2,7,7,7,2,7,2,4,4,2,4,7,2,7,2,5,5,2,2,2,2,2,2,1,1,6,2,1,5,2,2,2,2,7,7,5,5,2,4,5,2,4,6
"57",5,1,4,4,2,2,2,3,3,5,4,4,1,1,3,3,3,1,3,1,4,4,1,4,3,1,3,1,5,5,1,1,1,1,1,1,2,2,2,1,2,5,1,1,1,1,3,3,5,5,1,4,5,1,4,2
"58",5,6,3,3,2,2,4,1,1,5,3,3,6,6,1,1,1,6,1,6,3,3,6,3,1,6,1,6,5,5,6,6,6,6,6,6,2,2,4,6,2,5,6,6,6,6,1,1,5,5,6,3,5,6,3,4
"59",6,1,5,5,2,2,4,3,3,6,5,5,1,1,3,3,3,1,3,1,5,5,1,5,3,1,3,1,6,6,1,1,1,1,1,1,2,2,4,1,2,6,1,1,1,1,3,3,6,6,1,5,6,1,5,4
"60",5,3,2,2,4,4,6,1,1,5,2,2,3,3,1,1,1,3,1,3,2,2,3,2,1,3,1,3,5,5,3,3,3,3,3,3,4,4,6,3,4,5,3,3,3,3,1,1,5,5,3,2,5,3,2,6
"61",1,3,7,7,5,5,8,6,6,1,7,7,3,3,6,6,6,3,6,3,7,7,3,7,6,3,6,3,1,1,3,3,3,3,3,3,5,5,8,3,5,1,3,3,3,3,6,6,1,1,3,7,1,3,7,8
"62",2,8,4,4,3,3,1,7,7,2,4,4,8,8,7,7,7,8,7,8,4,4,8,4,7,8,7,8,2,2,8,8,8,8,8,8,3,3,1,8,3,2,8,8,8,8,7,7,2,2,8,4,2,8,4,1
"63",6,3,2,2,4,4,5,1,1,6,2,2,3,3,1,1,1,3,1,3,2,2,3,2,1,3,1,3,6,6,3,3,3,3,3,3,4,4,5,3,4,6,3,3,3,3,1,1,6,6,3,2,6,3,2,5
"64",3,1,2,2,5,5,5,4,4,3,2,2,1,1,4,4,4,1,4,1,2,2,1,2,4,1,4,1,3,3,1,1,1,1,1,1,5,5,5,1,5,3,1,1,1,1,4,4,3,3,1,2,3,1,2,5
"65",7,1,6,6,5,5,3,4,4,7,6,6,1,1,4,4,4,1,4,1,6,6,1,6,4,1,4,1,7,7,1,1,1,1,1,1,5,5,3,1,5,7,1,1,1,1,4,4,7,7,1,6,7,1,6,3
"66",4,8,7,7,6,6,5,2,2,4,7,7,8,8,2,2,2,8,2,8,7,7,8,7,2,8,2,8,4,4,8,8,8,8,8,8,6,6,5,8,6,4,8,8,8,8,2,2,4,4,8,7,4,8,7,5
