"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",3,4,2,7,4,7,2,7,7,7,2,7,4,2,7,6,7,1,7,7,7,7,7,4,2,2,7,7,2
"2",4,1,3,2,1,2,3,2,2,2,3,2,1,3,2,5,2,1,2,2,2,2,2,1,3,3,2,2,3
"3",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"4",5,1,4,2,1,2,4,2,2,2,4,2,1,4,2,6,2,3,2,2,2,2,2,1,4,4,2,2,4
"5",4,3,2,1,3,1,2,1,1,1,2,1,3,2,1,6,1,5,1,1,1,1,1,3,2,2,1,1,2
"6",3,6,4,7,6,7,4,7,7,7,4,7,6,4,7,5,7,2,7,7,7,7,7,6,4,4,7,7,4
"7",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"8",1,3,2,4,3,4,2,4,4,4,2,4,3,2,4,6,4,6,4,4,4,4,4,3,2,2,4,4,2
"9",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"10",1,3,2,5,3,5,2,5,5,5,2,5,3,2,5,4,5,6,5,5,5,5,5,3,2,2,5,5,2
"11",2,3,7,5,3,5,7,5,5,5,7,5,3,7,5,4,5,1,5,5,5,5,5,3,7,7,5,5,7
"12",5,7,6,1,7,1,6,1,1,1,6,1,7,6,1,2,1,3,1,1,1,1,1,7,6,6,1,1,6
"13",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"14",1,5,4,3,5,3,4,3,3,3,4,3,5,4,3,2,3,5,3,3,3,3,3,5,4,4,3,3,4
"15",6,8,1,7,8,7,1,7,7,7,1,7,8,1,7,4,7,2,7,7,7,7,7,8,1,1,7,7,1
"16",3,5,4,6,5,6,4,6,6,6,4,6,5,4,6,2,6,2,6,6,6,6,6,5,4,4,6,6,4
"17",5,2,8,4,2,4,8,4,4,4,8,4,2,8,4,3,4,7,4,4,4,4,4,2,8,8,4,4,8
"18",8,1,7,6,1,6,7,6,6,6,7,6,1,7,6,5,6,3,6,6,6,6,6,1,7,7,6,6,7
"19",2,4,6,5,4,5,6,5,5,5,6,5,4,6,5,3,5,4,5,5,5,5,5,4,6,6,5,5,6
"20",1,2,7,4,2,4,7,4,4,4,7,4,2,7,4,3,4,3,4,4,4,4,4,2,7,7,4,4,7
"21",3,5,4,2,5,2,4,2,2,2,4,2,5,4,2,1,2,6,2,2,2,2,2,5,4,4,2,2,4
"22",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"23",5,1,2,7,1,7,2,7,7,7,2,7,1,2,7,3,7,4,7,7,7,7,7,1,2,2,7,7,2
"24",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"25",5,3,6,7,3,7,6,7,7,7,6,7,3,6,7,2,7,1,7,7,7,7,7,3,6,6,7,7,6
"26",1,5,6,4,5,4,6,4,4,4,6,4,5,6,4,7,4,7,4,4,4,4,4,5,6,6,4,4,6
"27",3,5,1,2,5,2,1,2,2,2,1,2,5,1,2,7,2,4,2,2,2,2,2,5,1,1,2,2,1
"28",2,5,3,6,5,6,3,6,6,6,3,6,5,3,6,4,6,4,6,6,6,6,6,5,3,3,6,6,3
"29",6,1,8,5,1,5,8,5,5,5,8,5,1,8,5,3,5,7,5,5,5,5,5,1,8,8,5,5,8
"30",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"31",5,1,6,3,1,3,6,3,3,3,6,3,1,6,3,4,3,2,3,3,3,3,3,1,6,6,3,3,6
"32",4,2,1,5,2,5,1,5,5,5,1,5,2,1,5,3,5,2,5,5,5,5,5,2,1,1,5,5,1
"33",6,1,7,8,1,8,7,8,8,8,7,8,1,7,8,2,8,4,8,8,8,8,8,1,7,7,8,8,7
"34",5,2,7,4,2,4,7,4,4,4,7,4,2,7,4,6,4,3,4,4,4,4,4,2,7,7,4,4,7
"35",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"36",4,5,1,3,5,3,1,3,3,3,1,3,5,1,3,2,3,6,3,3,3,3,3,5,1,1,3,3,1
"37",6,3,8,7,3,7,8,7,7,7,8,7,3,8,7,4,7,5,7,7,7,7,7,3,8,8,7,7,8
"38",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"39",3,5,1,6,5,6,1,6,6,6,1,6,5,1,6,4,6,2,6,6,6,6,6,5,1,1,6,6,1
"40",2,6,1,3,6,3,1,3,3,3,1,3,6,1,3,7,3,4,3,3,3,3,3,6,1,1,3,3,1
"41",6,1,4,7,1,7,4,7,7,7,4,7,1,4,7,5,7,3,7,7,7,7,7,1,4,4,7,7,4
"42",3,7,4,5,7,5,4,5,5,5,4,5,7,4,5,2,5,1,5,5,5,5,5,7,4,4,5,5,4
"43",6,5,7,3,5,3,7,3,3,3,7,3,5,7,3,4,3,8,3,3,3,3,3,5,7,7,3,3,7
"44",5,2,3,1,2,1,3,1,1,1,3,1,2,3,1,4,1,2,1,1,1,1,1,2,3,3,1,1,3
