"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",2,10,2,9,8,2,5,3,5,5,9,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,3,5,5,5,5,3,3
"2",8,2,8,4,6,8,1,7,1,1,4,1,8,8,1,1,1,1,1,8,1,1,1,1,1,1,7,1,1,1,1,7,7
"3",6,1,6,3,5,6,2,4,2,2,3,2,6,6,2,2,2,2,2,6,2,2,2,2,2,2,4,2,2,2,2,4,4
"4",8,5,8,6,1,8,9,7,9,9,6,9,8,8,9,9,9,9,9,8,9,9,9,9,9,9,7,9,9,9,9,7,7
"5",5,3,5,4,2,5,6,1,6,6,4,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,1,6,6,6,6,1,1
"6",6,5,6,1,4,6,8,3,8,8,1,8,6,6,8,8,8,8,8,6,8,8,8,8,8,8,3,8,8,8,8,3,3
"7",4,2,4,1,7,4,6,8,6,6,1,6,4,4,6,6,6,6,6,4,6,6,6,6,6,6,8,6,6,6,6,8,8
"8",7,5,7,1,6,7,2,4,2,2,1,2,7,7,2,2,2,2,2,7,2,2,2,2,2,2,4,2,2,2,2,4,4
"9",4,7,4,5,1,4,3,7,3,3,5,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,7,3,3,3,3,7,7
"10",4,2,4,3,5,4,7,6,7,7,3,7,4,4,7,7,7,7,7,4,7,7,7,7,7,7,6,7,7,7,7,6,6
"11",5,6,5,3,4,5,2,4,2,2,3,2,5,5,2,2,2,2,2,5,2,2,2,2,2,2,4,2,2,2,2,4,4
"12",1,6,1,3,4,1,7,5,7,7,3,7,1,1,7,7,7,7,7,1,7,7,7,7,7,7,5,7,7,7,7,5,5
"13",2,7,2,9,3,2,8,4,8,8,9,8,2,2,8,8,8,8,8,2,8,8,8,8,8,8,4,8,8,8,8,4,4
"14",2,1,2,5,3,2,8,3,8,8,5,8,2,2,8,8,8,8,8,2,8,8,8,8,8,8,3,8,8,8,8,3,3
"15",8,10,8,1,5,8,9,7,9,9,1,9,8,8,9,9,9,9,9,8,9,9,9,9,9,9,7,9,9,9,9,7,7
"16",2,3,2,6,5,2,1,5,1,1,6,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,5,5
"17",3,8,3,5,2,3,6,1,6,6,5,6,3,3,6,6,6,6,6,3,6,6,6,6,6,6,1,6,6,6,6,1,1
"18",6,7,6,9,4,6,5,1,5,5,9,5,6,6,5,5,5,5,5,6,5,5,5,5,5,5,1,5,5,5,5,1,1
"19",2,6,2,3,5,2,7,1,7,7,3,7,2,2,7,7,7,7,7,2,7,7,7,7,7,7,1,7,7,7,7,1,1
"20",2,6,2,5,4,2,8,4,8,8,5,8,2,2,8,8,8,8,8,2,8,8,8,8,8,8,4,8,8,8,8,4,4
"21",3,6,3,5,9,3,2,1,2,2,5,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,1
"22",1,9,1,4,2,1,3,6,3,3,4,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,6,3,3,3,3,6,6
"23",7,6,7,3,1,7,4,2,4,4,3,4,7,7,4,4,4,4,4,7,4,4,4,4,4,4,2,4,4,4,4,2,2
"24",4,5,4,1,2,4,7,3,7,7,1,7,4,4,7,7,7,7,7,4,7,7,7,7,7,7,3,7,7,7,7,3,3
"25",6,5,6,1,7,6,4,2,4,4,1,4,6,6,4,4,4,4,4,6,4,4,4,4,4,4,2,4,4,4,4,2,2
"26",8,7,8,2,3,8,4,1,4,4,2,4,8,8,4,4,4,4,4,8,4,4,4,4,4,4,1,4,4,4,4,1,1
"27",4,1,4,5,2,4,7,2,7,7,5,7,4,4,7,7,7,7,7,4,7,7,7,7,7,7,2,7,7,7,7,2,2
"28",3,4,3,2,5,3,1,7,1,1,2,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,7,1,1,1,1,7,7
"29",7,6,7,2,3,7,4,1,4,4,2,4,7,7,4,4,4,4,4,7,4,4,4,4,4,4,1,4,4,4,4,1,1
"30",9,7,9,6,1,9,5,4,5,5,6,5,9,9,5,5,5,5,5,9,5,5,5,5,5,5,4,5,5,5,5,4,4
"31",3,1,3,5,4,3,2,4,2,2,5,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,4,4
"32",7,4,7,2,1,7,9,5,9,9,2,9,7,7,9,9,9,9,9,7,9,9,9,9,9,9,5,9,9,9,9,5,5
"33",6,1,6,4,2,6,3,5,3,3,4,3,6,6,3,3,3,3,3,6,3,3,3,3,3,3,5,3,3,3,3,5,5
"34",5,6,5,3,1,5,7,4,7,7,3,7,5,5,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,4,4
"35",4,3,4,1,2,4,6,2,6,6,1,6,4,4,6,6,6,6,6,4,6,6,6,6,6,6,2,6,6,6,6,2,2
"36",6,4,6,7,3,6,8,1,8,8,7,8,6,6,8,8,8,8,8,6,8,8,8,8,8,8,1,8,8,8,8,1,1
"37",3,2,3,4,6,3,8,5,8,8,4,8,3,3,8,8,8,8,8,3,8,8,8,8,8,8,5,8,8,8,8,5,5
"38",7,3,7,5,1,7,8,6,8,8,5,8,7,7,8,8,8,8,8,7,8,8,8,8,8,8,6,8,8,8,8,6,6
"39",5,2,5,1,4,5,3,5,3,3,1,3,5,5,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,5,5
