"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",4,5,8,7,7,8,5,8,5,2,5,2,2,2,2,8,8,2,8,8,8,8,8,8,2,8
"2",6,3,1,4,4,1,3,1,3,5,3,5,5,5,2,1,1,5,1,1,1,1,1,1,5,1
"3",1,7,3,5,5,3,7,3,7,6,7,6,6,6,4,3,3,6,3,3,3,3,3,3,6,3
"4",6,5,3,1,1,3,5,3,5,8,5,8,8,8,4,3,3,8,3,3,3,3,3,3,8,3
"5",3,8,7,6,6,7,8,7,8,5,8,5,5,5,2,7,7,5,7,7,7,7,7,7,5,7
"6",8,1,4,2,2,4,1,4,1,6,1,6,6,6,3,4,4,6,4,4,4,4,4,4,6,4
"7",5,8,1,2,2,1,8,1,8,4,8,4,4,4,3,1,1,4,1,1,1,1,1,1,4,1
"8",2,4,1,3,3,1,4,1,4,5,4,5,5,5,5,1,1,5,1,1,1,1,1,1,5,1
"9",1,4,2,6,6,2,4,2,4,7,4,7,7,7,3,2,2,7,2,2,2,2,2,2,7,2
"10",8,6,5,4,4,5,6,5,6,7,6,7,7,7,3,5,5,7,5,5,5,5,5,5,7,5
"11",5,4,2,1,1,2,4,2,4,3,4,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2
"12",3,2,6,4,4,6,2,6,2,1,2,1,1,1,5,6,6,1,6,6,6,6,6,6,1,6
"13",2,4,5,6,6,5,4,5,4,3,4,3,3,3,3,5,5,3,5,5,5,5,5,5,3,5
"14",3,5,2,4,4,2,5,2,5,1,5,1,1,1,7,2,2,1,2,2,2,2,2,2,1,2
"15",3,2,7,1,1,7,2,7,2,5,2,5,5,5,6,7,7,5,7,7,7,7,7,7,5,7
"16",7,3,4,8,8,4,3,4,3,2,3,2,2,2,1,4,4,2,4,4,4,4,4,4,2,4
"17",6,2,4,5,5,4,2,4,2,1,2,1,1,1,2,4,4,1,4,4,4,4,4,4,1,4
"18",8,1,3,7,7,3,1,3,1,5,1,5,5,5,2,3,3,5,3,3,3,3,3,3,5,3
"19",7,1,6,3,3,6,1,6,1,2,1,2,2,2,5,6,6,2,6,6,6,6,6,6,2,6
"20",6,1,2,5,5,2,1,2,1,3,1,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2
"21",8,3,4,2,2,4,3,4,3,1,3,1,1,1,7,4,4,1,4,4,4,4,4,4,1,4
"22",5,8,7,1,1,7,8,7,8,2,8,2,2,2,3,7,7,2,7,7,7,7,7,7,2,7
"23",4,8,3,5,5,3,8,3,8,1,8,1,1,1,5,3,3,1,3,3,3,3,3,3,1,3
"24",5,6,3,1,1,3,6,3,6,2,6,2,2,2,4,3,3,2,3,3,3,3,3,3,2,3
"25",6,2,3,4,4,3,2,3,2,5,2,5,5,5,6,3,3,5,3,3,3,3,3,3,5,3
"26",1,8,4,7,7,4,8,4,8,3,8,3,3,3,5,4,4,3,4,4,4,4,4,4,3,4
"27",1,6,4,2,2,4,6,4,6,5,6,5,5,5,3,4,4,5,4,4,4,4,4,4,5,4
"28",6,2,4,3,3,4,2,4,2,1,2,1,1,1,1,4,4,1,4,4,4,4,4,4,1,4
"29",7,3,5,2,2,5,3,5,3,1,3,1,1,1,2,5,5,1,5,5,5,5,5,5,1,5
"30",3,5,4,1,1,4,5,4,5,2,5,2,2,2,6,4,4,2,4,4,4,4,4,4,2,4
"31",6,2,5,3,3,5,2,5,2,4,2,4,4,4,4,5,5,4,5,5,5,5,5,5,4,5
"32",1,2,3,6,6,3,2,3,2,4,2,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"33",6,4,5,3,3,5,4,5,4,2,4,2,2,2,7,5,5,2,5,5,5,5,5,5,2,5
