"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"2",1,5,1,5,3,5,3,3,5,3,3,5,6,6,6,6,3,6,3,2,6,3,2,3,3,5,1,6,2,3,3,3,3,3,3
"3",2,4,2,4,3,4,3,3,4,3,3,4,5,1,1,1,3,5,3,5,1,3,5,3,3,4,2,1,5,3,3,3,3,3,3
"4",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"5",3,5,3,5,7,5,7,7,5,7,7,5,5,4,4,4,7,5,7,2,4,7,2,7,7,5,3,4,2,7,7,7,7,7,7
"6",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"7",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"8",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"9",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"10",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"11",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"12",1,4,1,4,2,4,2,2,4,2,2,4,8,6,6,7,2,8,2,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"13",1,3,1,3,7,3,7,7,3,7,7,3,4,8,8,8,7,4,7,4,8,7,4,7,7,3,1,8,4,7,7,7,7,7,7
"14",7,5,7,5,6,5,6,6,5,6,6,5,8,4,4,4,6,8,6,2,4,6,2,6,6,5,7,4,2,6,6,6,6,6,6
"15",3,6,3,6,5,6,5,5,6,5,5,6,7,7,7,4,5,7,5,2,7,5,2,5,5,6,3,7,2,5,5,5,5,5,5
"16",2,5,2,5,3,5,3,3,5,3,3,5,6,6,6,4,3,6,3,1,6,3,1,3,3,5,2,6,1,3,3,3,3,3,3
"17",5,6,5,6,3,6,3,3,6,3,3,6,6,8,8,8,3,6,3,4,8,3,4,3,3,6,5,8,4,3,3,3,3,3,3
"18",4,6,4,6,1,6,1,1,6,1,1,6,2,3,3,3,1,2,1,7,3,1,7,1,1,6,4,3,7,1,1,1,1,1,1
