"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",4,2,3,1,3,5,1,5,5,3,1,2,1,1,1,5,5,1,1,4,2,5,5,5,1,5,1
"2",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"3",5,7,4,2,4,6,2,6,6,4,2,7,2,1,2,6,6,2,2,5,7,6,6,6,2,6,2
"4",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"5",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"6",4,6,7,8,7,1,8,1,1,7,8,6,8,7,8,1,1,8,8,4,6,1,1,1,8,1,8
"7",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"8",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"9",5,6,8,9,8,7,9,7,7,8,9,6,9,7,9,7,7,9,9,5,6,7,7,7,9,7,9
"10",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"11",1,5,2,6,2,3,6,3,3,2,6,5,6,5,6,3,3,6,6,1,5,3,3,3,6,3,6
"12",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"13",1,6,4,5,4,3,5,3,3,4,5,6,5,2,5,3,3,5,5,1,6,3,3,3,5,3,5
"14",3,7,8,5,8,2,5,2,2,8,5,7,5,1,5,2,2,5,5,3,7,2,2,2,5,2,5
"15",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"16",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"17",8,3,7,4,7,2,4,2,2,7,4,3,4,9,4,2,2,4,4,8,3,2,2,2,4,2,4
"18",5,4,6,2,6,3,2,3,3,6,2,4,2,4,2,3,3,2,2,5,4,3,3,3,2,3,2
"19",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"20",6,3,5,2,5,4,2,4,4,5,2,3,2,6,2,4,4,2,2,6,3,4,4,4,2,4,2
"21",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"22",4,7,6,1,6,5,1,5,5,6,1,7,1,5,1,5,5,1,1,4,7,5,5,5,1,5,1
"23",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"24",3,7,4,6,4,5,6,5,5,4,6,7,6,1,6,5,5,6,6,3,7,5,5,5,6,5,6
"25",3,7,8,6,8,5,6,5,5,8,6,7,6,7,6,5,5,6,6,3,7,5,5,5,6,5,6
"26",4,7,2,3,2,6,3,6,6,2,3,7,3,1,3,6,6,3,3,4,7,6,6,6,3,6,3
"27",3,5,1,2,1,7,2,7,7,1,2,5,2,3,2,7,7,2,2,3,5,7,7,7,2,7,2
"28",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"29",1,6,4,2,4,5,2,5,5,4,2,6,2,3,2,5,5,2,2,1,6,5,5,5,2,5,2
"30",2,3,4,5,4,1,5,1,1,4,5,3,5,3,5,1,1,5,5,2,3,1,1,1,5,1,5
"31",8,1,2,7,2,3,7,3,3,2,7,1,7,7,7,3,3,7,7,8,1,3,3,3,7,3,7
"32",1,7,6,4,6,5,4,5,5,6,4,7,4,5,4,5,5,4,4,1,7,5,5,5,4,5,4
"33",4,2,7,1,3,5,1,5,5,3,1,2,1,8,1,5,5,1,1,4,2,5,5,5,1,5,1
"34",3,4,1,7,1,8,7,8,8,1,7,4,7,3,7,8,8,7,7,3,4,8,8,8,7,8,7
"35",4,2,7,1,7,6,1,6,6,7,1,2,1,1,1,6,6,1,1,4,2,6,6,6,1,6,1
"36",4,3,1,6,1,2,6,2,2,1,6,3,6,6,6,2,2,6,6,4,3,2,2,2,6,2,6
"37",3,6,1,5,1,4,5,4,4,1,5,6,5,4,5,4,4,5,5,3,6,4,4,4,5,4,5
