"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"2",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"3",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"4",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"5",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"6",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"7",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"8",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"9",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"10",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"11",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"12",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"13",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"14",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"15",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"16",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"17",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"18",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"19",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"20",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"21",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"22",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"23",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"24",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"25",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"26",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"27",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"28",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"29",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"30",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"31",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"32",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"33",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"34",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"35",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"36",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"37",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"38",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"39",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"40",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"41",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"42",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"43",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"44",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"45",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"46",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"47",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"48",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"49",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"50",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"51",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"52",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"53",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"54",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"55",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"56",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"57",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"58",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"59",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"60",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"61",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"62",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"63",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"64",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"65",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"66",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"67",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"68",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"69",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"70",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"71",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"72",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"73",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"74",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"75",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"76",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"77",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"78",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"79",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"80",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"81",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"82",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"83",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"84",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"85",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"86",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"87",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"88",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"89",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"90",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"91",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"92",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"93",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"94",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"95",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"96",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"97",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"98",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"99",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
"100",3,2,3,2,2,3,2,2,7,5,2,5,2,5,2,5,2,2,2,7,5,2,2,5
