"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"1",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"2",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"3",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"4",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"5",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"6",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"7",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"8",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"9",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"10",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"11",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"12",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"13",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"14",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
"15",11,21,21,21,21,21,21,23,19,25,13,25,25,7,25,25,25,25,13,13,21,25,25,25,24,25,7,13,21,25,13,25,25,21,21,13,24,25,25,25,25,21,23,13,11,21,13,14,14,23,25,8,14,25,11,13,21,25,25,25,25,7,19,19,7,11,7,25,23,25,7,21,19,13,21,21,11,19,11
