"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,13,5,5,13,13,5,9,13,1,13,13
"2",1,2,13,5,5,13,13,5,9,13,1,13,13
"3",1,2,12,5,5,12,12,5,9,12,1,12,12
"4",1,2,13,5,5,13,13,5,9,13,1,13,13
"5",1,2,13,5,5,13,13,5,9,13,1,13,13
"6",1,2,13,5,5,13,13,5,9,13,1,13,13
"7",1,2,13,5,5,13,13,5,9,13,1,13,13
"8",1,2,13,5,5,13,13,5,9,13,1,13,13
"9",1,2,12,5,5,12,12,5,9,12,1,12,12
"10",1,2,12,5,5,12,12,5,9,12,1,12,12
"11",1,2,13,5,5,13,13,5,9,13,1,13,13
"12",1,2,13,5,5,13,13,5,9,13,1,13,13
"13",1,2,12,5,5,12,12,5,9,12,1,12,12
"14",1,2,13,5,5,13,13,5,9,13,1,13,13
"15",1,2,12,5,5,12,12,5,9,12,1,12,12
"16",1,2,12,5,5,12,12,5,9,12,1,12,12
"17",1,2,13,5,5,13,13,5,9,13,1,13,13
"18",1,2,13,5,5,13,13,5,9,13,1,13,13
"19",1,2,13,5,5,13,13,5,9,13,1,13,13
"20",1,2,12,5,5,12,12,5,9,12,1,12,12
"21",1,2,13,5,5,13,13,5,9,13,1,13,13
"22",1,2,12,5,5,12,12,5,9,12,1,12,12
"23",1,2,13,5,5,13,13,5,9,13,1,13,13
"24",1,2,12,5,5,12,12,5,9,12,1,12,12
"25",1,2,12,5,5,12,12,5,9,12,1,12,12
"26",1,2,13,5,5,13,13,5,9,13,1,13,13
"27",1,2,13,5,5,13,13,5,9,13,1,13,13
"28",1,2,12,5,5,12,12,5,9,12,1,12,12
"29",1,2,12,5,5,12,12,5,9,12,1,12,12
"30",1,2,13,5,5,13,13,5,9,13,1,13,13
"31",1,2,12,5,5,12,12,5,9,12,1,12,12
"32",1,2,12,5,5,12,12,5,9,12,1,12,12
"33",1,2,13,5,5,13,13,5,9,13,1,13,13
"34",1,2,13,5,5,13,13,5,9,13,1,13,13
"35",1,2,13,5,5,13,13,5,9,13,1,13,13
"36",1,2,13,5,5,13,13,5,9,13,1,13,13
"37",1,2,12,5,5,12,12,5,9,12,1,12,12
"38",1,2,12,5,5,12,12,5,9,12,1,12,12
"39",1,2,12,5,5,12,12,5,9,12,1,12,12
"40",1,2,12,5,5,12,12,5,9,12,1,12,12
