"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,2,3,8,8,5,1,2,1,5,1,2
"2",3,2,3,8,8,5,1,2,1,5,1,2
"3",3,2,3,8,8,5,1,2,1,5,1,2
"4",3,2,3,8,8,5,1,2,1,5,1,2
"5",3,2,3,8,8,5,1,2,1,5,1,2
"6",3,2,3,8,8,5,1,2,1,5,1,2
"7",3,2,3,8,8,5,1,2,1,5,1,2
"8",3,2,3,8,8,5,1,2,1,5,1,2
"9",3,2,3,8,8,5,1,2,1,5,1,2
"10",3,2,3,8,8,5,1,2,1,5,1,2
"11",3,2,3,8,8,5,1,2,1,5,1,2
"12",3,2,3,8,8,5,1,2,1,5,1,2
"13",3,2,3,8,8,5,1,2,1,5,1,2
"14",3,2,3,8,8,5,1,2,1,5,1,2
"15",3,2,3,8,8,5,1,2,1,5,1,2
"16",3,2,3,8,8,5,1,2,1,5,1,2
"17",3,2,3,8,8,5,1,2,1,5,1,2
"18",3,2,3,8,8,5,1,2,1,5,1,2
"19",3,2,3,8,8,5,1,2,1,5,1,2
"20",3,2,3,8,8,5,1,2,1,5,1,2
"21",3,2,3,8,8,5,1,2,1,5,1,2
"22",3,2,3,8,8,5,1,2,1,5,1,2
"23",3,2,3,8,8,5,1,2,1,5,1,2
"24",3,2,3,8,8,5,1,2,1,5,1,2
"25",3,2,3,8,8,5,1,2,1,5,1,2
"26",3,2,3,8,8,5,1,2,1,5,1,2
"27",3,2,3,8,8,5,1,2,1,5,1,2
"28",3,2,3,8,8,5,1,2,1,5,1,2
"29",3,2,3,8,8,5,1,2,1,5,1,2
"30",3,2,3,8,8,5,1,2,1,5,1,2
"31",3,2,3,8,8,5,1,2,1,5,1,2
"32",3,2,3,8,8,5,1,2,1,5,1,2
"33",3,2,3,8,8,5,1,2,1,5,1,2
"34",3,2,3,8,8,5,1,2,1,5,1,2
"35",3,2,3,8,8,5,1,2,1,5,1,2
"36",3,2,3,8,8,5,1,2,1,5,1,2
"37",3,2,3,8,8,5,1,2,1,5,1,2
"38",3,2,3,8,8,5,1,2,1,5,1,2
"39",3,2,3,8,8,5,1,2,1,5,1,2
"40",3,2,3,8,8,5,1,2,1,5,1,2
"41",3,2,3,8,8,5,1,2,1,5,1,2
"42",3,2,3,8,8,5,1,2,1,5,1,2
"43",3,2,3,8,8,5,1,2,1,5,1,2
"44",3,2,3,8,8,5,1,2,1,5,1,2
"45",3,2,3,8,8,5,1,2,1,5,1,2
"46",3,2,3,8,8,5,1,2,1,5,1,2
"47",3,2,3,8,8,5,1,2,1,5,1,2
"48",3,2,3,8,8,5,1,2,1,5,1,2
"49",3,2,3,8,8,5,1,2,1,5,1,2
"50",3,2,3,8,8,5,1,2,1,5,1,2
"51",3,2,3,8,8,5,1,2,1,5,1,2
"52",3,2,3,8,8,5,1,2,1,5,1,2
"53",3,2,3,8,8,5,1,2,1,5,1,2
"54",3,2,3,8,8,5,1,2,1,5,1,2
"55",3,2,3,8,8,5,1,2,1,5,1,2
"56",3,2,3,8,8,5,1,2,1,5,1,2
"57",3,2,3,8,8,5,1,2,1,5,1,2
"58",3,2,3,8,8,5,1,2,1,5,1,2
"59",3,2,3,8,8,5,1,2,1,5,1,2
"60",3,2,3,8,8,5,1,2,1,5,1,2
"61",3,2,3,8,8,5,1,2,1,5,1,2
"62",3,2,3,8,8,5,1,2,1,5,1,2
"63",3,2,3,8,8,5,1,2,1,5,1,2
"64",3,2,3,8,8,5,1,2,1,5,1,2
"65",3,2,3,8,8,5,1,2,1,5,1,2
"66",3,2,3,8,8,5,1,2,1,5,1,2
"67",3,2,3,8,8,5,1,2,1,5,1,2
"68",3,2,3,8,8,5,1,2,1,5,1,2
"69",3,2,3,8,8,5,1,2,1,5,1,2
"70",3,2,3,8,8,5,1,2,1,5,1,2
"71",3,2,3,8,8,5,1,2,1,5,1,2
"72",3,2,3,8,8,5,1,2,1,5,1,2
"73",3,2,3,8,8,5,1,2,1,5,1,2
"74",3,2,3,8,8,5,1,2,1,5,1,2
"75",3,2,3,8,8,5,1,2,1,5,1,2
"76",3,2,3,8,8,5,1,2,1,5,1,2
"77",3,2,3,8,8,5,1,2,1,5,1,2
"78",3,2,3,8,8,5,1,2,1,5,1,2
"79",3,2,3,8,8,5,1,2,1,5,1,2
"80",3,2,3,8,8,5,1,2,1,5,1,2
"81",3,2,3,8,8,5,1,2,1,5,1,2
"82",3,2,3,8,8,5,1,2,1,5,1,2
"83",3,2,3,8,8,5,1,2,1,5,1,2
"84",3,2,3,8,8,5,1,2,1,5,1,2
"85",3,2,3,8,8,5,1,2,1,5,1,2
"86",3,2,3,8,8,5,1,2,1,5,1,2
"87",3,2,3,8,8,5,1,2,1,5,1,2
"88",3,2,3,8,8,5,1,2,1,5,1,2
"89",3,2,3,8,8,5,1,2,1,5,1,2
"90",3,2,3,8,8,5,1,2,1,5,1,2
"91",3,2,3,8,8,5,1,2,1,5,1,2
"92",3,2,3,8,8,5,1,2,1,5,1,2
"93",3,2,3,8,8,5,1,2,1,5,1,2
"94",3,2,3,8,8,5,1,2,1,5,1,2
"95",3,2,3,8,8,5,1,2,1,5,1,2
"96",3,2,3,8,8,5,1,2,1,5,1,2
"97",3,2,3,8,8,5,1,2,1,5,1,2
"98",3,2,3,8,8,5,1,2,1,5,1,2
"99",3,2,3,8,8,5,1,2,1,5,1,2
"100",3,2,3,8,8,5,1,2,1,5,1,2
