"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"2",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"3",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"4",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"5",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"6",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"7",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"8",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"9",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"10",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"11",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"12",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"13",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"14",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"15",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"16",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"17",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"18",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"19",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"20",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"21",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"22",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"23",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"24",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"25",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"26",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"27",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"28",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"29",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"30",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"31",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"32",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"33",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"34",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"35",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"36",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"37",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"38",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"39",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"40",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"41",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"42",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"43",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"44",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"45",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"46",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"47",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"48",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"49",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"50",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"51",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"52",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"53",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"54",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"55",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"56",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"57",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"58",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"59",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"60",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
"61",1,4,3,2,4,2,3,2,9,2,3,2,4,3,2,10,2,7,2,2,2,2,2,4,3,3,2,2,3
