"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"2",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"3",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"4",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"5",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"6",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"7",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"8",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"9",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"10",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"11",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"12",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"13",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"14",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"15",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"16",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"17",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"18",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"19",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"20",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"21",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"22",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"23",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"24",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"25",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"26",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"27",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"28",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"29",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
"30",3,5,3,4,7,3,2,6,2,9,4,2,3,3,9,9,9,2,9,3,2,2,2,2,2,9,6,9,2,2,9,6,6
