"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"2",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"3",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"4",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"5",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"6",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"7",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"8",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"9",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"10",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"11",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"12",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"13",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"14",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"15",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"16",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"17",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"18",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"19",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"20",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"21",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"22",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"23",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"24",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"25",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"26",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"27",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"28",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"29",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"30",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"31",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"32",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"33",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"34",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"35",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"36",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"37",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"38",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"39",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"40",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"41",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"42",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"43",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"44",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"45",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"46",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"47",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"48",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"49",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"50",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"51",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"52",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"53",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"54",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"55",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"56",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"57",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"58",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"59",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"60",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"61",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"62",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"63",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"64",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"65",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"66",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"67",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"68",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"69",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"70",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"71",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"72",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"73",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"74",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"75",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"76",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"77",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"78",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"79",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"80",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"81",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"82",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"83",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"84",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"85",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"86",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"87",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"88",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"89",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"90",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"91",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"92",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"93",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"94",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"95",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"96",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"97",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"98",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"99",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
"100",3,5,2,7,2,2,2,2,2,4,8,6,5,6,2,2,2,10,2,2,8,7,2,2,2,6,2,2,2
