"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",4,1,4,2,1,1,2,1,1,4,1,5,5,1,3,5,2,1,5,1,1,1,1,1,1,1,4
"2",3,2,3,4,2,2,4,2,2,3,2,5,5,4,1,5,4,2,5,2,2,2,2,2,2,2,3
"3",1,3,1,2,3,3,2,3,3,1,3,5,5,3,4,5,2,3,5,3,3,3,3,3,3,3,1
"4",3,2,3,1,2,2,1,2,2,3,2,5,5,2,4,5,1,2,5,2,2,2,2,2,2,2,3
"5",3,2,3,4,2,2,4,2,2,3,2,5,5,2,1,5,4,2,5,2,2,2,2,2,2,2,3
"6",2,4,2,3,4,4,3,4,4,2,4,5,5,4,1,5,3,4,5,4,4,4,4,4,4,4,2
"7",2,1,2,4,1,1,4,1,1,2,1,5,5,1,3,5,4,1,5,1,1,1,1,1,1,1,2
"8",2,3,2,1,3,3,1,3,3,2,3,5,5,3,4,5,1,3,5,3,3,3,3,3,3,3,2
"9",3,1,3,2,1,1,2,1,1,3,1,5,5,1,4,5,2,1,5,1,1,1,1,1,1,1,3
"10",1,4,1,2,4,4,2,4,4,1,4,5,5,4,3,5,2,4,5,4,4,4,4,4,4,4,1
"11",2,1,2,3,1,1,3,1,1,2,1,5,5,1,4,5,3,1,5,1,1,1,1,1,1,1,2
"12",4,3,4,2,3,3,2,3,3,4,3,5,5,3,1,5,2,3,5,3,3,3,3,3,3,3,4
"13",1,3,1,2,3,3,2,3,3,1,3,5,5,3,4,5,2,3,5,3,3,3,3,3,3,3,1
"14",4,1,4,3,1,1,3,1,1,4,1,5,5,3,2,5,3,1,5,1,1,1,1,1,1,1,4
"15",1,2,1,4,2,2,4,2,2,1,2,5,5,4,3,5,4,2,5,2,2,2,2,2,2,2,1
"16",1,2,1,4,2,2,4,2,2,1,2,5,5,4,3,5,4,2,5,2,2,2,2,2,2,2,1
"17",4,2,4,3,2,2,3,2,2,4,2,5,5,2,1,5,3,2,5,2,2,2,2,2,2,2,4
"18",1,4,1,3,4,4,3,4,4,1,4,5,5,4,2,5,3,4,5,4,4,4,4,4,4,4,1
"19",1,2,1,4,2,2,4,2,2,1,2,5,5,2,3,5,4,2,5,2,2,2,2,2,2,2,1
"20",2,3,2,1,3,3,1,3,3,2,3,5,5,3,4,5,1,3,5,3,3,3,3,3,3,3,2
"21",2,1,2,3,1,1,3,1,1,2,1,5,5,1,4,5,3,1,5,1,1,1,1,1,1,1,2
"22",4,3,4,1,3,3,1,3,3,4,3,5,5,3,2,5,1,3,5,3,3,3,3,3,3,3,4
"23",2,4,2,3,4,4,3,4,4,2,4,5,5,4,1,5,3,4,5,4,4,4,4,4,4,4,2
"24",2,1,2,3,1,1,3,1,1,2,1,5,5,1,4,5,3,1,5,1,1,1,1,1,1,1,2
"25",3,4,3,2,4,4,2,4,4,3,4,5,5,4,1,5,2,4,5,4,4,4,4,4,4,4,3
"26",4,2,4,1,2,2,1,2,2,4,2,5,5,2,3,5,1,2,5,2,2,2,2,2,2,2,4
"27",3,2,3,1,2,2,1,2,2,3,2,5,5,2,4,5,1,2,5,2,2,2,2,2,2,2,3
"28",2,4,2,3,4,4,3,4,4,2,4,5,5,4,1,5,3,4,5,4,4,4,4,4,4,4,2
"29",4,1,4,2,1,1,2,1,1,4,1,5,5,1,3,5,2,1,5,1,1,1,1,1,1,1,4
"30",4,2,4,3,2,2,3,2,2,4,2,5,5,2,1,5,3,2,5,2,2,2,2,2,2,2,4
"31",1,2,1,4,2,2,4,2,2,1,2,5,5,2,3,5,4,2,5,2,2,2,2,2,2,2,1
"32",3,2,3,4,2,2,4,2,2,3,2,5,5,2,1,5,4,2,5,2,2,2,2,2,2,2,3
"33",2,3,2,1,3,3,1,3,3,2,3,5,5,3,4,5,1,3,5,3,3,3,3,3,3,3,2
"34",3,2,3,1,2,2,1,2,2,3,2,5,5,2,4,5,1,2,5,2,2,2,2,2,2,2,3
"35",4,2,4,3,2,2,3,2,2,4,2,5,5,2,1,5,3,2,5,2,2,2,2,2,2,2,4
"36",2,3,2,4,3,3,4,3,3,2,3,5,5,3,1,5,4,3,5,3,3,3,3,3,3,3,2
"37",3,2,3,1,2,2,1,2,2,3,2,5,5,2,4,5,1,2,5,2,2,2,2,2,2,2,3
"38",3,4,3,2,4,4,2,4,4,3,4,5,5,4,1,5,2,4,5,4,4,4,4,4,4,4,3
"39",2,3,2,1,3,3,1,3,3,2,3,5,5,1,4,5,1,3,5,3,3,3,3,3,3,3,2
"40",2,3,2,4,3,3,4,3,3,2,3,5,5,3,1,5,4,3,5,3,3,3,3,3,3,3,2
"41",1,2,1,3,2,2,3,2,2,1,2,5,5,2,4,5,3,2,5,2,2,2,2,2,2,2,1
"42",4,3,4,1,3,3,1,3,3,4,3,5,5,1,2,5,1,3,5,3,3,3,3,3,3,3,4
"43",1,4,1,3,4,4,3,4,4,1,4,5,5,4,2,5,3,4,5,4,4,4,4,4,4,4,1
"44",2,3,2,1,3,3,1,3,3,2,3,5,5,1,4,5,1,3,5,3,3,3,3,3,3,3,2
"45",4,1,4,3,1,1,3,1,1,4,1,5,5,1,2,5,3,1,5,1,1,1,1,1,1,1,4
"46",2,4,2,3,4,4,3,4,4,2,4,5,5,4,1,5,3,4,5,4,4,4,4,4,4,4,2
"47",4,2,4,1,2,2,1,2,2,4,2,5,5,2,3,5,1,2,5,2,2,2,2,2,2,2,4
"48",4,1,4,2,1,1,2,1,1,4,1,5,5,1,3,5,2,1,5,1,1,1,1,1,1,1,4
"49",4,1,4,3,1,1,3,1,1,4,1,5,5,1,2,5,3,1,5,1,1,1,1,1,1,1,4
"50",1,4,1,2,4,4,2,4,4,1,4,5,5,4,3,5,2,4,5,4,4,4,4,4,4,4,1
"51",3,4,3,1,4,4,1,4,4,3,4,5,5,1,2,5,1,4,5,4,4,4,4,4,4,4,3
"52",3,4,3,1,4,4,1,4,4,3,4,5,5,1,2,5,1,4,5,4,4,4,4,4,4,4,3
"53",2,4,2,3,4,4,3,4,4,2,4,5,5,4,1,5,3,4,5,4,4,4,4,4,4,4,2
"54",4,3,4,1,3,3,1,3,3,4,3,5,5,3,2,5,1,3,5,3,3,3,3,3,3,3,4
"55",4,1,4,3,1,1,3,1,1,4,1,5,5,1,2,5,3,1,5,1,1,1,1,1,1,1,4
"56",3,1,3,4,1,1,4,1,1,3,1,5,5,1,2,5,4,1,5,1,1,1,1,1,1,1,3
"57",3,4,3,1,4,4,1,4,4,3,4,5,5,4,2,5,1,4,5,4,4,4,4,4,4,4,3
"58",2,3,2,1,3,3,1,3,3,2,3,5,5,1,4,5,1,3,5,3,3,3,3,3,3,3,2
"59",1,2,1,3,2,2,3,2,2,1,2,5,5,2,4,5,3,2,5,2,2,2,2,2,2,2,1
"60",4,3,4,1,3,3,1,3,3,4,3,5,5,3,2,5,1,3,5,3,3,3,3,3,3,3,4
"61",2,1,2,3,1,1,3,1,1,2,1,5,5,1,4,5,3,1,5,1,1,1,1,1,1,1,2
"62",3,2,3,4,2,2,4,2,2,3,2,5,5,2,1,5,4,2,5,2,2,2,2,2,2,2,3
"63",4,3,4,1,3,3,1,3,3,4,3,5,5,1,2,5,1,3,5,3,3,3,3,3,3,3,4
"64",2,1,2,3,1,1,3,1,1,2,1,5,5,1,4,5,3,1,5,1,1,1,1,1,1,1,2
"65",1,2,1,4,2,2,4,2,2,1,2,5,5,4,3,5,4,2,5,2,2,2,2,2,2,2,1
"66",2,3,2,4,3,3,4,3,3,2,3,5,5,3,1,5,4,3,5,3,3,3,3,3,3,3,2
"67",3,1,3,4,1,1,4,1,1,3,1,5,5,1,2,5,4,1,5,1,1,1,1,1,1,1,3
"68",2,4,2,1,4,4,1,4,4,2,4,5,5,4,3,5,1,4,5,4,4,4,4,4,4,4,2
"69",1,4,1,3,4,4,3,4,4,1,4,5,5,4,2,5,3,4,5,4,4,4,4,4,4,4,1
"70",1,3,1,2,3,3,2,3,3,1,3,5,5,3,4,5,2,3,5,3,3,3,3,3,3,3,1
"71",3,1,3,4,1,1,4,1,1,3,1,5,5,1,2,5,4,1,5,1,1,1,1,1,1,1,3
"72",2,3,2,4,3,3,4,3,3,2,3,5,5,4,1,5,4,3,5,3,3,3,3,3,3,3,2
"73",1,2,1,3,2,2,3,2,2,1,2,5,5,3,4,5,3,2,5,2,2,2,2,2,2,2,1
"74",4,3,4,1,3,3,1,3,3,4,3,5,5,3,2,5,1,3,5,3,3,3,3,3,3,3,4
"75",1,3,1,4,3,3,4,3,3,1,3,5,5,3,2,5,4,3,5,3,3,3,3,3,3,3,1
"76",1,3,1,2,3,3,2,3,3,1,3,5,5,3,4,5,2,3,5,3,3,3,3,3,3,3,1
"77",1,2,1,4,2,2,4,2,2,1,2,5,5,4,3,5,4,2,5,2,2,2,2,2,2,2,1
"78",2,4,2,1,4,4,1,4,4,2,4,5,5,1,3,5,1,4,5,4,4,4,4,4,4,4,2
"79",3,4,3,2,4,4,2,4,4,3,4,5,5,2,1,5,2,4,5,4,4,4,4,4,4,4,3
"80",1,2,1,4,2,2,4,2,2,1,2,5,5,4,3,5,4,2,5,2,2,2,2,2,2,2,1
"81",1,4,1,3,4,4,3,4,4,1,4,5,5,3,2,5,3,4,5,4,4,4,4,4,4,4,1
"82",3,4,3,2,4,4,2,4,4,3,4,5,5,2,1,5,2,4,5,4,4,4,4,4,4,4,3
"83",4,3,4,2,3,3,2,3,3,4,3,5,5,3,1,5,2,3,5,3,3,3,3,3,3,3,4
"84",1,3,1,2,3,3,2,3,3,1,3,5,5,3,4,5,2,3,5,3,3,3,3,3,3,3,1
"85",1,2,1,4,2,2,4,2,2,1,2,5,5,2,3,5,4,2,5,2,2,2,2,2,2,2,1
"86",3,1,3,2,1,1,2,1,1,3,1,5,5,1,4,5,2,1,5,1,1,1,1,1,1,1,3
"87",3,2,3,1,2,2,1,2,2,3,2,5,5,2,4,5,1,2,5,2,2,2,2,2,2,2,3
"88",2,1,2,4,1,1,4,1,1,2,1,5,5,1,3,5,4,1,5,1,1,1,1,1,1,1,2
"89",1,2,1,3,2,2,3,2,2,1,2,5,5,2,4,5,3,2,5,2,2,2,2,2,2,2,1
"90",1,4,1,3,4,4,3,4,4,1,4,5,5,4,2,5,3,4,5,4,4,4,4,4,4,4,1
"91",3,2,3,1,2,2,1,2,2,3,2,5,5,2,4,5,1,2,5,2,2,2,2,2,2,2,3
"92",3,4,3,1,4,4,1,4,4,3,4,5,5,1,2,5,1,4,5,4,4,4,4,4,4,4,3
"93",2,3,2,1,3,3,1,3,3,2,3,5,5,3,4,5,1,3,5,3,3,3,3,3,3,3,2
"94",4,3,4,2,3,3,2,3,3,4,3,5,5,2,1,5,2,3,5,3,3,3,3,3,3,3,4
"95",4,3,4,2,3,3,2,3,3,4,3,5,5,2,1,5,2,3,5,3,3,3,3,3,3,3,4
"96",3,2,3,4,2,2,4,2,2,3,2,5,5,4,1,5,4,2,5,2,2,2,2,2,2,2,3
"97",4,3,4,1,3,3,1,3,3,4,3,5,5,3,2,5,1,3,5,3,3,3,3,3,3,3,4
"98",2,4,2,3,4,4,3,4,4,2,4,5,5,4,1,5,3,4,5,4,4,4,4,4,4,4,2
