"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,2,3,3,2,4,4,4,1,1,4,4,4
"2",2,1,2,2,4,3,3,3,1,1,3,3,3
"3",3,3,1,3,4,5,5,5,2,2,5,5,5
"4",5,5,1,5,4,3,3,3,2,2,3,3,3
"5",4,4,2,2,5,1,1,1,3,3,1,1,1
"6",2,2,1,1,2,3,3,3,4,4,3,3,3
"7",3,4,3,3,1,2,2,2,4,4,2,2,2
"8",2,2,1,1,3,5,5,5,4,4,5,5,5
"9",1,3,1,1,2,4,4,4,3,3,4,4,4
"10",3,3,2,3,4,5,5,5,1,1,5,5,5
"11",4,4,5,5,1,2,2,2,3,3,2,2,2
"12",2,2,4,2,3,5,5,5,1,1,5,5,5
"13",1,1,4,1,2,5,5,5,3,3,5,5,5
"14",3,3,1,3,2,5,5,5,4,4,5,5,5
"15",1,1,2,2,1,3,3,3,4,4,3,3,3
"16",4,4,2,4,3,1,1,1,5,5,1,1,1
"17",3,3,4,4,3,1,1,1,2,2,1,1,1
"18",3,3,1,3,4,5,5,5,2,2,5,5,5
"19",4,4,5,4,3,1,1,1,2,2,1,1,1
"20",2,2,3,3,2,1,1,1,4,4,1,1,1
"21",2,1,2,2,4,3,3,3,1,1,3,3,3
"22",3,1,3,3,2,4,4,4,1,1,4,4,4
"23",3,3,2,2,4,1,1,1,5,5,1,1,1
"24",2,2,1,1,2,3,3,3,4,4,3,3,3
"25",2,2,3,3,2,4,4,4,1,1,4,4,4
"26",4,4,5,5,3,2,2,2,1,1,2,2,2
"27",2,2,5,5,3,4,4,4,1,1,4,4,4
"28",4,4,2,4,1,5,5,5,3,3,5,5,5
"29",2,2,3,3,2,1,1,1,4,4,1,1,1
"30",4,4,2,2,4,3,3,3,1,1,3,3,3
"31",4,4,1,4,2,5,5,5,3,3,5,5,5
"32",3,2,3,3,1,4,4,4,2,2,4,4,4
"33",4,4,1,4,3,5,5,5,2,2,5,5,5
"34",1,1,3,3,1,4,4,4,2,2,4,4,4
"35",4,4,3,3,5,2,2,2,1,1,2,2,2
"36",3,2,3,3,1,4,4,4,2,2,4,4,4
"37",2,4,2,2,1,3,3,3,4,4,3,3,3
"38",1,1,5,1,2,4,4,4,3,3,4,4,4
"39",1,1,5,1,4,2,2,2,3,3,2,2,2
"40",1,3,1,1,2,4,4,4,3,3,4,4,4
"41",1,1,4,4,1,2,2,2,3,3,2,2,2
"42",3,3,2,2,3,1,1,1,4,4,1,1,1
"43",4,3,4,4,1,2,2,2,3,3,2,2,2
"44",2,2,5,2,4,1,1,1,3,3,1,1,1
"45",1,1,4,4,1,2,2,2,3,3,2,2,2
"46",1,1,2,2,1,3,3,3,4,4,3,3,3
"47",2,4,2,2,3,1,1,1,4,4,1,1,1
"48",5,5,1,5,4,3,3,3,2,2,3,3,3
"49",4,4,1,4,3,2,2,2,5,5,2,2,2
"50",2,2,1,1,3,5,5,5,4,4,5,5,5
"51",3,3,5,3,1,4,4,4,2,2,4,4,4
"52",4,4,3,3,4,1,1,1,2,2,1,1,1
"53",3,3,1,1,4,5,5,5,2,2,5,5,5
