"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"1",10,6,3,8,8,8,1,8,8,9,4,3,10,9,3,3,3,4,3,9,3,9,8,8,5,3,3,7,3,8,8,7,8,5,8,10,8,8,9,6,8,8,8,11,8,8,2,8,3,9,10,8,9,8,8,9,8,3,7,8,2,8,8,8,8,8,3,8,4,10,9,8,8,9,7,9,9,8,8,8,12,12,9
"2",1,5,2,1,1,1,6,1,1,2,3,2,1,8,2,2,2,3,6,8,2,2,2,1,4,1,2,7,1,1,1,7,1,4,1,1,1,1,8,5,1,1,1,9,1,8,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,3,1,8,1,1,8,7,8,8,1,1,8,10,10,8
"3",3,7,5,7,3,3,1,7,3,5,6,5,3,7,5,5,5,6,1,7,5,5,3,3,2,3,5,3,3,3,3,4,7,2,7,3,7,3,7,7,3,3,3,8,7,7,3,7,3,3,7,3,3,3,7,3,3,3,4,7,3,3,7,7,3,3,3,3,6,3,7,3,3,7,4,7,4,3,7,3,9,9,7
"4",1,9,7,8,8,8,3,8,8,7,2,7,1,5,7,7,7,2,3,5,7,7,8,8,6,8,7,4,8,8,8,4,8,6,8,1,8,8,8,9,8,8,8,10,8,5,8,8,8,8,1,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,2,1,8,8,8,5,4,8,5,8,8,8,11,11,5
"5",6,8,5,10,5,5,7,10,5,4,2,4,6,9,5,5,5,2,5,9,5,5,5,10,4,5,5,3,5,5,5,3,5,4,10,6,5,5,10,8,10,5,5,11,5,10,1,10,5,5,6,5,5,5,10,5,5,5,3,5,1,5,5,5,5,5,5,5,2,6,10,5,10,10,3,10,10,5,10,5,12,12,10
"6",3,1,3,3,3,3,5,3,3,7,3,4,3,7,3,3,3,3,5,7,3,7,7,3,4,3,3,7,3,3,3,7,3,3,3,3,3,3,7,1,3,3,5,8,3,2,6,3,3,7,7,3,7,3,3,7,3,3,7,3,6,3,3,3,3,3,3,3,3,3,7,3,3,7,7,7,7,3,3,7,9,9,7
"7",8,4,8,8,8,8,7,8,8,3,2,9,8,6,3,8,3,2,7,6,8,6,6,8,9,3,3,10,8,8,8,10,8,9,8,8,8,8,8,4,8,8,7,11,8,8,1,8,8,6,8,8,6,8,8,6,8,8,10,8,1,8,8,8,8,8,8,8,2,8,8,8,8,8,10,5,8,8,8,5,12,12,8
"8",7,6,4,8,8,8,2,8,8,4,8,4,7,3,4,4,4,8,2,3,4,4,4,8,1,8,4,5,8,8,8,5,8,1,8,7,8,8,8,6,8,8,8,9,8,8,8,8,8,3,7,8,3,8,8,3,8,8,5,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,5,8,8,8,8,8,10,10,8
"9",9,5,1,4,4,4,2,4,4,1,6,1,4,8,1,1,1,6,2,8,1,8,4,4,7,4,1,3,8,4,4,3,4,7,4,9,4,4,8,5,4,4,4,10,4,4,8,4,8,8,9,4,8,4,4,8,4,8,3,4,8,4,4,4,4,4,8,4,6,9,8,4,4,8,3,4,8,4,4,4,11,11,8
"10",5,5,5,5,5,5,6,5,5,3,8,3,5,6,3,3,5,8,5,5,3,5,5,5,7,3,5,4,5,5,5,4,5,7,5,5,5,5,5,5,5,5,5,9,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,4,1,5,5,5,1,10,10,5
