"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,5,5,6,3,2,2,3,3,2,2,2,2,4,2,2,1,5
"2",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"3",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"4",2,5,5,6,3,4,4,3,4,4,4,4,4,1,4,4,2,5
"5",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"6",2,5,5,6,4,3,3,4,4,3,3,3,3,1,3,3,2,5
"7",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"8",4,5,5,6,1,2,2,1,1,2,2,2,2,3,2,2,4,5
"9",2,5,5,6,1,3,3,1,3,3,3,3,3,4,3,3,2,5
"10",3,5,5,6,2,4,4,2,4,4,4,4,4,1,4,4,3,5
"11",3,5,5,6,4,1,1,4,4,1,1,1,1,2,1,1,3,5
"12",1,5,5,6,3,2,2,3,3,2,2,2,2,4,2,2,1,5
"13",2,5,5,6,1,3,3,1,1,3,3,3,3,4,3,3,2,5
"14",4,5,5,6,1,2,2,1,1,2,2,2,2,3,2,2,4,5
"15",1,5,5,6,3,4,4,3,3,4,4,4,4,2,4,4,1,5
"16",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"17",2,5,5,6,1,3,3,1,1,3,3,3,3,4,3,3,2,5
"18",2,5,5,6,4,3,3,4,4,3,3,3,3,1,3,3,2,5
"19",3,5,5,6,2,1,1,2,1,1,1,1,1,4,1,1,3,5
"20",2,5,5,6,1,4,4,1,1,4,4,4,4,3,4,4,2,5
"21",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"22",2,5,5,6,1,4,4,1,1,4,4,4,4,3,4,4,2,5
"23",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"24",4,5,5,6,2,3,3,2,2,3,3,3,3,1,3,3,4,5
"25",1,5,5,6,3,2,2,3,3,2,2,2,2,4,2,2,1,5
"26",1,5,5,6,4,2,2,4,2,2,2,2,2,3,2,2,1,5
"27",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"28",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"29",1,5,5,6,3,4,4,3,3,4,4,4,4,2,4,4,1,5
"30",4,5,5,6,2,3,3,2,2,3,3,3,3,1,3,3,4,5
"31",2,5,5,6,3,4,4,3,4,4,4,4,4,1,4,4,2,5
"32",4,5,5,6,3,1,1,3,3,1,1,1,1,2,1,1,4,5
"33",1,5,5,6,3,2,2,3,2,2,2,2,2,4,2,2,1,5
"34",2,5,5,6,1,4,4,1,4,4,4,4,4,3,4,4,2,5
"35",4,5,5,6,3,1,1,3,3,1,1,1,1,2,1,1,4,5
"36",4,5,5,6,3,2,2,3,2,2,2,2,2,1,2,2,4,5
"37",1,5,5,6,3,2,2,3,2,2,2,2,2,4,2,2,1,5
"38",4,5,5,6,1,2,2,1,2,2,2,2,2,3,2,2,4,5
"39",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"40",3,5,5,6,2,4,4,2,2,4,4,4,4,1,4,4,3,5
"41",2,5,5,6,3,1,1,3,3,1,1,1,1,4,1,1,2,5
"42",1,5,5,6,2,4,4,2,2,4,4,4,4,3,4,4,1,5
"43",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"44",2,5,5,6,4,1,1,4,4,1,1,1,1,3,1,1,2,5
"45",2,5,5,6,1,3,3,1,1,3,3,3,3,4,3,3,2,5
"46",3,5,5,6,1,2,2,1,2,2,2,2,2,4,2,2,3,5
"47",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"48",4,5,5,6,2,1,1,2,2,1,1,1,1,3,1,1,4,5
"49",1,5,5,6,4,3,3,4,3,3,3,3,3,2,3,3,1,5
"50",4,5,5,6,3,1,1,3,3,1,1,1,1,2,1,1,4,5
"51",3,5,5,6,4,2,2,4,4,2,2,2,2,1,2,2,3,5
"52",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"53",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"54",4,5,5,6,1,2,2,1,2,2,2,2,2,3,2,2,4,5
"55",4,5,5,6,1,2,2,1,1,2,2,2,2,3,2,2,4,5
"56",3,5,5,6,1,2,2,1,1,2,2,2,2,4,2,2,3,5
"57",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"58",3,5,5,6,1,2,2,1,2,2,2,2,2,4,2,2,3,5
"59",4,5,5,6,2,3,3,2,3,3,3,3,3,1,3,3,4,5
"60",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"61",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"62",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"63",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"64",2,5,5,6,4,1,1,4,1,1,1,1,1,3,1,1,2,5
"65",4,5,5,6,1,2,2,1,2,2,2,2,2,3,2,2,4,5
"66",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"67",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"68",4,5,5,6,2,1,1,2,2,1,1,1,1,3,1,1,4,5
"69",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"70",2,5,5,6,4,3,3,4,3,3,3,3,3,1,3,3,2,5
"71",1,5,5,6,2,4,4,2,2,4,4,4,4,3,4,4,1,5
"72",2,5,5,6,4,3,3,4,3,3,3,3,3,1,3,3,2,5
"73",4,5,5,6,2,1,1,2,2,1,1,1,1,3,1,1,4,5
"74",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"75",2,5,5,6,4,3,3,4,3,3,3,3,3,1,3,3,2,5
"76",2,5,5,6,4,3,3,4,3,3,3,3,3,1,3,3,2,5
"77",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"78",2,5,5,6,4,3,3,4,4,3,3,3,3,1,3,3,2,5
"79",1,5,5,6,2,3,3,2,2,3,3,3,3,4,3,3,1,5
"80",4,5,5,6,2,3,3,2,2,3,3,3,3,1,3,3,4,5
"81",3,5,5,6,1,2,2,1,2,2,2,2,2,4,2,2,3,5
"82",4,5,5,6,2,3,3,2,3,3,3,3,3,1,3,3,4,5
"83",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"84",2,5,5,6,1,3,3,1,1,3,3,3,3,4,3,3,2,5
"85",2,5,5,6,3,4,4,3,4,4,4,4,4,1,4,4,2,5
"86",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"87",2,5,5,6,4,1,1,4,1,1,1,1,1,3,1,1,2,5
"88",3,5,5,6,1,2,2,1,1,2,2,2,2,4,2,2,3,5
"89",4,5,5,6,3,2,2,3,3,2,2,2,2,1,2,2,4,5
"90",1,5,5,6,3,4,4,3,3,4,4,4,4,2,4,4,1,5
"91",1,5,5,6,2,4,4,2,2,4,4,4,4,3,4,4,1,5
"92",3,5,5,6,1,2,2,1,2,2,2,2,2,4,2,2,3,5
"93",2,5,5,6,3,4,4,3,3,4,4,4,4,1,4,4,2,5
"94",3,5,5,6,2,1,1,2,2,1,1,1,1,4,1,1,3,5
"95",1,5,5,6,4,3,3,4,4,3,3,3,3,2,3,3,1,5
"96",4,5,5,6,1,2,2,1,1,2,2,2,2,3,2,2,4,5
"97",3,5,5,6,2,4,4,2,2,4,4,4,4,1,4,4,3,5
"98",2,5,5,6,1,3,3,1,1,3,3,3,3,4,3,3,2,5
"99",3,5,5,6,4,1,1,4,4,1,1,1,1,2,1,1,3,5
"100",3,5,5,6,4,2,2,4,4,2,2,2,2,1,2,2,3,5
