"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",2,3,2,2,2,2,2,3,2,3,4,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,1,3,2,2,4,4,3,4,3,3,2,2,2,2,2,2,2
"2",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"3",2,3,2,2,2,2,2,3,2,3,2,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,1,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
"4",2,2,3,2,3,3,4,1,4,1,4,1,3,2,4,4,1,4,4,4,2,1,2,2,2,1,1,3,1,2,3,4,4,1,4,1,3,3,3,4,3,2,3,3
"5",3,1,3,3,3,3,3,1,3,1,3,1,3,2,3,3,1,3,3,3,2,1,2,2,3,1,1,2,1,3,3,3,3,1,3,1,1,3,3,3,3,3,3,3
"6",4,4,3,4,3,3,4,1,4,1,4,1,4,2,4,4,1,4,4,4,2,1,2,2,4,1,1,3,1,4,3,4,4,1,4,1,3,4,4,4,3,4,3,3
"7",1,1,3,1,3,3,2,4,2,4,2,4,3,1,2,2,4,2,2,2,1,4,1,1,1,4,4,3,4,1,3,2,2,4,2,4,3,3,3,2,3,1,3,3
"8",3,3,1,3,1,1,1,2,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,3,3,2,2,1,2,3,1,1,1,2,1,2,2,1,3,1,1,3,1,3
"9",3,1,3,3,3,3,3,1,3,1,2,1,3,4,3,3,1,3,3,3,4,1,4,4,3,1,1,4,1,3,3,2,2,1,2,1,1,3,3,3,3,3,3,3
"10",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"11",2,2,1,2,1,1,1,3,1,3,4,3,1,2,1,1,3,1,1,1,2,3,2,2,2,3,3,1,3,2,1,4,4,3,4,3,3,1,1,1,1,2,1,2
"12",1,1,3,1,3,3,2,4,2,4,2,4,3,1,2,2,4,2,2,2,1,4,1,1,1,4,4,3,4,1,3,2,2,4,2,4,3,3,3,2,3,1,3,3
"13",3,3,2,3,2,2,2,1,2,1,4,1,2,3,2,2,1,2,2,2,3,1,3,3,3,1,1,2,1,3,2,4,4,1,4,1,1,2,2,2,2,3,2,3
"14",4,4,2,4,2,2,2,1,2,1,3,1,2,4,2,2,1,2,2,2,4,1,4,4,4,1,1,2,1,4,2,3,3,1,3,1,1,2,2,2,2,4,2,4
"15",3,1,3,3,3,3,3,1,3,1,3,1,3,2,3,3,1,3,3,3,2,1,2,2,3,1,1,2,1,3,3,3,3,1,3,1,1,3,3,3,3,3,3,3
"16",3,3,2,3,2,2,4,1,4,1,4,1,2,3,4,4,1,4,4,4,3,1,3,3,3,1,1,2,1,3,2,4,4,1,4,1,2,2,2,4,2,3,2,2
"17",2,2,1,2,1,1,2,3,2,3,2,3,2,4,2,2,3,2,2,2,4,3,4,4,2,3,3,1,3,2,1,2,2,3,2,3,1,2,2,2,1,2,1,1
"18",1,1,4,1,4,4,1,2,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,3,1,2,2,4,2,1,4,1,1,2,1,2,4,1,1,1,4,1,4,4
"19",2,3,2,2,2,2,2,3,2,3,4,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,1,3,2,2,4,4,3,4,3,3,2,2,2,2,2,2,2
"20",3,4,3,3,3,3,3,4,3,4,2,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,1,4,3,3,2,2,4,2,4,4,3,3,3,3,3,3,3
"21",1,2,1,1,1,1,1,2,1,2,4,2,1,3,1,1,2,1,1,1,3,2,3,3,1,2,2,3,2,1,1,4,4,2,4,2,2,1,1,1,1,1,1,1
"22",3,4,3,3,3,3,3,4,3,4,1,4,3,2,3,3,4,3,3,3,2,4,2,2,3,4,4,2,4,3,3,1,1,4,1,4,4,3,3,3,3,3,3,3
"23",1,1,2,1,2,2,1,3,1,3,1,3,1,4,1,1,3,1,1,1,4,3,4,4,1,3,3,2,3,1,2,1,1,3,1,3,2,1,1,1,2,1,2,2
"24",3,3,1,3,1,1,3,3,3,3,3,3,1,2,3,3,3,1,3,3,2,3,2,2,3,3,3,1,2,3,1,3,3,3,3,3,1,1,1,3,1,3,1,1
"25",3,4,3,3,3,3,3,4,3,4,1,4,3,2,3,3,4,3,3,3,2,4,2,2,3,4,4,2,4,3,3,1,1,4,1,4,4,3,3,3,3,3,3,3
"26",4,2,4,4,4,4,4,2,4,2,3,2,4,1,4,4,2,4,4,4,1,2,1,1,4,2,2,1,2,4,4,3,3,2,3,2,2,4,4,4,4,4,4,4
"27",1,1,2,1,2,2,3,4,3,4,3,4,3,1,3,3,4,3,3,3,1,4,1,1,1,4,3,2,4,1,2,3,3,4,3,4,2,3,2,3,2,1,2,2
"28",3,1,3,3,3,3,3,1,3,1,2,1,3,4,3,3,1,3,3,3,4,1,4,4,3,1,1,4,1,3,3,2,2,1,2,1,1,3,3,3,3,3,3,3
"29",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"30",3,3,1,3,1,1,4,2,4,2,4,2,1,3,4,4,2,4,4,4,3,2,3,3,3,2,2,1,2,3,1,4,4,2,4,2,1,1,1,4,1,3,1,1
"31",1,4,1,1,1,1,1,4,1,4,3,4,1,2,1,1,4,1,1,1,2,4,2,2,1,4,4,2,4,1,1,3,3,4,3,4,4,1,1,1,1,1,1,1
"32",3,3,1,3,1,1,4,2,4,2,4,2,4,3,4,4,2,4,4,4,3,2,3,3,3,2,4,1,2,3,1,4,4,2,4,2,1,4,1,4,1,3,1,1
"33",1,3,1,1,1,1,1,3,1,3,4,3,1,2,1,1,3,1,1,1,2,3,2,2,1,3,3,2,3,1,1,4,4,3,4,3,3,1,1,1,1,1,1,1
"34",2,3,2,2,2,2,2,3,2,3,2,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,1,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
"35",4,4,2,4,2,2,4,4,4,4,1,4,2,3,4,4,4,2,4,4,3,4,3,3,4,4,4,2,4,4,2,1,4,4,1,4,2,2,2,4,2,4,2,2
"36",2,2,3,2,3,3,2,4,2,4,2,4,2,1,2,2,4,2,2,2,1,4,1,1,2,4,4,3,4,2,3,2,2,4,2,4,3,2,2,2,3,2,3,3
"37",1,1,3,1,3,3,3,4,3,4,2,4,3,1,3,3,4,3,3,3,1,4,1,1,1,4,4,3,4,1,3,2,2,4,2,4,4,3,3,3,3,1,3,1
"38",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"39",4,4,3,4,3,3,3,2,3,2,1,2,3,4,3,3,2,3,3,3,4,2,4,4,4,2,2,3,2,4,3,1,1,2,1,2,2,3,3,3,3,4,3,4
"40",3,4,3,3,3,3,3,4,3,4,1,4,3,2,3,3,4,3,3,3,2,4,2,2,3,4,4,2,4,3,3,1,1,4,1,4,4,3,3,3,3,3,3,3
"41",2,2,3,2,3,3,4,1,4,1,4,1,3,2,4,4,1,4,4,4,2,1,2,2,2,1,1,3,1,2,3,4,4,1,4,1,3,3,3,4,3,2,3,3
"42",3,3,1,3,1,1,4,2,4,2,4,2,4,3,4,4,2,4,4,4,3,2,3,3,3,2,4,1,2,3,1,4,4,2,4,2,1,4,1,4,1,3,1,1
"43",3,3,2,3,2,2,3,4,3,4,3,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,2,4,3,2,3,3,4,3,4,2,3,3,3,2,3,2,2
"44",3,4,3,3,3,3,3,4,3,4,1,4,3,2,3,3,4,3,3,3,2,4,2,2,3,4,4,2,4,3,3,1,1,4,1,4,4,3,3,3,3,3,3,3
"45",2,4,2,2,2,2,2,4,2,4,1,4,2,3,2,2,4,2,2,2,3,4,3,3,2,4,4,3,4,2,2,1,1,4,1,4,4,2,2,2,2,2,2,2
"46",4,4,3,4,3,3,1,2,1,2,1,2,1,4,1,1,2,1,1,1,4,2,4,4,4,2,1,3,2,4,3,1,1,2,1,2,3,1,3,1,3,4,3,3
"47",4,2,4,4,4,4,4,2,4,2,3,2,4,1,4,4,2,4,4,4,1,2,1,1,4,2,2,1,2,4,4,3,3,2,3,2,2,4,4,4,4,4,4,4
"48",3,3,1,3,1,1,3,4,3,4,3,4,3,2,3,3,4,3,3,3,2,4,2,2,3,4,4,1,4,3,1,3,3,4,3,4,1,3,3,3,1,3,1,1
"49",2,4,2,2,2,2,2,4,2,4,1,4,2,3,2,2,4,2,2,2,3,4,3,3,2,4,4,3,4,2,2,1,1,4,1,4,4,2,2,2,2,2,2,2
"50",2,3,2,2,2,2,2,3,2,3,1,3,2,4,2,2,3,2,2,2,4,3,4,4,2,3,3,4,3,2,2,1,1,3,1,3,3,2,2,2,2,2,2,2
