"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,5,1,4,4,1,1,4,3,1,2,1,1
"2",1,4,5,3,3,5,5,3,2,5,1,5,5
"3",4,3,2,1,1,2,2,1,5,2,4,2,2
"4",4,5,2,1,1,2,2,1,3,2,4,2,2
"5",1,5,4,3,3,4,4,3,2,4,1,4,4
"6",2,3,1,4,4,1,1,4,5,1,2,1,1
"7",3,5,1,4,4,1,1,4,2,1,3,1,1
"8",4,1,5,2,2,5,5,2,3,5,4,5,5
"9",2,4,3,5,5,3,3,5,1,3,2,3,3
"10",2,3,4,1,1,4,4,1,5,4,2,4,4
"11",1,4,5,2,2,5,5,2,3,5,1,5,5
"12",1,5,3,4,4,3,3,4,2,3,1,3,3
"13",5,2,3,4,4,3,3,5,1,3,5,3,3
"14",2,4,3,5,5,3,3,5,1,3,2,3,3
"15",2,3,4,1,1,4,4,2,5,4,2,4,4
"16",3,2,1,4,4,1,1,4,5,1,3,1,1
"17",2,4,5,3,3,5,5,3,1,5,2,5,5
"18",5,3,1,2,2,1,1,2,4,1,5,1,1
"19",3,4,5,1,1,5,5,1,2,5,3,5,5
"20",3,5,4,2,2,4,4,2,1,4,3,4,4
"21",1,5,4,3,3,4,4,3,2,4,1,4,4
"22",3,1,4,5,5,4,4,5,2,4,3,4,4
"23",1,3,2,5,5,2,2,5,4,2,1,2,2
"24",3,5,4,2,2,4,4,2,1,4,3,4,4
"25",3,4,2,5,5,2,2,5,1,2,3,2,2
"26",5,3,4,2,2,4,4,2,1,4,5,4,4
"27",5,2,3,4,4,3,3,4,1,3,5,3,3
"28",4,3,1,2,2,1,1,2,5,1,4,1,1
"29",3,5,4,2,2,4,4,2,1,4,3,4,4
"30",4,5,1,2,2,1,1,2,3,1,4,1,1
"31",5,2,1,3,3,1,1,5,4,1,5,1,1
"32",2,5,4,1,1,4,4,1,3,4,2,4,4
"33",5,3,4,2,2,4,4,2,1,4,5,4,4
"34",2,5,1,4,4,1,1,4,3,1,2,1,1
"35",2,1,3,5,5,3,3,5,4,3,2,3,3
"36",3,1,4,5,5,4,4,5,2,4,3,4,4
"37",2,3,1,5,5,1,1,5,4,1,2,1,1
"38",4,2,5,1,1,5,5,1,3,5,4,5,5
"39",3,1,2,5,5,2,2,5,4,2,3,2,2
