"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,5,3,2,2,1,4,1,4,1,4,1
"2",2,1,2,3,3,4,5,1,5,4,5,1
"3",3,5,3,2,2,1,4,5,4,1,4,5
"4",5,1,5,2,2,3,4,1,4,3,4,1
"5",3,2,3,1,1,5,4,2,4,5,4,2
"6",2,4,2,1,1,5,3,4,3,5,3,4
"7",2,5,2,1,1,4,3,5,3,4,3,5
"8",4,3,4,2,2,1,5,1,5,1,5,1
"9",2,5,2,4,4,1,3,5,3,1,3,5
"10",4,2,4,5,5,1,3,2,3,1,3,2
"11",3,4,3,2,2,5,1,4,1,5,1,4
"12",3,1,3,4,4,5,2,5,2,5,2,5
"13",4,1,4,2,2,3,5,1,5,3,5,1
"14",5,1,5,3,3,2,4,2,4,2,4,2
"15",2,3,2,5,5,4,1,4,1,4,1,4
"16",1,5,1,3,3,4,2,5,2,4,2,5
"17",1,5,1,2,2,4,3,5,3,4,3,5
"18",5,1,5,2,2,4,3,4,3,4,3,4
"19",5,1,5,3,3,2,4,1,4,2,4,1
"20",4,1,4,5,5,2,3,2,3,2,3,2
"21",2,1,2,4,4,5,3,1,3,5,3,1
"22",3,1,3,5,5,4,2,4,2,4,2,4
"23",3,1,3,5,5,2,4,2,4,2,4,2
"24",3,5,3,2,2,4,1,5,1,4,1,5
"25",2,5,2,3,3,4,1,5,1,4,1,5
"26",5,2,5,3,3,4,1,2,1,4,1,2
"27",4,3,4,2,2,5,1,3,1,5,1,3
"28",4,3,4,1,1,2,5,3,5,2,5,3
"29",4,3,4,5,5,1,2,3,2,1,2,3
"30",2,4,2,5,5,1,3,4,3,1,3,4
"31",2,4,2,5,5,1,3,4,3,1,3,4
"32",3,5,3,1,1,4,2,5,2,4,2,5
"33",4,1,4,2,2,5,3,5,3,5,3,5
"34",4,5,4,2,2,1,3,5,3,1,3,5
"35",1,3,1,5,5,4,2,3,2,4,2,3
"36",4,1,4,3,3,2,5,1,5,2,5,1
"37",2,4,2,3,3,1,5,4,5,1,5,4
"38",3,1,3,4,4,5,2,5,2,5,2,5
"39",5,4,5,3,3,2,1,4,1,2,1,4
"40",3,2,3,1,1,5,4,2,4,5,4,2
"41",2,5,2,4,4,1,3,5,3,1,3,5
"42",3,1,3,4,4,5,2,1,2,5,2,1
"43",1,3,1,5,5,4,2,3,2,4,2,3
"44",2,1,2,4,4,5,3,1,3,5,3,1
"45",3,5,3,2,2,1,4,5,4,1,4,5
"46",1,5,1,4,4,3,2,5,2,3,2,5
"47",2,3,2,4,4,5,1,5,1,5,1,5
"48",3,1,3,5,5,4,2,1,2,4,2,1
"49",2,4,2,1,1,3,5,4,5,3,5,4
"50",3,4,3,1,1,5,2,4,2,5,2,4
"51",1,4,1,5,5,3,2,3,2,3,2,3
"52",3,1,3,5,5,4,2,4,2,4,2,4
"53",3,5,3,1,1,4,2,5,2,4,2,5
"54",1,3,1,4,4,5,2,5,2,5,2,5
"55",1,5,1,3,3,4,2,5,2,4,2,5
"56",3,5,3,1,1,4,2,5,2,4,2,5
"57",3,4,3,1,1,5,2,4,2,5,2,4
"58",2,3,2,5,5,4,1,4,1,4,1,4
"59",2,5,2,3,3,4,1,4,1,4,1,4
"60",4,5,4,2,2,1,3,5,3,1,3,5
"61",2,5,2,4,4,1,3,5,3,1,3,5
"62",2,5,2,1,1,4,3,4,3,4,3,4
"63",3,1,3,4,4,5,2,1,2,5,2,1
"64",2,5,2,3,3,4,1,5,1,4,1,5
"65",2,3,2,5,5,1,4,3,4,1,4,3
"66",3,1,3,2,2,5,4,1,4,5,4,1
"67",2,5,2,3,3,4,1,5,1,4,1,5
"68",3,4,3,1,1,5,2,4,2,5,2,4
"69",2,1,2,4,4,5,3,1,3,5,3,1
"70",2,1,2,5,5,4,3,1,3,4,3,1
"71",5,1,5,2,2,3,4,1,4,3,4,1
"72",2,1,2,4,4,5,3,5,3,5,3,5
"73",3,5,3,4,4,1,2,5,2,1,2,5
"74",5,2,5,4,4,1,3,2,3,1,3,2
"75",4,1,4,2,2,5,3,1,3,5,3,1
"76",3,2,3,1,1,5,4,2,4,5,4,2
"77",2,4,2,5,5,3,1,3,1,3,1,3
"78",3,5,3,2,2,1,4,1,4,1,4,1
"79",1,3,1,4,4,5,2,3,2,5,2,3
"80",3,2,3,4,4,5,1,2,1,5,1,2
"81",1,3,1,4,4,5,2,3,2,5,2,3
"82",5,3,5,1,1,2,4,3,4,2,4,3
"83",5,1,5,3,3,2,4,2,4,2,4,2
"84",4,3,4,2,2,1,5,1,5,1,5,1
"85",3,4,3,1,1,5,2,5,2,5,2,5
"86",3,4,3,5,5,1,2,4,2,1,2,4
"87",1,3,1,4,4,5,2,5,2,5,2,5
"88",3,1,3,5,5,4,2,1,2,4,2,1
"89",4,2,4,3,3,1,5,2,5,1,5,2
"90",4,1,4,5,5,2,3,2,3,2,3,2
"91",2,3,2,5,5,1,4,3,4,1,4,3
"92",1,5,1,4,4,3,2,5,2,3,2,5
"93",2,1,2,3,3,4,5,1,5,4,5,1
"94",5,2,5,1,1,3,4,2,4,3,4,2
"95",2,4,2,1,1,5,3,4,3,5,3,4
"96",5,3,5,2,2,4,1,4,1,4,1,4
"97",2,5,2,3,3,1,4,5,4,1,4,5
"98",4,5,4,2,2,1,3,5,3,1,3,5
"99",3,1,3,5,5,2,4,2,4,2,4,2
"100",3,5,3,2,2,1,4,5,4,1,4,5
