"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",9,3,2,9,2,4,1,7,8,1,1,6,6,6,6,8,8,3,8,5,2,5,5,6,5,1,7,7,6,4,6,6,9,8
"2",1,3,6,1,6,7,2,5,7,2,2,5,5,8,8,8,7,3,7,4,6,4,4,5,4,2,5,5,4,8,8,5,1,7
"3",1,4,8,1,8,2,7,3,5,7,7,3,3,5,5,5,5,4,5,6,8,6,6,3,6,7,3,3,6,5,5,3,1,5
"4",6,1,8,6,8,5,4,7,5,4,4,7,7,3,3,3,5,1,5,2,8,2,2,7,2,4,7,7,2,3,3,7,6,5
"5",7,3,1,7,1,8,4,5,8,4,4,5,5,6,6,6,8,3,8,2,1,2,2,5,2,4,5,5,2,6,6,5,7,8
"6",2,1,5,2,5,8,3,7,8,3,3,7,7,6,6,6,8,1,8,4,5,4,4,7,4,3,7,7,4,6,6,7,2,8
"7",1,3,2,1,2,8,4,6,8,4,4,6,6,5,5,5,8,3,8,7,2,7,7,6,7,4,6,6,7,5,5,6,1,8
"8",6,7,8,6,8,3,5,1,4,5,5,1,1,4,4,4,4,7,4,2,8,2,2,1,2,5,1,1,2,4,4,1,6,4
"9",5,8,1,5,1,3,4,7,6,4,4,7,7,6,6,6,6,8,6,2,1,2,2,7,2,4,7,7,2,6,6,7,5,6
"10",4,8,1,4,1,5,3,7,6,3,3,7,7,6,6,6,6,8,6,2,1,2,2,7,2,3,7,7,2,6,6,7,4,6
"11",2,1,5,2,5,7,8,3,4,8,8,3,3,4,4,4,4,1,4,6,5,6,6,3,6,8,3,3,6,4,4,3,2,4
"12",2,6,4,2,4,1,5,8,3,5,5,8,8,3,3,3,3,6,3,7,4,7,7,8,7,5,8,8,7,3,3,8,2,3
