"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",4,3,2,3,3,3,2,2,1,2,2,2,3,2,2,5,2,6,2,2,2,2,2,3,2,2,2,2,2
"2",4,1,2,1,1,1,2,2,3,2,2,2,1,2,2,5,2,6,2,2,2,2,2,1,2,2,2,2,2
"3",3,1,2,1,1,1,2,1,1,1,2,1,1,2,1,4,1,5,1,1,1,1,1,1,2,2,1,1,2
"4",3,1,2,1,1,1,2,1,1,1,2,1,1,2,1,4,1,5,1,1,1,1,1,1,2,2,1,1,2
"5",3,1,2,4,1,4,2,4,4,4,2,4,1,2,4,5,4,6,4,4,4,4,4,1,2,2,4,4,2
"6",2,3,1,4,3,4,1,4,4,4,1,4,3,1,4,5,4,6,4,4,4,4,4,3,1,1,4,4,1
"7",3,2,4,2,2,2,4,4,1,4,4,4,2,4,4,5,4,6,4,4,4,4,4,2,4,4,4,4,4
"8",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"9",1,2,3,2,2,2,3,3,4,3,3,3,2,3,3,5,3,6,3,3,3,3,3,2,3,3,3,3,3
"10",2,1,3,1,1,1,3,1,1,1,3,1,1,3,1,4,1,5,1,1,1,1,1,1,3,3,1,1,3
"11",1,4,3,4,4,4,3,3,2,3,3,3,4,3,3,5,3,6,3,3,3,3,3,4,3,3,3,3,3
"12",2,1,3,1,1,1,3,1,1,1,3,1,1,3,1,4,1,5,1,1,1,1,1,1,3,3,1,1,3
"13",1,3,4,3,3,3,4,4,2,4,4,4,3,4,4,5,4,6,4,4,4,4,4,3,4,4,4,4,4
"14",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"15",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"16",1,3,2,3,3,3,2,2,4,2,2,2,3,2,2,5,2,6,2,2,2,2,2,3,2,2,2,2,2
"17",3,1,2,1,1,1,2,1,1,1,2,1,1,2,1,4,1,5,1,1,1,1,1,1,2,2,1,1,2
"18",2,1,3,1,1,1,3,1,1,1,3,1,1,3,1,4,1,5,1,1,1,1,1,1,3,3,1,1,3
"19",4,1,2,1,1,1,2,2,3,2,2,2,1,2,2,5,2,6,2,2,2,2,2,1,2,2,2,2,2
"20",2,3,1,4,3,4,1,4,4,4,1,4,3,1,4,5,4,6,4,4,4,4,4,3,1,1,4,4,1
"21",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"22",1,2,3,2,2,2,3,3,4,3,3,3,2,3,3,5,3,6,3,3,3,3,3,2,3,3,3,3,3
"23",4,2,3,1,2,1,3,1,1,1,3,1,2,3,1,5,1,6,1,1,1,1,1,2,3,3,1,1,3
"24",2,1,3,1,1,1,3,1,1,1,3,1,1,3,1,4,1,5,1,1,1,1,1,1,3,3,1,1,3
"25",1,2,3,2,2,2,3,3,4,3,3,3,2,3,3,5,3,6,3,3,3,3,3,2,3,3,3,3,3
"26",2,1,4,1,1,1,4,4,3,4,4,4,1,4,4,5,4,6,4,4,4,4,4,1,4,4,4,4,4
"27",2,3,1,3,3,3,1,3,3,3,1,3,3,1,3,4,3,5,3,3,3,3,3,3,1,1,3,3,1
"28",3,4,2,4,4,4,2,2,1,2,2,2,4,2,2,5,2,6,2,2,2,2,2,4,2,2,2,2,2
"29",3,1,2,1,1,1,2,1,1,1,2,1,1,2,1,4,1,5,1,1,1,1,1,1,2,2,1,1,2
"30",1,4,2,3,4,3,2,3,3,3,2,3,4,2,3,5,3,6,3,3,3,3,3,4,2,2,3,3,2
"31",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"32",3,1,2,4,1,4,2,4,4,4,2,4,1,2,4,5,4,6,4,4,4,4,4,1,2,2,4,4,2
"33",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"34",3,2,1,2,2,2,1,2,2,2,1,2,2,1,2,4,2,5,2,2,2,2,2,2,1,1,2,2,1
"35",1,3,2,3,3,3,2,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,3,3,2,2,3,3,2
"36",2,3,1,3,3,3,1,3,3,3,1,3,3,1,3,4,3,5,3,3,3,3,3,3,1,1,3,3,1
"37",4,1,2,1,1,1,2,2,3,2,2,2,1,2,2,5,2,6,2,2,2,2,2,1,2,2,2,2,2
"38",2,3,1,3,3,3,1,3,3,3,1,3,3,1,3,4,3,5,3,3,3,3,3,3,1,1,3,3,1
