"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",3,2,4,5,4,4,4,4,4,4,4,6,2,6,4,4,4,1,4,4,4,5,4,4,4,6,4,4,4
"2",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"3",4,1,3,6,3,3,3,3,3,3,3,5,1,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"4",4,3,2,6,2,2,2,2,2,2,2,5,3,5,2,2,2,1,2,2,2,6,2,2,2,5,2,2,2
"5",1,4,2,5,2,2,2,2,2,2,2,6,4,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"6",4,1,2,5,2,2,2,2,2,2,2,6,1,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"7",1,2,4,5,4,4,4,4,4,4,4,6,2,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
"8",4,1,3,6,3,3,3,3,3,3,3,5,1,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"9",4,1,2,6,2,2,2,2,2,2,2,5,1,5,2,2,2,3,2,2,2,6,2,2,2,5,2,2,2
"10",3,4,1,6,1,1,1,1,1,1,1,5,4,5,1,1,1,2,1,1,1,6,1,1,1,5,1,1,1
"11",3,4,1,6,1,1,1,1,1,1,1,5,4,5,1,1,1,2,1,1,1,6,1,1,1,5,1,1,1
"12",2,4,3,5,3,3,3,3,3,3,3,6,4,6,3,3,3,1,3,3,3,5,3,3,3,6,3,3,3
"13",3,1,4,6,4,4,4,4,4,4,4,5,1,5,4,4,4,2,4,4,4,6,4,4,4,5,4,4,4
"14",2,4,1,6,1,1,1,1,1,1,1,5,4,5,1,1,1,3,1,1,1,6,1,1,1,5,1,1,1
"15",3,4,2,5,2,2,2,2,2,2,2,6,4,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"16",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"17",1,4,2,6,2,2,2,2,2,2,2,5,4,5,2,2,2,3,2,2,2,6,2,2,2,5,2,2,2
"18",4,3,2,5,2,2,2,2,2,2,2,6,3,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"19",3,4,1,6,1,1,1,1,1,1,1,5,4,5,1,1,1,2,1,1,1,6,1,1,1,5,1,1,1
"20",4,3,2,5,2,2,2,2,2,2,2,6,3,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"21",2,4,3,5,3,3,3,3,3,3,3,6,4,6,3,3,3,1,3,3,3,5,3,3,3,6,3,3,3
"22",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"23",1,2,3,5,3,3,3,3,3,3,3,6,2,6,3,3,3,4,3,3,3,5,3,3,3,6,3,3,3
"24",2,4,3,6,3,3,3,3,3,3,3,5,4,5,3,3,3,1,3,3,3,6,3,3,3,5,3,3,3
"25",4,3,2,5,2,2,2,2,2,2,2,6,3,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"26",1,2,4,5,4,4,4,4,4,4,4,6,2,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
"27",2,1,3,6,3,3,3,3,3,3,3,5,1,5,3,3,3,4,3,3,3,6,3,3,3,5,3,3,3
"28",2,1,3,5,3,3,3,3,3,3,3,6,1,6,3,3,3,4,3,3,3,5,3,3,3,6,3,3,3
"29",4,1,3,6,3,3,3,3,3,3,3,5,1,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"30",1,3,4,5,4,4,4,4,4,4,4,6,3,6,4,4,4,2,4,4,4,5,4,4,4,6,4,4,4
"31",1,3,4,6,4,4,4,4,4,4,4,5,3,5,4,4,4,2,4,4,4,6,4,4,4,5,4,4,4
"32",1,3,4,5,4,4,4,4,4,4,4,6,3,6,4,4,4,2,4,4,4,5,4,4,4,6,4,4,4
"33",1,4,2,5,2,2,2,2,2,2,2,6,4,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"34",4,1,3,5,3,3,3,3,3,3,3,6,1,6,3,3,3,2,3,3,3,5,3,3,3,6,3,3,3
"35",1,4,3,5,3,3,3,3,3,3,3,6,4,6,3,3,3,2,3,3,3,5,3,3,3,6,3,3,3
"36",1,2,3,5,3,3,3,3,3,3,3,6,2,6,3,3,3,4,3,3,3,5,3,3,3,6,3,3,3
"37",1,3,2,6,2,2,2,2,2,2,2,5,3,5,2,2,2,4,2,2,2,6,2,2,2,5,2,2,2
"38",1,4,2,6,2,2,2,2,2,2,2,5,4,5,2,2,2,3,2,2,2,6,2,2,2,5,2,2,2
"39",4,3,2,5,2,2,2,2,2,2,2,6,3,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"40",2,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,3,1,1,1,5,1,1,1,6,1,1,1
"41",4,3,1,5,1,1,1,1,1,1,1,6,3,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"42",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"43",1,2,4,6,4,4,4,4,4,4,4,5,2,5,4,4,4,3,4,4,4,6,4,4,4,5,4,4,4
"44",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"45",1,4,2,5,2,2,2,2,2,2,2,6,4,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"46",3,4,2,6,2,2,2,2,2,2,2,5,4,5,2,2,2,1,2,2,2,6,2,2,2,5,2,2,2
"47",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"48",4,1,2,5,2,2,2,2,2,2,2,6,1,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"49",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"50",2,1,4,6,4,4,4,4,4,4,4,5,1,5,4,4,4,3,4,4,4,6,4,4,4,5,4,4,4
"51",4,3,2,5,2,2,2,2,2,2,2,6,3,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"52",1,4,2,5,2,2,2,2,2,2,2,6,4,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"53",3,4,2,5,2,2,2,2,2,2,2,6,4,6,2,2,2,1,2,2,2,5,2,2,2,6,2,2,2
"54",2,3,1,6,1,1,1,1,1,1,1,5,3,5,1,1,1,4,1,1,1,6,1,1,1,5,1,1,1
"55",4,3,1,5,1,1,1,1,1,1,1,6,3,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"56",2,1,4,5,4,4,4,4,4,4,4,6,1,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
"57",2,1,4,5,4,4,4,4,4,4,4,6,1,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
"58",1,4,3,6,3,3,3,3,3,3,3,5,4,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"59",1,2,3,5,3,3,3,3,3,3,3,6,2,6,3,3,3,4,3,3,3,5,3,3,3,6,3,3,3
"60",4,1,3,5,3,3,3,3,3,3,3,6,1,6,3,3,3,2,3,3,3,5,3,3,3,6,3,3,3
"61",3,1,4,5,4,4,4,4,4,4,4,6,1,6,4,4,4,2,4,4,4,5,4,4,4,6,4,4,4
"62",4,1,3,5,3,3,3,3,3,3,3,6,1,6,3,3,3,2,3,3,3,5,3,3,3,6,3,3,3
"63",1,4,3,6,3,3,3,3,3,3,3,5,4,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"64",1,2,4,5,4,4,4,4,4,4,4,6,2,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
"65",2,4,3,5,3,3,3,3,3,3,3,6,4,6,3,3,3,1,3,3,3,5,3,3,3,6,3,3,3
"66",3,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"67",4,1,3,6,3,3,3,3,3,3,3,5,1,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"68",1,3,2,6,2,2,2,2,2,2,2,5,3,5,2,2,2,4,2,2,2,6,2,2,2,5,2,2,2
"69",1,2,4,5,4,4,4,4,4,4,4,6,2,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
"70",1,4,3,6,3,3,3,3,3,3,3,5,4,5,3,3,3,2,3,3,3,6,3,3,3,5,3,3,3
"71",4,3,1,5,1,1,1,1,1,1,1,6,3,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"72",3,4,2,6,2,2,2,2,2,2,2,5,4,5,2,2,2,1,2,2,2,6,2,2,2,5,2,2,2
"73",4,1,2,5,2,2,2,2,2,2,2,6,1,6,2,2,2,3,2,2,2,5,2,2,2,6,2,2,2
"74",1,4,3,5,3,3,3,3,3,3,3,6,4,6,3,3,3,2,3,3,3,5,3,3,3,6,3,3,3
"75",2,4,1,5,1,1,1,1,1,1,1,6,4,6,1,1,1,3,1,1,1,5,1,1,1,6,1,1,1
"76",4,3,1,5,1,1,1,1,1,1,1,6,3,6,1,1,1,2,1,1,1,5,1,1,1,6,1,1,1
"77",2,1,4,5,4,4,4,4,4,4,4,6,1,6,4,4,4,3,4,4,4,5,4,4,4,6,4,4,4
