"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"2",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"3",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"4",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"5",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"6",1,3,5,2,2,5,3,5,3,4,3,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
"7",1,3,4,2,2,4,3,4,3,5,3,5,5,5,6,4,4,5,4,4,4,4,4,4,5,4
"8",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"9",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"10",1,5,2,4,4,2,5,2,5,3,5,3,3,3,6,2,2,3,2,2,2,2,2,2,3,2
"11",1,5,3,2,2,3,5,3,5,4,5,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"12",1,5,4,2,2,4,5,4,5,3,5,3,3,3,6,4,4,3,4,4,4,4,4,4,3,4
"13",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"14",1,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"15",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"16",1,3,4,2,2,4,3,4,3,5,3,5,5,5,6,4,4,5,4,4,4,4,4,4,5,4
"17",1,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"18",1,5,4,2,2,4,5,4,5,3,5,3,3,3,6,4,4,3,4,4,4,4,4,4,3,4
"19",1,5,3,4,4,3,5,3,5,2,5,2,2,2,6,3,3,2,3,3,3,3,3,3,2,3
"20",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"21",1,5,3,2,2,3,5,3,5,4,5,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"22",1,2,5,3,3,5,2,5,2,4,2,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
"23",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"24",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"25",1,3,2,4,4,2,3,2,3,2,3,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"26",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"27",1,2,5,3,3,5,2,5,2,4,2,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
"28",1,2,4,3,3,4,2,4,2,5,2,5,5,5,6,4,4,5,4,4,4,4,4,4,5,4
"29",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"30",1,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"31",1,3,2,4,4,2,3,2,3,2,3,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"32",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"33",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"34",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"35",1,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"36",1,5,3,4,4,3,5,3,5,2,5,2,2,2,6,3,3,2,3,3,3,3,3,3,2,3
"37",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"38",1,4,3,5,5,3,4,3,4,2,4,2,2,2,6,3,3,2,3,3,3,3,3,3,2,3
"39",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"40",1,4,3,5,5,3,4,3,4,2,4,2,2,2,6,3,3,2,3,3,3,3,3,3,2,3
"41",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"42",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"43",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"44",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"45",1,5,2,4,4,2,5,2,5,3,5,3,3,3,6,2,2,3,2,2,2,2,2,2,3,2
"46",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"47",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"48",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"49",1,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"50",1,5,2,4,4,2,5,2,5,3,5,3,3,3,6,2,2,3,2,2,2,2,2,2,3,2
"51",1,3,5,2,2,5,3,5,3,4,3,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
"52",1,2,4,5,5,4,2,4,2,3,2,3,3,3,6,4,4,3,4,4,4,4,4,4,3,4
"53",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"54",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"55",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"56",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"57",1,5,3,2,2,3,5,3,5,4,5,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"58",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"59",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"60",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"61",1,4,2,3,3,2,4,2,4,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"62",1,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"63",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"64",1,4,3,5,5,3,4,3,4,2,4,2,2,2,6,3,3,2,3,3,3,3,3,3,2,3
"65",1,5,3,2,2,3,5,3,5,4,5,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"66",1,2,4,3,3,4,2,4,2,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"67",1,2,3,4,4,3,2,3,2,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"68",1,2,5,3,3,5,2,5,2,4,2,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
"69",1,4,3,2,2,3,4,3,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
"70",1,5,3,2,2,3,5,3,5,4,5,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"71",1,3,5,2,2,5,3,5,3,4,3,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
