"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",4,1,4,1,5,1,5,5,1,5,5,1,3,2,2,2,5,3,5,6,2,5,6,5,5,1,4,2,6,5,5,5,5,5,5
"2",2,1,2,3,3,3,3,3,3,3,3,3,1,3,3,4,3,1,1,5,3,3,5,3,3,3,2,3,5,3,3,3,3,3,3
"3",4,1,4,1,1,1,1,1,1,1,1,1,2,3,3,3,1,2,2,5,3,1,5,1,1,1,4,3,5,1,1,1,1,1,1
"4",1,3,1,3,3,3,3,3,3,3,3,3,2,4,4,4,3,2,2,5,4,3,5,3,3,3,1,4,5,3,3,3,3,3,3
"5",1,3,1,3,3,3,3,3,3,3,3,3,4,3,3,2,3,4,4,5,3,3,5,3,3,3,1,3,5,3,3,3,3,3,3
"6",4,3,4,3,3,3,3,3,3,3,3,3,2,1,1,1,3,2,2,5,1,3,5,3,3,3,4,1,5,3,3,3,3,3,3
"7",2,1,2,1,1,1,1,1,1,1,1,1,4,3,3,3,1,4,4,5,3,1,5,1,1,1,2,3,5,1,1,1,1,1,1
"8",1,3,1,3,3,3,3,3,3,3,3,3,2,4,4,4,3,2,2,5,4,3,5,3,3,3,1,4,5,3,3,3,3,3,3
"9",4,2,4,2,2,2,2,2,2,2,2,2,3,1,1,1,2,3,3,5,1,2,5,2,2,2,4,1,5,2,2,2,2,2,2
"10",4,3,4,3,5,3,5,5,3,5,5,3,1,2,2,2,5,1,5,6,2,5,6,5,5,3,4,2,6,5,5,5,5,5,5
"11",2,3,2,3,3,3,3,3,3,3,3,3,4,1,1,1,3,4,4,5,1,3,5,3,3,3,2,1,5,3,3,3,3,3,3
"12",3,1,3,1,1,1,1,1,1,1,1,1,4,2,2,2,1,4,4,5,2,1,5,1,1,1,3,2,5,1,1,1,1,1,1
"13",4,2,4,2,2,2,2,2,2,2,2,2,1,3,3,3,2,1,1,5,3,2,5,2,2,2,4,3,5,2,2,2,2,2,2
"14",4,1,4,1,1,1,1,1,1,1,1,1,2,3,3,3,1,2,2,5,3,1,5,1,1,1,4,3,5,1,1,1,1,1,1
"15",2,1,2,1,1,1,1,1,1,1,1,1,4,3,3,3,1,4,4,5,3,1,5,1,1,1,2,3,5,1,1,1,1,1,1
"16",2,4,2,1,1,1,1,1,1,1,1,1,4,1,1,3,1,4,4,5,1,1,5,1,1,1,2,1,5,1,1,1,1,1,1
"17",1,3,1,3,3,3,3,3,3,3,3,3,4,2,2,2,3,4,4,5,2,3,5,3,3,3,1,2,5,3,3,3,3,3,3
"18",1,3,1,3,3,3,3,3,3,3,3,3,4,2,2,2,3,4,4,5,2,3,5,3,3,3,1,2,5,3,3,3,3,3,3
"19",2,3,2,3,3,3,3,3,3,3,3,3,1,4,4,4,3,1,1,5,4,3,5,3,3,3,2,4,5,3,3,3,3,3,3
"20",3,1,3,1,1,1,1,1,1,1,1,1,4,2,2,2,1,4,4,5,2,1,5,1,1,1,3,2,5,1,1,1,1,1,1
"21",2,3,2,3,3,3,3,3,3,3,3,3,4,1,1,1,3,4,4,5,1,3,5,3,3,3,2,1,5,3,3,3,3,3,3
"22",5,1,5,1,3,1,3,3,1,3,3,1,4,2,2,2,3,4,3,6,2,3,6,3,3,1,5,2,6,3,3,3,3,3,3
"23",2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,1,4,3,3,5,4,4,5,4,4,4,2,4,5,4,4,4,4,4,4
"24",3,1,3,1,2,1,2,2,1,2,2,1,4,5,5,5,2,4,2,6,5,2,6,2,2,1,3,5,6,2,2,2,2,2,2
"25",3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,4,1,1,1,3,1,4,1,1,1,1,1,1
"26",2,1,2,1,5,1,5,5,1,5,5,1,4,3,3,3,5,4,5,6,3,5,6,5,5,1,2,3,6,5,5,5,5,5,5
"27",1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,4,2,3,3,5,2,2,5,2,2,2,1,2,5,2,2,2,2,2,2
"28",2,5,2,5,3,5,3,3,5,3,3,5,1,4,4,4,3,1,3,6,4,3,6,3,3,5,2,4,6,3,3,3,3,3,3
"29",2,3,2,3,3,3,3,3,3,3,3,3,1,4,4,4,3,1,1,5,4,3,5,3,3,3,2,4,5,3,3,3,3,3,3
"30",5,4,5,4,1,4,1,1,4,1,1,4,3,2,2,2,1,3,1,6,2,1,6,1,1,4,5,2,6,1,1,1,1,1,1
"31",5,3,5,3,2,3,2,2,3,2,2,3,1,4,4,4,2,1,2,6,4,2,6,2,2,3,5,4,6,2,2,2,2,2,2
"32",4,2,4,2,2,2,2,2,2,2,2,2,1,2,2,3,2,1,1,5,2,2,5,2,2,2,4,2,5,2,2,2,2,2,2
"33",3,2,3,2,4,2,4,4,2,4,4,2,5,1,1,1,4,5,4,6,1,4,6,4,4,2,3,1,6,4,4,4,4,4,4
"34",3,1,3,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,2,5,4,1,5,1,1,1,3,4,5,1,1,1,1,1,1
"35",1,3,1,3,3,3,3,3,3,3,3,3,2,4,4,4,3,2,2,5,4,3,5,3,3,3,1,4,5,3,3,3,3,3,3
"36",2,4,2,4,4,4,4,4,4,4,4,4,3,1,1,1,4,3,3,5,1,4,5,4,4,4,2,1,5,4,4,4,4,4,4
"37",2,3,2,3,5,3,5,5,3,5,5,3,4,1,1,1,5,4,5,6,1,5,6,5,5,3,2,1,6,5,5,5,5,5,5
"38",4,2,4,2,2,2,2,2,2,2,2,2,3,1,1,1,2,3,3,5,1,2,5,2,2,2,4,1,5,2,2,2,2,2,2
"39",4,2,4,2,2,2,2,2,2,2,2,2,3,1,1,1,2,3,3,5,1,2,5,2,2,2,4,1,5,2,2,2,2,2,2
"40",4,3,4,3,3,3,3,3,3,3,3,3,1,2,2,2,3,1,1,5,2,3,5,3,3,3,4,2,5,3,3,3,3,3,3
"41",5,4,5,4,2,4,2,2,4,2,2,4,3,1,1,1,2,3,2,6,1,2,6,2,2,4,5,1,6,2,2,2,2,2,2
"42",5,4,5,4,1,4,1,1,4,1,1,4,2,3,3,3,1,2,1,6,3,1,6,1,1,4,5,3,6,1,1,1,1,1,1
"43",3,2,3,2,5,2,5,5,2,5,5,2,4,1,1,1,5,4,5,6,1,5,6,5,5,2,3,1,6,5,5,5,5,5,5
"44",5,1,5,1,4,1,4,4,1,4,4,1,3,2,2,2,4,3,4,6,2,4,6,4,4,1,5,2,6,4,4,4,4,4,4
"45",2,1,2,1,5,1,5,5,1,5,5,1,4,3,3,3,5,4,5,6,3,5,6,5,5,1,2,3,6,5,5,5,5,5,5
"46",1,4,1,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,3,5,2,4,5,4,4,4,1,2,5,4,4,4,4,4,4
"47",2,3,2,3,3,3,3,3,3,3,3,3,1,4,4,4,3,1,1,5,4,3,5,3,3,3,2,4,5,3,3,3,3,3,3
"48",3,2,3,2,2,2,2,2,2,2,2,2,1,4,4,4,2,1,1,5,4,2,5,2,2,2,3,4,5,2,2,2,2,2,2
"49",1,4,1,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,3,5,2,4,5,4,4,4,1,2,5,4,4,4,4,4,4
"50",1,3,1,3,3,3,3,3,3,3,3,3,4,2,2,2,3,4,4,5,2,3,5,3,3,3,1,2,5,3,3,3,3,3,3
"51",2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,4,3,1,4,1,1,1,2,3,4,1,1,1,1,1,1
"52",4,1,4,1,5,1,5,5,1,5,5,1,2,3,3,3,5,2,5,6,3,5,6,5,5,1,4,3,6,5,5,5,5,5,5
"53",4,2,4,2,2,2,2,2,2,2,2,2,1,3,3,3,2,1,1,5,3,2,5,2,2,2,4,3,5,2,2,2,2,2,2
"54",3,1,3,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,2,5,4,1,5,1,1,1,3,4,5,1,1,1,1,1,1
"55",2,4,2,4,4,4,4,4,4,4,4,4,1,3,3,3,4,1,1,5,3,4,5,4,4,4,2,3,5,4,4,4,4,4,4
"56",4,1,4,1,1,1,1,1,1,1,1,1,2,3,3,3,1,2,2,5,3,1,5,1,1,1,4,3,5,1,1,1,1,1,1
"57",1,4,1,4,4,4,4,4,4,4,4,4,2,3,3,3,4,2,2,5,3,4,5,4,4,4,1,3,5,4,4,4,4,4,4
"58",3,1,3,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,2,5,4,1,5,1,1,1,3,4,5,1,1,1,1,1,1
"59",4,2,4,2,2,2,2,2,2,2,2,2,3,1,1,1,2,3,3,5,1,2,5,2,2,2,4,1,5,2,2,2,2,2,2
"60",3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,4,2,1,1,5,2,2,5,2,2,2,3,2,5,2,2,2,2,2,2
"61",1,5,1,5,3,5,3,3,5,3,3,5,4,2,2,2,3,4,3,6,2,3,6,3,3,5,1,2,6,3,3,3,3,3,3
"62",1,4,1,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,3,5,2,4,5,4,4,4,1,2,5,4,4,4,4,4,4
"63",4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,1,3,2,2,5,3,3,5,3,3,3,4,3,5,3,3,3,3,3,3
"64",4,2,4,2,2,2,2,2,2,2,2,2,1,3,3,3,2,1,1,5,3,2,5,2,2,2,4,3,5,2,2,2,2,2,2
"65",2,1,2,1,4,1,4,4,1,4,4,1,5,3,3,3,4,5,4,6,3,4,6,4,4,1,2,3,6,4,4,4,4,4,4
"66",2,5,2,5,3,5,3,3,5,3,3,5,4,1,1,1,3,4,3,6,1,3,6,3,3,5,2,1,6,3,3,3,3,3,3
"67",1,2,1,2,2,2,2,2,2,2,2,2,3,4,4,4,2,3,3,5,4,2,5,2,2,2,1,4,5,2,2,2,2,2,2
"68",3,1,3,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,2,5,4,1,5,1,1,1,3,4,5,1,1,1,1,1,1
"69",3,2,3,2,2,2,2,2,2,2,2,2,1,4,4,4,2,1,1,5,4,2,5,2,2,2,3,4,5,2,2,2,2,2,2
"70",3,2,3,2,2,2,2,2,2,2,2,2,4,1,1,1,2,4,4,5,1,2,5,2,2,2,3,1,5,2,2,2,2,2,2
"71",3,2,3,2,2,2,2,2,2,2,2,2,1,4,4,4,2,1,1,5,4,2,5,2,2,2,3,4,5,2,2,2,2,2,2
"72",4,1,4,1,1,1,1,1,1,1,1,1,2,3,3,3,1,2,2,5,3,1,5,1,1,1,4,3,5,1,1,1,1,1,1
"73",3,1,3,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,2,5,4,1,5,1,1,1,3,4,5,1,1,1,1,1,1
"74",4,1,4,1,2,1,2,2,1,2,2,1,5,3,3,3,2,5,2,6,3,2,6,2,2,1,4,3,6,2,2,2,2,2,2
