"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,4,5,3,5,2,3,2,2,5,3,4,3,6,3,2,2,3,3,1,4,2,2,2,3,2,3
"2",5,2,3,1,3,1,1,1,1,3,1,2,1,4,1,1,1,1,1,5,2,1,1,1,1,1,1
"3",1,5,3,4,3,4,4,4,4,3,4,5,4,2,4,4,4,4,4,1,5,4,4,4,4,4,4
"4",4,1,3,2,3,2,2,2,2,3,2,1,2,5,2,2,2,2,2,4,1,2,2,2,2,2,2
"5",1,4,6,3,6,2,3,2,2,6,3,4,3,5,3,2,2,3,3,1,4,2,2,2,3,2,3
"6",1,3,6,5,6,4,5,4,4,6,5,3,5,2,5,4,4,5,5,1,3,4,4,4,5,4,5
"7",4,5,1,2,1,3,2,3,3,1,2,5,2,6,2,3,3,2,2,4,5,3,3,3,2,3,2
"8",6,5,4,3,4,2,3,2,2,4,3,5,3,1,3,2,2,3,3,6,5,2,2,2,3,2,3
"9",4,1,6,3,6,2,3,2,2,6,3,1,3,5,3,2,2,3,3,4,1,2,2,2,3,2,3
"10",1,5,3,2,3,2,2,2,2,3,2,5,2,4,2,2,2,2,2,1,5,2,2,2,2,2,2
"11",3,5,4,1,4,2,1,2,2,4,1,5,1,6,1,2,2,1,1,3,5,2,2,2,1,2,1
"12",2,4,3,1,3,1,1,1,1,3,1,4,1,5,1,1,1,1,1,2,4,1,1,1,1,1,1
"13",5,1,2,3,2,3,3,3,3,2,3,1,3,4,3,3,3,3,3,5,1,3,3,3,3,3,3
"14",2,4,5,3,5,3,3,3,3,5,3,4,3,1,3,3,3,3,3,2,4,3,3,3,3,3,3
"15",3,5,1,4,1,4,4,4,4,1,4,5,4,2,4,4,4,4,4,3,5,4,4,4,4,4,4
"16",3,4,2,5,2,5,5,5,5,2,5,4,5,1,5,5,5,5,5,3,4,5,5,5,5,5,5
"17",1,2,6,3,6,4,3,4,4,6,3,2,3,5,3,4,4,3,3,1,2,4,4,4,3,4,3
"18",1,2,5,4,5,4,4,4,4,5,4,2,4,3,4,4,4,4,4,1,2,4,4,4,4,4,4
"19",2,5,1,4,1,4,4,4,4,1,4,5,4,3,4,4,4,4,4,2,5,4,4,4,4,4,4
"20",4,2,1,5,1,5,5,5,5,1,5,2,5,3,5,5,5,5,5,4,2,5,5,5,5,5,5
"21",1,3,2,6,2,4,6,4,4,2,6,3,6,5,6,4,4,6,6,1,3,4,4,4,6,4,6
"22",5,6,2,4,2,3,4,3,3,2,4,6,4,1,4,3,3,4,4,5,6,3,3,3,4,3,4
"23",1,5,4,2,4,3,2,3,3,4,2,5,2,6,2,3,3,2,2,1,5,3,3,3,2,3,2
"24",3,1,4,2,4,2,2,2,2,4,2,1,2,5,2,2,2,2,2,3,1,2,2,2,2,2,2
"25",1,6,4,2,4,3,2,3,3,4,2,6,2,5,2,3,3,2,2,1,6,3,3,3,2,3,2
"26",4,5,6,1,6,2,1,2,2,6,1,5,1,3,1,2,2,1,1,4,5,2,2,2,1,2,1
"27",2,4,3,5,3,5,5,5,5,3,5,4,5,1,5,5,5,5,5,2,4,5,5,5,5,5,5
"28",4,2,5,1,5,1,1,1,1,5,1,2,1,3,1,1,1,1,1,4,2,1,1,1,1,1,1
"29",5,6,2,4,2,3,4,3,3,2,4,6,4,1,4,3,3,4,4,5,6,3,3,3,4,3,4
"30",2,4,3,5,3,6,5,6,6,3,5,4,5,1,5,6,6,5,5,2,4,6,6,6,5,6,5
"31",4,1,5,2,5,2,2,2,2,5,2,1,2,3,2,2,2,2,2,4,1,2,2,2,2,2,2
"32",6,1,5,2,5,3,2,3,3,5,2,1,2,4,2,3,3,2,2,6,1,3,3,3,2,3,2
"33",2,1,3,5,3,5,5,5,5,3,5,1,5,4,5,5,5,5,5,2,1,5,5,5,5,5,5
"34",1,2,3,5,3,5,5,5,5,3,5,2,5,4,5,5,5,5,5,1,2,5,5,5,5,5,5
"35",4,2,1,3,1,3,3,3,3,1,3,2,3,5,3,3,3,3,3,4,2,3,3,3,3,3,3
"36",1,3,5,2,5,2,2,2,2,5,2,3,2,4,2,2,2,2,2,1,3,2,2,2,2,2,2
"37",2,5,1,3,1,3,3,3,3,1,3,5,3,4,3,3,3,3,3,2,5,3,3,3,3,3,3
"38",3,6,1,4,1,5,4,5,5,1,4,6,4,2,4,5,5,4,4,3,6,5,5,5,4,5,4
"39",4,6,1,3,1,2,3,2,2,1,3,6,3,5,3,2,2,3,3,4,6,2,2,2,3,2,3
"40",2,1,6,4,6,3,4,3,3,6,4,1,4,5,4,3,3,4,4,2,1,3,3,3,4,3,4
"41",5,4,6,3,6,2,3,2,2,6,3,4,3,1,3,2,2,3,3,5,4,2,2,2,3,2,3
"42",5,2,3,4,3,4,4,4,4,3,4,2,4,1,4,4,4,4,4,5,2,4,4,4,4,4,4
"43",1,2,4,3,4,3,3,3,3,4,3,2,3,5,3,3,3,3,3,1,2,3,3,3,3,3,3
"44",2,1,4,6,4,5,6,5,5,4,6,1,6,3,6,5,5,6,6,2,1,5,5,5,6,5,6
"45",1,6,4,2,4,3,2,3,3,4,2,6,2,5,2,3,3,2,2,1,6,3,3,3,2,3,2
"46",2,4,1,5,1,6,5,6,6,1,5,4,5,3,5,6,6,5,5,2,4,6,6,6,5,6,5
"47",1,5,3,4,3,4,4,4,4,3,4,5,4,2,4,4,4,4,4,1,5,4,4,4,4,4,4
"48",1,3,6,5,6,4,5,4,4,6,5,3,5,2,5,4,4,5,5,1,3,4,4,4,5,4,5
"49",4,3,1,5,1,5,5,5,5,1,5,3,5,2,5,5,5,5,5,4,3,5,5,5,5,5,5
"50",1,6,2,4,2,5,4,5,5,2,4,6,4,3,4,5,5,4,4,1,6,5,5,5,4,5,4
"51",4,6,5,1,5,2,1,2,2,5,1,6,1,3,1,2,2,1,1,4,6,2,2,2,1,2,1
"52",4,3,5,2,5,2,2,2,2,5,2,3,2,1,2,2,2,2,2,4,3,2,2,2,2,2,2
"53",6,5,1,4,1,3,4,3,3,1,4,5,4,2,4,3,3,4,4,6,5,3,3,3,4,3,4
"54",4,5,1,3,1,3,3,3,3,1,3,5,3,2,3,3,3,3,3,4,5,3,3,3,3,3,3
"55",5,1,3,2,3,2,2,2,2,3,2,1,2,4,2,2,2,2,2,5,1,2,2,2,2,2,2
"56",5,4,6,1,6,2,1,2,2,6,1,4,1,3,1,2,2,1,1,5,4,2,2,2,1,2,1
"57",1,3,2,5,2,6,5,6,6,2,5,3,5,4,5,6,6,5,5,1,3,6,6,6,5,6,5
"58",1,4,5,2,5,2,2,2,2,5,2,4,2,3,2,2,2,2,2,1,4,2,2,2,2,2,2
"59",4,3,5,2,5,2,2,2,2,5,2,3,2,1,2,2,2,2,2,4,3,2,2,2,2,2,2
"60",3,1,5,4,5,4,4,4,4,5,4,1,4,2,4,4,4,4,4,3,1,4,4,4,4,4,4
"61",3,1,4,2,4,2,2,2,2,4,2,1,2,5,2,2,2,2,2,3,1,2,2,2,2,2,2
"62",4,3,2,5,2,6,5,6,6,2,5,3,5,1,5,6,6,5,5,4,3,6,6,6,5,6,5
"63",6,1,5,3,5,4,3,4,4,5,3,1,3,2,3,4,4,3,3,6,1,4,4,4,3,4,3
"64",5,4,2,3,2,3,3,3,3,2,3,4,3,1,3,3,3,3,3,5,4,3,3,3,3,3,3
"65",6,5,1,2,1,3,2,3,3,1,2,5,2,4,2,3,3,2,2,6,5,3,3,3,2,3,2
"66",5,2,6,3,6,4,3,4,4,6,3,2,3,1,3,4,4,3,3,5,2,4,4,4,3,4,3
"67",3,1,4,6,4,5,6,5,5,4,6,1,6,2,6,5,5,6,6,3,1,5,5,5,6,5,6
"68",5,1,3,4,3,4,4,4,4,3,4,1,4,2,4,4,4,4,4,5,1,4,4,4,4,4,4
"69",5,2,4,1,4,1,1,1,1,4,1,2,1,3,1,1,1,1,1,5,2,1,1,1,1,1,1
"70",5,6,1,3,1,4,3,4,4,1,3,6,3,2,3,4,4,3,3,5,6,4,4,4,3,4,3
"71",1,5,6,4,6,3,4,3,3,6,4,5,4,2,4,3,3,4,4,1,5,3,3,3,4,3,4
"72",6,4,5,2,5,3,2,3,3,5,2,4,2,1,2,3,3,2,2,6,4,3,3,3,2,3,2
"73",5,1,3,2,3,2,2,2,2,3,2,1,2,4,2,2,2,2,2,5,1,2,2,2,2,2,2
"74",6,2,1,4,1,3,4,3,3,1,4,2,4,5,4,3,3,4,4,6,2,3,3,3,4,3,4
"75",1,5,2,3,2,4,3,4,4,2,3,5,3,6,3,4,4,3,3,1,5,4,4,4,3,4,3
"76",1,5,2,4,2,3,4,3,3,2,4,5,4,6,4,3,3,4,4,1,5,3,3,3,4,3,4
"77",3,2,5,4,5,4,4,4,4,5,4,2,4,1,4,4,4,4,4,3,2,4,4,4,4,4,4
"78",3,4,5,1,5,2,1,2,2,5,1,4,1,6,1,2,2,1,1,3,4,2,2,2,1,2,1
"79",5,6,2,4,2,3,4,3,3,2,4,6,4,1,4,3,3,4,4,5,6,3,3,3,4,3,4
"80",6,1,4,3,4,2,3,2,2,4,3,1,3,5,3,2,2,3,3,6,1,2,2,2,3,2,3
"81",1,3,5,2,5,2,2,2,2,5,2,3,2,4,2,2,2,2,2,1,3,2,2,2,2,2,2
"82",3,4,1,5,1,6,5,6,6,1,5,4,5,2,5,6,6,5,5,3,4,6,6,6,5,6,5
"83",3,4,2,5,2,5,5,5,5,2,5,4,5,1,5,5,5,5,5,3,4,5,5,5,5,5,5
"84",4,2,1,5,1,6,5,6,6,1,5,2,5,3,5,6,6,5,5,4,2,6,6,6,5,6,5
"85",3,5,2,1,2,1,1,1,1,2,1,5,1,4,1,1,1,1,1,3,5,1,1,1,1,1,1
"86",3,6,2,4,2,5,4,5,5,2,4,6,4,1,4,5,5,4,4,3,6,5,5,5,4,5,4
"87",1,5,3,4,3,4,4,4,4,3,4,5,4,2,4,4,4,4,4,1,5,4,4,4,4,4,4
"88",4,3,2,6,2,5,6,5,5,2,6,3,6,1,6,5,5,6,6,4,3,5,5,5,6,5,6
"89",1,4,2,5,2,5,5,5,5,2,5,4,5,3,5,5,5,5,5,1,4,5,5,5,5,5,5
"90",2,1,4,5,4,6,5,6,6,4,5,1,5,3,5,6,6,5,5,2,1,6,6,6,5,6,5
"91",4,5,6,3,6,2,3,2,2,6,3,5,3,1,3,2,2,3,3,4,5,2,2,2,3,2,3
"92",3,1,4,5,4,6,5,6,6,4,5,1,5,2,5,6,6,5,5,3,1,6,6,6,5,6,5
"93",1,3,5,4,5,4,4,4,4,5,4,3,4,2,4,4,4,4,4,1,3,4,4,4,4,4,4
"94",4,5,6,2,6,3,2,3,3,6,2,5,2,1,2,3,3,2,2,4,5,3,3,3,2,3,2
"95",5,3,2,6,2,1,6,1,1,2,6,3,6,4,6,1,1,6,6,5,3,1,1,1,6,1,6
"96",2,6,1,3,1,5,3,5,5,1,3,6,3,4,3,5,5,3,3,2,6,5,5,5,3,5,3
"97",2,1,3,5,3,4,5,4,4,3,5,1,5,6,5,4,4,5,5,2,1,4,4,4,5,4,5
"98",4,1,6,3,6,2,3,2,2,6,3,1,3,5,3,2,2,3,3,4,1,2,2,2,3,2,3
"99",3,1,5,2,5,2,2,2,2,5,2,1,2,4,2,2,2,2,2,3,1,2,2,2,2,2,2
"100",1,2,5,3,5,4,3,4,4,5,3,2,3,6,3,4,4,3,3,1,2,4,4,4,3,4,3
