"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"2",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"3",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"4",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"5",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"6",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"7",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"8",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"9",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"10",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"11",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"12",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"13",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"14",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"15",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"16",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"17",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"18",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"19",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"20",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"21",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"22",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"23",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"24",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"25",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"26",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"27",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"28",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"29",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"30",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"31",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"32",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"33",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"34",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"35",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"36",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"37",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"38",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"39",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"40",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"41",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"42",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"43",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"44",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"45",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"46",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"47",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"48",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"49",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"50",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"51",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"52",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"53",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"54",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"55",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"56",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"57",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"58",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"59",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"60",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"61",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"62",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"63",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"64",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"65",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"66",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"67",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"68",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"69",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"70",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"71",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"72",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"73",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"74",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"75",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"76",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"77",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"78",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"79",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"80",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"81",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"82",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"83",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"84",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"85",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"86",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"87",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"88",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"89",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"90",1,2,1,2,2,1,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"91",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"92",2,3,2,3,3,2,3,3,1,4,3,4,3,4,3,4,3,3,3,1,4,3,3,4
"93",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"94",2,1,2,1,1,2,1,1,3,4,1,4,1,4,1,4,1,1,1,3,4,1,1,4
"95",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"96",1,3,1,3,3,1,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"97",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"98",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"99",3,2,3,2,2,3,2,2,1,4,2,4,2,4,2,4,2,2,2,1,4,2,2,4
"100",3,1,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
