"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,5,6,5,5,4,1,5,1
"2",5,3,9,3,7,1,7,3,7
"3",3,1,2,1,1,4,5,1,5
"4",5,4,2,4,4,1,3,4,3
"5",1,3,8,3,3,5,6,3,6
"6",1,6,3,6,6,4,2,6,2
"7",2,1,3,1,1,6,5,1,5
"8",6,7,9,7,7,3,3,7,3
"9",2,4,5,4,4,1,3,4,3
"10",5,1,7,1,4,3,4,1,4
"11",3,4,1,4,2,5,2,4,2
"12",2,4,3,4,4,3,1,4,1
"13",5,1,3,1,1,2,4,1,4
"14",5,3,2,3,3,6,1,3,1
"15",1,4,3,4,4,3,2,4,2
"16",5,4,2,4,4,3,3,4,3
"17",3,5,6,5,2,4,2,5,2
"18",5,3,2,3,3,8,1,3,1
"19",7,1,6,1,5,4,5,1,5
"20",2,4,3,4,4,3,1,4,1
"21",7,5,1,5,4,2,4,5,4
"22",3,4,1,4,4,7,9,4,5
"23",5,4,2,4,1,1,1,4,1
"24",3,1,4,1,5,6,5,1,5
"25",7,6,8,6,6,3,5,6,9
"26",3,5,7,5,6,2,6,5,6
"27",1,5,3,5,2,4,2,5,2
"28",2,4,5,4,4,1,3,4,3
"29",6,5,1,5,5,2,3,5,3
"30",3,10,4,10,10,7,5,10,5
"31",4,5,1,5,5,2,6,5,6
"32",7,6,5,6,6,2,1,6,1
"33",5,2,4,2,2,1,1,2,1
"34",3,1,6,1,4,5,4,1,4
"35",7,4,2,4,4,2,1,4,1
"36",7,6,4,6,6,3,2,6,2
"37",3,4,7,4,6,2,6,4,6
"38",4,3,1,3,2,5,2,3,2
"39",5,3,1,3,3,2,4,3,4
"40",4,3,5,3,3,2,2,3,2
"41",8,4,2,4,5,7,5,4,5
"42",1,3,4,3,3,2,2,3,2
"43",5,1,4,1,1,9,9,1,9
"44",1,3,5,3,7,6,7,3,7
"45",2,5,1,5,5,3,3,5,3
"46",7,3,1,3,8,2,8,3,8
"47",3,2,5,2,1,4,1,2,1
"48",4,2,3,2,2,1,6,2,6
"49",7,3,1,3,3,6,4,3,4
"50",5,6,4,6,6,2,7,6,7
"51",3,9,5,9,9,2,6,9,4
"52",5,2,1,2,7,4,7,2,7
"53",8,5,3,5,5,4,2,5,6
"54",1,5,4,5,5,2,2,5,2
"55",8,5,7,5,5,2,3,5,3
"56",3,9,6,9,9,5,8,9,8
"57",1,2,5,2,2,5,8,2,8
"58",5,3,2,3,4,1,4,3,4
"59",6,4,2,4,3,1,3,4,3
"60",4,6,1,6,3,5,3,6,3
"61",4,5,6,5,3,1,3,5,3
"62",1,4,6,4,4,3,3,4,3
"63",4,8,1,8,8,6,3,8,3
"64",5,6,2,6,6,1,3,6,3
"65",8,4,7,4,4,1,2,4,2
"66",6,4,1,4,4,1,2,4,2
"67",5,3,4,3,3,2,2,3,2
"68",5,4,9,4,4,3,6,4,6
"69",5,4,3,4,1,2,1,4,1
"70",2,1,5,1,3,6,3,1,3
"71",8,6,5,6,7,3,7,6,7
"72",2,1,4,1,5,3,5,1,5
"73",2,9,5,9,9,6,4,9,4
"74",4,5,2,5,6,3,6,5,6
"75",6,3,7,3,3,4,8,3,8
"76",3,5,1,5,5,2,4,5,4
"77",4,7,3,7,7,3,5,7,5
"78",4,2,5,2,2,9,8,2,8
"79",1,3,4,3,2,6,2,3,2
"80",4,5,3,5,2,6,2,5,2
"81",6,2,1,2,2,1,10,2,10
"82",1,5,4,5,5,7,3,5,3
"83",2,4,3,4,4,1,5,4,5
"84",9,6,4,6,1,2,1,6,1
"85",1,6,3,6,4,2,4,6,4
"86",4,6,1,6,6,2,3,6,3
"87",2,4,3,4,4,1,5,4,5
"88",4,3,1,3,3,5,6,3,6
"89",3,4,5,4,4,2,6,4,6
"90",3,5,4,5,2,1,2,5,2
"91",5,1,4,1,1,6,2,1,2
"92",7,1,2,1,1,5,4,1,4
"93",2,6,8,6,3,7,3,6,3
"94",3,2,10,2,2,7,1,2,1
"95",5,3,2,3,3,4,4,3,4
"96",4,8,6,8,8,10,3,8,3
"97",8,2,1,2,4,3,4,2,4
"98",7,8,2,8,8,3,1,8,1
"99",4,1,5,1,1,5,2,1,2
"100",6,3,1,3,3,4,2,3,2
