"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",6,7,2,8,6,4,1,1,6,10,4,4
"2",9,2,3,4,9,6,7,8,9,10,11,11
"3",9,2,3,4,9,6,7,8,9,10,11,11
"4",9,2,3,4,9,6,7,8,9,10,11,11
"5",4,9,2,8,4,10,5,7,4,8,10,10
"6",1,2,5,6,1,4,3,1,1,3,4,4
"7",7,2,4,3,7,10,8,10,7,5,10,10
"8",9,2,3,4,9,6,7,8,9,10,11,11
"9",7,8,2,5,7,4,6,3,7,9,4,4
"10",4,3,1,2,4,6,5,2,4,1,6,6
"11",1,7,9,3,1,5,4,4,1,2,5,5
"12",9,2,3,4,9,6,7,8,9,10,11,11
"13",6,7,3,5,6,1,4,5,6,4,1,1
"14",10,1,4,3,10,5,7,10,10,8,5,5
"15",8,5,7,1,8,4,2,3,8,4,4,4
"16",1,3,2,8,1,6,7,4,1,7,6,6
"17",9,2,3,4,9,6,7,8,9,10,11,11
"18",9,6,1,5,9,2,4,7,9,4,2,2
"19",9,2,3,4,9,6,7,8,9,10,11,11
"20",3,4,8,7,3,2,10,1,3,10,2,2
"21",9,2,3,4,9,6,7,8,9,10,11,11
"22",9,2,3,4,9,6,7,8,9,10,11,11
"23",9,2,3,4,9,6,7,8,9,10,11,11
"24",9,2,3,4,9,6,7,8,9,10,11,11
"25",9,5,3,7,9,4,8,7,9,3,4,4
"26",3,6,1,8,3,2,5,4,3,4,2,2
"27",9,2,3,4,9,6,7,8,9,10,11,11
"28",7,6,3,10,7,1,4,2,7,2,3,3
"29",3,10,7,2,3,5,8,10,3,7,5,5
"30",2,6,8,7,2,3,5,9,2,1,3,3
"31",2,7,10,1,2,8,6,9,2,6,8,8
"32",6,7,1,9,6,8,5,8,6,1,8,8
"33",3,5,1,9,3,7,6,8,3,7,7,7
"34",6,3,4,7,6,1,2,8,6,4,1,1
"35",9,2,3,4,9,6,7,8,9,10,11,11
"36",8,7,2,1,8,10,5,9,8,4,10,10
"37",2,3,10,5,2,7,1,7,2,10,7,7
"38",4,8,2,7,4,6,3,1,4,1,6,6
"39",9,2,3,4,9,6,7,8,9,10,11,11
"40",2,6,7,1,2,4,3,9,2,10,7,7
"41",9,2,3,4,9,6,7,8,9,10,11,11
"42",1,5,7,8,1,2,3,6,1,6,2,2
"43",7,4,1,6,7,3,9,1,7,5,1,1
"44",9,2,3,4,9,6,7,8,9,10,11,11
"45",9,2,3,4,9,6,7,8,9,10,11,11
"46",4,6,5,3,4,7,2,1,4,7,7,7
"47",7,2,6,3,7,8,5,3,7,9,8,8
"48",4,1,2,3,4,5,6,5,4,2,5,5
"49",9,2,3,4,9,6,7,8,9,10,11,11
"50",3,8,4,1,3,9,2,9,3,1,9,9
"51",8,7,4,10,8,6,2,4,8,3,4,4
"52",8,6,1,2,8,4,7,5,8,5,4,4
"53",9,2,3,4,9,6,7,8,9,10,11,11
"54",9,2,3,4,9,6,7,8,9,10,11,11
"55",2,6,4,7,2,1,8,4,2,5,1,1
"56",4,2,5,1,4,8,3,6,4,7,8,8
"57",7,1,6,9,7,6,4,8,7,5,6,6
"58",9,2,4,6,9,8,7,6,9,4,8,8
"59",2,3,4,7,2,1,6,4,2,7,1,1
"60",9,2,3,4,9,6,7,8,9,10,11,11
"61",9,2,3,4,9,6,7,8,9,10,11,11
"62",9,2,3,4,9,6,7,8,9,10,11,11
"63",1,6,9,4,1,7,5,7,1,8,7,7
"64",5,1,7,2,5,4,6,7,5,8,4,4
"65",4,9,6,1,4,2,3,7,4,7,2,2
"66",6,5,3,1,6,2,4,3,6,3,2,2
"67",7,4,6,5,7,2,3,2,7,3,2,2
"68",2,5,4,8,2,7,9,4,2,3,7,7
"69",9,2,3,4,9,6,7,8,9,10,11,11
"70",2,9,7,6,2,5,8,3,2,7,5,5
"71",2,3,1,6,2,8,4,5,2,1,8,8
"72",2,5,7,4,2,8,6,8,2,7,8,8
"73",9,2,3,4,9,6,7,8,9,10,11,11
"74",3,6,2,1,3,7,5,7,3,5,7,7
"75",7,4,5,1,7,9,6,3,7,2,9,9
"76",2,1,5,4,2,7,3,2,2,6,7,7
"77",9,2,3,4,9,6,7,8,9,10,11,11
"78",9,2,3,4,9,6,7,8,9,10,11,11
"79",2,6,8,7,2,5,4,3,2,4,5,5
"80",1,6,4,7,1,3,5,2,1,6,3,3
"81",9,2,3,4,9,6,7,8,9,10,11,11
"82",10,9,6,1,10,4,8,2,10,3,6,6
"83",9,2,5,3,9,8,4,1,9,1,8,8
"84",2,8,5,4,2,3,6,1,2,6,3,3
"85",8,5,7,2,8,10,3,7,8,1,10,10
"86",9,2,3,4,9,6,7,8,9,10,11,11
"87",4,5,10,1,4,7,8,5,4,2,7,7
"88",1,6,4,5,1,7,2,4,1,2,7,7
"89",2,1,6,4,2,8,10,7,2,6,5,5
"90",1,7,2,4,1,9,8,4,1,8,9,9
"91",9,2,3,4,9,6,7,8,9,10,11,11
"92",4,8,10,7,4,5,3,2,4,5,5,5
"93",9,2,3,4,9,6,7,8,9,10,11,11
"94",2,7,10,5,2,9,6,10,2,5,9,9
"95",9,2,3,4,9,6,7,8,9,10,11,11
"96",8,4,6,5,8,3,10,10,8,9,3,3
"97",9,1,2,4,9,6,5,1,9,7,6,6
"98",9,8,7,4,9,1,6,5,9,2,1,1
"99",7,8,5,4,7,6,2,1,7,6,6,6
"100",9,2,3,4,9,6,7,8,9,10,11,11
