"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",16,11,11,17,9,14,15,1,9,2,2,17,6,12,12,13,12,4,15,2,2,1,10
"2",3,15,15,4,16,17,14,10,9,7,7,4,18,14,16,16,16,13,3,6,7,10,16
"3",9,14,14,15,10,5,3,12,17,18,18,15,8,7,1,1,1,9,18,1,17,12,2
"4",15,13,13,14,7,12,8,11,12,10,10,14,15,13,1,1,1,3,14,14,10,11,1
"5",22,10,10,2,11,1,20,6,15,21,21,2,8,21,16,16,16,15,2,14,21,6,3
"6",2,10,10,14,5,7,13,8,4,6,6,14,7,9,11,5,11,7,13,10,6,8,6
"7",14,11,11,10,12,1,3,13,6,15,15,10,6,9,4,4,4,6,9,13,15,13,15
"8",3,18,18,14,6,15,6,13,2,12,12,14,7,18,10,8,10,2,13,15,12,13,12
"9",4,7,7,1,5,7,2,5,7,4,4,1,2,3,3,3,3,6,3,7,4,5,4
"10",8,5,5,8,1,3,10,4,8,7,7,8,10,1,1,1,1,11,5,11,7,4,12
"11",12,10,10,6,8,1,18,21,3,11,11,6,13,15,15,15,15,14,4,15,11,21,6
"12",4,14,14,7,13,4,10,5,12,1,1,7,5,8,6,6,6,12,7,8,14,5,1
"13",6,5,5,9,10,3,11,8,9,6,6,9,2,10,10,10,10,4,10,10,6,8,6
"14",7,13,13,18,20,21,21,11,3,16,16,18,20,22,4,4,4,3,23,8,8,11,12
"15",7,8,8,9,4,6,10,5,12,3,3,9,10,4,11,11,11,6,3,11,2,5,3
"16",1,6,6,2,6,1,5,2,1,3,3,2,3,6,6,6,6,1,7,5,3,2,4
"17",5,19,19,9,14,18,18,17,16,5,5,7,1,8,20,20,20,9,7,6,5,17,13
"18",6,9,9,9,10,6,1,3,6,2,4,9,1,2,2,8,2,10,2,1,4,3,7
"19",7,6,6,7,12,6,11,2,5,9,9,7,8,3,12,10,12,5,11,8,9,2,3
