"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",6,33,14,28,13,31,6,21,20,21,21,13,17,20,27,28,31,27,21,6,11,33,30,21,20,21,28,28,30,33,5,1,13,20,7,30,21,21,21,36,30
"2",29,5,33,9,28,18,21,21,28,21,21,23,10,28,4,5,18,4,21,23,17,5,22,21,28,21,9,9,22,5,1,31,23,28,16,22,21,21,21,27,22
"3",7,10,5,1,12,9,2,6,4,6,6,11,7,4,12,1,9,12,6,2,10,10,3,6,4,6,1,1,3,10,9,1,11,4,11,3,6,6,6,9,3
"4",16,13,11,16,12,19,11,10,21,10,10,12,2,21,12,16,19,12,10,11,6,13,17,10,21,10,16,16,17,13,23,11,12,21,5,17,10,21,21,21,17
"5",14,8,27,4,25,14,28,30,9,30,30,22,12,9,37,4,14,37,30,28,14,8,6,30,9,30,4,4,6,8,11,31,22,9,27,6,30,30,30,24,6
"6",6,3,3,2,2,5,5,7,8,7,7,8,6,8,2,3,5,2,7,5,2,3,1,7,8,7,2,2,1,3,7,7,8,8,4,1,7,7,7,2,1
"7",9,8,8,9,2,4,11,9,2,11,11,4,1,2,2,8,4,2,11,9,4,8,5,11,2,11,9,9,5,8,7,8,4,2,3,5,11,11,11,9,5
"8",21,19,23,23,30,16,11,11,18,11,11,5,15,18,25,19,16,25,11,9,7,19,3,11,18,11,23,23,3,19,2,28,21,18,28,3,11,11,11,2,3
"9",23,5,15,10,22,24,12,12,20,12,12,10,14,20,22,10,24,22,12,12,26,5,6,12,20,12,10,10,6,5,10,5,2,10,16,6,12,12,12,21,6
"10",2,6,6,4,3,1,3,10,3,10,10,7,9,3,3,4,1,3,10,3,2,6,5,10,3,10,4,4,5,6,2,9,3,7,2,5,10,10,10,9,5
"11",27,32,19,6,4,23,9,9,10,33,33,10,2,10,4,6,23,4,33,9,15,32,12,33,10,33,6,6,12,32,13,25,21,10,21,12,33,9,9,14,12
"12",33,32,19,3,9,30,8,1,26,1,1,11,16,26,9,3,30,9,1,8,14,32,15,1,26,1,3,3,15,32,6,3,8,26,16,15,1,1,1,33,15
"13",5,4,1,15,11,11,5,1,14,1,1,10,8,14,11,15,11,11,1,5,8,4,3,1,14,1,15,15,3,4,9,7,5,10,12,3,1,1,1,13,3
"14",5,9,1,3,3,10,2,2,10,2,2,3,1,10,3,9,10,3,2,8,3,9,4,2,10,2,6,3,4,9,9,2,3,3,8,4,2,2,2,7,4
"15",23,33,30,4,27,39,6,6,9,6,6,1,13,9,18,33,39,18,6,24,21,33,36,6,9,6,4,4,36,33,35,3,3,9,16,36,6,6,6,26,36
"16",24,6,23,17,1,10,5,5,1,5,5,1,11,1,1,6,10,1,5,21,13,6,2,5,1,5,17,17,2,6,25,27,5,1,10,2,5,5,5,21,2
"17",5,2,1,5,6,1,7,4,7,4,4,6,5,7,6,2,1,6,4,7,7,2,3,4,7,4,5,5,3,2,7,6,7,7,7,3,4,4,4,4,3
"18",8,5,2,4,4,7,9,1,9,1,1,4,8,9,6,4,7,6,1,9,3,5,2,1,9,1,4,4,2,5,1,1,9,9,6,2,1,1,1,3,2
"19",2,10,3,3,2,2,6,4,6,4,4,1,9,6,2,3,2,2,4,6,7,10,8,4,6,4,11,3,8,10,3,6,1,1,5,8,4,4,4,3,8
"20",23,33,21,5,3,22,9,20,4,20,20,37,24,4,3,5,22,3,20,9,18,33,27,20,4,20,5,5,27,33,30,7,37,4,31,27,20,4,4,36,27
"21",18,15,6,10,12,12,6,6,3,6,6,21,13,3,10,15,12,10,6,6,24,15,4,6,3,6,10,10,4,15,4,19,16,21,9,4,6,6,6,20,4
"22",3,1,3,11,2,4,9,12,16,12,12,15,3,16,2,11,4,2,12,9,16,1,14,12,16,12,11,11,14,1,3,2,15,15,7,14,12,12,12,17,14
"23",29,25,1,25,27,5,18,13,27,13,13,26,30,27,27,25,5,27,13,18,13,25,15,13,27,13,31,25,15,25,4,23,26,27,24,15,13,8,8,33,15
"24",11,8,11,1,3,4,9,9,6,9,9,5,11,6,3,1,4,3,9,3,10,8,7,9,6,9,1,1,7,8,4,2,12,5,10,7,9,9,9,4,7
