"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"1",20,18,18,24,17,20,16,19,20,12,24,20,20,8,17,16,17,22,22,16,20,22,24,27,4,24,1,22,28,8,33,12,13,21,16,22,16,19,30,19,31,12,20,22,21,17,22,18,22,20,27,33,6,22,21,16
"2",2,15,15,5,13,2,16,23,2,3,5,2,17,17,18,8,18,22,1,16,2,1,5,5,9,5,5,1,19,17,20,21,24,15,16,1,16,23,22,23,17,23,2,1,15,18,15,24,1,2,3,24,18,1,5,16
"3",9,7,7,8,7,9,5,6,9,4,8,9,8,8,7,2,7,2,2,5,9,2,8,3,1,8,4,2,2,8,6,1,6,5,5,2,5,6,5,6,8,3,9,2,3,7,5,6,2,9,5,5,5,2,6,5
"4",21,11,11,17,26,21,4,24,21,16,17,25,20,20,26,20,26,7,7,4,21,7,17,4,6,17,13,7,2,20,13,1,15,7,4,7,4,24,12,24,10,7,21,7,16,26,2,16,7,21,17,9,6,7,16,4
"5",2,8,8,12,8,2,16,16,2,12,12,15,11,11,1,4,1,9,9,16,2,9,12,16,15,12,14,9,6,11,7,9,2,16,16,9,16,16,1,16,5,15,2,9,10,1,1,10,9,2,3,15,1,9,6,16
"6",29,12,12,28,26,29,24,27,29,14,28,32,32,29,26,6,26,20,11,24,29,11,28,27,17,28,4,11,15,29,3,1,23,31,24,11,24,27,5,27,5,18,29,11,14,26,3,17,11,29,24,6,15,11,8,24
"7",9,10,10,8,2,9,4,8,9,6,8,9,1,1,2,8,2,10,1,4,9,1,8,5,6,8,3,1,1,1,3,6,7,1,4,1,4,8,6,8,8,10,9,1,3,2,5,8,1,9,3,6,9,1,5,4
"8",8,11,11,2,9,8,3,3,8,9,2,4,4,1,9,5,9,14,14,3,8,14,2,2,7,2,8,14,14,1,2,1,11,7,3,14,3,3,1,3,2,8,8,14,13,9,9,12,14,8,13,6,5,14,7,3
"9",3,2,2,2,5,3,6,6,3,6,2,3,3,3,5,2,5,1,1,6,3,1,2,6,4,2,1,1,1,3,2,2,2,5,6,1,6,6,3,6,6,4,3,1,4,5,1,4,1,3,2,4,4,1,2,6
"10",7,13,13,12,6,7,9,14,7,5,12,7,7,12,6,13,6,11,11,9,7,11,12,4,4,12,11,11,10,12,8,6,5,13,9,11,9,14,4,14,13,14,7,11,1,6,2,2,11,7,9,12,2,11,12,9
"11",3,3,3,6,7,3,1,1,3,4,6,3,3,6,7,1,7,5,5,1,6,5,6,1,6,6,6,5,5,6,3,6,2,4,1,5,1,1,5,1,4,1,3,5,6,7,4,5,5,3,1,3,1,5,6,1
"12",3,13,13,8,16,3,11,11,3,7,8,3,3,1,10,2,10,9,6,11,3,6,8,2,16,8,6,6,4,1,3,8,5,10,11,6,11,11,12,11,7,2,3,6,7,10,10,5,6,3,8,6,15,6,9,11
"13",19,15,15,14,7,19,33,18,19,5,14,19,19,6,32,24,32,1,28,33,19,28,14,22,11,14,8,28,28,6,7,21,31,30,33,28,33,18,24,18,10,20,19,28,2,32,6,2,28,19,16,9,2,28,8,33
"14",5,1,1,6,6,5,7,7,5,2,4,4,4,2,1,6,1,3,3,7,5,3,4,7,6,4,5,3,2,2,2,5,6,6,7,3,7,7,6,7,4,2,5,3,7,1,3,3,3,5,4,3,2,3,4,7
"15",3,12,12,12,12,3,8,8,3,2,12,1,1,3,10,2,10,11,7,8,3,7,12,4,11,12,7,7,7,3,12,6,12,3,8,7,8,8,9,8,1,6,3,7,9,10,2,5,7,3,9,6,4,7,12,8
"16",4,8,1,1,5,4,9,3,4,3,5,5,1,1,7,9,7,6,6,9,1,6,5,9,2,5,6,6,6,1,7,1,4,1,9,6,9,3,1,3,2,4,4,6,2,7,9,5,6,4,5,8,2,6,8,9
"17",1,7,7,6,5,1,4,2,1,11,6,14,14,12,5,3,5,9,9,4,1,9,6,10,13,6,1,9,6,12,4,10,1,3,4,9,4,2,3,2,9,3,1,9,11,5,4,8,9,1,8,7,12,9,11,4
"18",21,1,1,17,12,21,5,5,21,26,17,21,21,17,12,26,12,16,3,5,21,3,17,18,18,17,11,3,20,17,8,3,25,4,5,3,5,5,2,5,6,26,21,3,24,12,17,5,3,21,22,21,20,3,17,5
"19",16,1,1,1,18,16,14,14,16,3,1,8,8,3,18,16,18,10,2,14,16,2,1,13,10,1,1,2,5,3,6,12,6,1,14,2,14,14,1,14,6,6,16,2,12,18,16,17,2,16,17,10,16,2,8,14
