"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91"
"1",3,6,18,42,18,18,38,11,44,46,1,1,5,5,44,36,4,10,31,46,42,18,18,18,18,5,42,4,6,38,18,5,2,3,5,18,35,2,31,44,18,18,22,5,23,18,36,10,5,15,35,35,5,5,5,10,18,18,12,11,22,18,35,33,20,46,38,18,37,5,9,10,18,2,33,11,41,9,7,18,35,18,7,5,5,5,5,9,13,31,18
"2",1,6,14,20,14,14,19,12,15,2,28,28,7,14,15,13,20,17,7,2,8,14,14,14,14,20,20,24,6,7,14,20,11,26,20,14,25,7,7,10,14,14,21,20,17,14,13,15,20,12,5,5,14,14,20,4,14,14,13,22,23,14,25,21,25,15,7,14,28,14,24,15,14,7,2,22,22,24,18,14,25,14,18,20,20,20,20,24,17,7,14
"3",39,20,1,11,18,18,44,17,6,22,24,24,17,38,23,5,44,4,1,22,6,18,18,18,18,39,11,36,20,1,18,39,19,3,25,26,18,26,1,30,18,18,19,33,17,18,35,16,39,6,43,4,18,33,39,1,18,18,9,16,42,18,18,27,25,32,1,18,36,39,14,16,18,26,15,21,28,14,14,18,18,18,29,39,39,39,39,30,7,1,18
"4",11,29,7,29,7,7,27,16,12,26,8,8,14,25,21,25,1,24,23,26,12,7,7,7,7,4,29,24,29,23,7,4,18,11,4,7,22,5,23,16,7,7,13,10,23,7,25,3,1,27,30,30,10,10,4,28,7,7,23,10,3,7,22,1,16,26,23,7,18,11,15,3,7,5,7,12,29,15,5,7,22,7,5,4,4,4,4,15,30,23,7
"5",20,18,25,10,25,25,28,12,22,7,21,21,28,16,22,17,23,17,20,7,20,25,25,25,25,12,10,18,18,20,25,12,13,20,12,25,26,13,20,3,25,25,6,17,25,25,17,22,23,22,5,5,17,17,12,20,25,25,21,14,22,25,26,10,26,26,9,25,28,16,4,22,25,13,18,24,26,4,3,25,26,25,11,12,12,12,12,4,11,20,25
"6",28,9,23,17,23,23,6,21,19,7,3,3,15,21,10,14,1,18,13,7,19,23,23,23,23,1,17,15,9,8,23,1,29,9,1,15,28,15,13,22,23,23,29,1,12,23,14,16,1,11,24,12,8,8,1,26,23,23,17,16,16,23,28,13,8,2,8,23,25,21,30,16,23,15,13,8,22,30,26,23,28,23,8,1,1,1,1,30,15,13,23
"7",30,12,3,19,3,3,4,17,21,27,32,32,15,10,21,25,7,16,31,27,19,3,3,3,3,30,19,9,12,6,3,30,2,42,17,45,30,45,31,8,3,3,24,10,8,3,22,46,7,35,29,29,10,10,30,35,3,3,8,46,16,3,30,36,36,19,6,3,1,30,38,46,3,45,17,18,36,38,45,3,30,3,2,30,30,30,30,38,1,31,3
"8",35,29,24,28,30,30,16,18,34,31,12,12,35,11,14,1,32,16,24,31,34,30,30,30,30,32,28,1,29,5,30,32,16,35,20,30,30,16,24,34,30,30,11,14,29,30,1,23,32,21,19,19,14,14,32,11,30,30,26,27,23,30,30,31,22,15,5,30,31,35,17,23,30,16,31,14,6,17,21,30,30,30,31,32,32,32,32,17,21,24,30
"9",7,18,19,28,5,5,22,26,28,20,2,2,4,12,28,23,11,27,19,20,7,5,5,5,5,10,28,27,18,19,5,10,21,7,10,21,5,16,19,28,5,5,24,10,26,5,23,23,10,20,5,4,5,5,10,29,5,5,4,3,5,5,5,20,7,6,19,5,14,12,9,23,5,21,1,10,11,9,21,5,5,5,3,10,10,10,10,9,23,19,5
"10",24,17,24,24,24,24,32,4,22,34,14,14,14,17,20,35,1,1,25,34,22,24,24,24,24,1,1,3,17,9,24,1,6,3,1,24,15,6,25,25,24,24,18,17,2,24,35,36,1,31,28,3,17,17,1,5,24,24,13,10,36,24,7,34,3,31,9,24,32,24,27,36,24,6,34,36,28,27,6,24,7,24,31,1,1,1,1,27,1,25,24
