"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",5,9,8,9,8,4,2,6,2,9,4
"2",6,4,5,4,5,2,1,3,1,4,2
"3",1,4,10,4,10,3,11,6,11,4,3
"4",4,6,7,6,7,8,3,9,3,6,8
"5",5,4,3,4,3,2,1,8,1,4,2
"6",4,10,9,10,9,3,1,3,1,10,3
"7",2,3,4,3,4,1,5,6,5,3,1
"8",7,3,2,3,2,8,4,5,4,3,8
"9",7,2,1,2,1,6,3,4,3,2,6
"10",5,3,9,3,9,6,8,11,8,3,6
"11",5,3,8,3,8,7,4,6,4,3,7
"12",4,6,5,6,5,1,3,4,3,6,1
"13",2,6,3,6,3,4,5,7,5,6,4
"14",1,5,3,5,3,2,4,6,4,5,2
"15",5,7,1,7,5,1,2,3,2,7,1
"16",5,3,4,3,4,2,1,7,1,3,2
"17",1,4,5,4,5,3,7,8,7,4,3
"18",5,6,10,6,10,4,7,3,7,6,4
"19",2,4,3,4,3,7,1,5,1,4,7
"20",8,6,4,6,8,4,12,7,12,6,4
"21",3,4,5,4,5,8,1,7,1,4,8
"22",5,4,3,4,3,8,7,6,7,4,8
"23",8,1,7,1,7,4,9,2,9,1,4
"24",8,5,7,5,7,3,4,10,4,5,3
"25",1,4,3,4,3,2,7,6,7,4,2
"26",3,8,9,8,9,6,7,10,7,8,6
"27",4,5,7,5,7,8,9,3,9,5,8
"28",9,8,5,8,5,1,6,4,6,8,1
"29",3,8,9,8,9,4,6,1,6,8,4
"30",2,3,8,3,8,1,5,10,5,3,1
"31",7,2,3,2,3,6,8,4,8,2,6
"32",1,5,7,5,7,6,8,2,8,5,6
"33",2,6,5,6,5,3,4,7,4,6,3
"34",3,6,4,6,4,1,2,5,2,6,1
"35",3,5,7,5,7,1,6,4,6,5,1
"36",2,5,7,5,7,4,1,8,1,5,4
"37",8,1,5,1,5,6,7,2,7,1,6
"38",3,8,4,8,4,9,10,7,10,8,9
"39",7,8,1,8,1,2,5,6,5,8,2
"40",7,10,3,10,3,1,9,4,9,10,1
"41",1,7,2,7,2,6,4,3,4,7,6
"42",6,7,5,7,5,8,1,4,1,7,8
"43",9,2,4,2,4,1,7,9,7,2,1
"44",7,8,6,8,6,9,5,1,5,8,9
"45",6,4,5,4,5,7,3,2,3,4,7
"46",4,3,4,3,4,2,5,9,5,3,2
"47",4,6,3,6,3,5,7,2,7,6,5
"48",1,5,8,5,8,6,7,2,7,5,6
"49",4,8,6,8,6,3,7,2,7,8,3
"50",4,7,5,7,5,1,3,6,3,7,1
"51",3,1,7,1,7,6,4,2,4,1,6
"52",6,8,7,8,7,2,9,4,9,8,2
"53",1,8,5,8,5,6,4,2,4,8,6
"54",4,7,9,7,9,6,10,11,10,7,6
"55",8,1,10,1,10,4,7,5,7,1,4
"56",10,7,11,7,11,6,4,9,4,7,6
"57",4,1,2,1,2,5,9,7,9,1,5
"58",6,8,7,8,7,3,10,2,10,8,3
"59",6,8,2,8,2,7,1,3,1,8,7
"60",3,6,5,6,5,7,2,4,2,6,7
"61",6,4,3,4,3,2,1,8,1,4,2
"62",7,6,8,6,8,5,3,2,3,6,5
"63",7,10,9,10,9,4,8,5,8,10,4
"64",3,1,7,1,7,5,2,6,2,1,5
"65",4,7,3,7,3,8,6,2,6,7,8
"66",7,9,3,9,3,5,8,2,8,9,5
"67",6,3,2,3,2,1,5,4,5,3,1
"68",4,3,7,3,7,6,1,2,1,3,6
"69",6,5,9,5,9,2,7,4,7,5,2
"70",1,2,6,2,6,5,3,7,3,2,5
"71",4,2,7,2,7,9,6,1,6,2,9
"72",2,3,5,3,5,7,4,6,4,3,7
"73",8,4,7,4,7,5,3,2,3,4,5
"74",2,8,1,8,1,6,3,7,3,8,6
"75",2,7,6,7,6,1,4,5,4,7,1
"76",12,3,6,3,6,8,7,8,7,3,8
"77",6,7,4,7,4,2,3,5,3,7,2
"78",5,6,1,6,1,4,2,3,2,6,4
"79",3,7,9,7,9,8,6,2,6,7,8
"80",5,9,8,9,8,6,3,2,3,9,6
"81",8,1,11,1,11,7,6,2,6,1,7
"82",1,8,5,8,5,4,3,7,3,8,4
"83",4,3,6,3,6,1,5,4,5,3,1
"84",3,4,7,4,7,5,2,1,2,4,5
"85",5,3,2,3,2,4,1,5,1,3,4
"86",4,8,1,8,1,5,7,3,7,8,5
"87",6,2,8,2,8,7,3,4,3,2,7
"88",2,1,6,1,6,5,3,7,3,1,5
"89",4,3,5,3,5,2,7,6,7,3,2
"90",9,7,3,7,3,1,2,4,2,7,1
"91",3,1,2,1,2,11,6,5,6,1,11
"92",5,3,2,3,2,4,6,1,6,3,4
"93",7,8,3,8,3,6,2,4,2,8,6
"94",3,2,10,2,10,7,9,6,9,2,7
"95",3,7,1,7,1,2,8,4,8,7,2
"96",7,5,1,5,1,3,6,2,6,5,3
"97",6,5,4,5,4,1,2,7,2,5,1
"98",8,1,2,1,2,5,7,8,7,1,5
"99",7,3,6,3,6,2,9,5,9,3,2
"100",7,3,5,3,5,2,4,5,4,3,2
