"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,2,2,5,3,3,3,3,2,1,1,1,1
"2",1,1,1,6,4,4,4,4,1,7,7,7,7
"3",5,5,5,3,2,2,2,2,5,4,4,4,4
"4",5,5,5,4,6,6,6,6,5,3,3,3,3
"5",3,3,3,5,4,4,4,4,3,2,2,2,2
"6",5,5,5,4,3,3,3,3,5,2,2,2,2
"7",2,2,2,5,1,1,1,1,2,3,3,3,3
"8",2,2,2,3,1,1,1,1,2,5,5,5,5
"9",4,4,4,2,1,1,1,1,4,3,3,3,3
"10",6,6,6,2,5,5,5,5,6,4,4,4,4
"11",1,1,1,3,5,5,5,5,1,4,4,4,4
"12",1,1,1,3,5,5,5,5,1,2,2,2,2
"13",6,6,6,5,3,3,3,3,6,1,1,1,1
"14",5,5,5,1,2,2,2,2,5,3,3,3,3
"15",1,1,1,4,2,2,2,2,1,3,3,3,3
"16",6,6,6,2,8,8,8,8,6,1,1,1,1
"17",3,3,3,4,5,5,5,5,3,1,1,1,1
"18",6,6,6,5,3,3,3,3,6,1,1,1,1
"19",1,1,1,5,6,6,6,6,1,3,3,3,3
"20",1,1,1,3,4,4,4,4,1,5,5,5,5
"21",2,2,2,4,5,5,5,5,2,1,1,1,1
"22",1,1,1,3,2,2,2,2,1,5,5,5,5
"23",4,4,4,3,2,2,2,2,4,1,1,1,1
"24",1,1,1,2,4,4,4,4,1,3,3,3,3
"25",5,5,5,1,2,2,2,2,5,3,3,3,3
"26",2,2,2,4,1,1,1,1,2,5,5,5,5
"27",3,3,3,4,1,1,1,1,3,2,2,2,2
"28",3,3,3,1,6,6,6,6,3,4,4,4,4
"29",4,4,4,2,1,1,1,1,4,3,3,3,3
"30",2,2,2,4,3,3,3,3,2,1,1,1,1
"31",1,1,1,5,2,2,2,2,1,3,3,3,3
"32",3,3,3,5,2,2,2,2,3,4,4,4,4
"33",4,4,4,2,3,3,3,3,4,5,5,5,5
"34",4,4,4,1,6,6,6,6,4,7,7,7,7
"35",1,1,1,4,2,2,2,2,1,5,5,5,5
"36",4,4,4,5,3,3,3,3,4,1,1,1,1
"37",3,3,3,4,2,2,2,2,3,5,5,5,5
"38",1,1,1,2,5,5,5,5,1,3,3,3,3
"39",2,2,2,5,1,1,1,1,2,4,4,4,4
"40",2,2,2,5,3,3,3,3,2,4,4,4,4
"41",5,5,5,3,4,4,4,4,5,2,2,2,2
"42",5,5,5,2,1,1,1,1,5,3,3,3,3
"43",1,1,1,3,4,4,4,4,1,5,5,5,5
"44",3,3,3,2,1,1,1,1,3,5,5,5,5
"45",5,5,5,2,1,1,1,1,5,3,3,3,3
"46",1,1,1,3,2,2,2,2,1,4,4,4,4
"47",1,1,1,3,4,4,4,4,1,5,5,5,5
"48",2,2,2,6,1,1,1,1,2,3,3,3,3
"49",2,2,2,6,1,1,1,1,2,5,5,5,5
"50",5,5,5,6,4,4,4,4,5,1,1,1,1
"51",1,1,1,2,3,3,3,3,1,5,5,5,5
"52",3,3,3,1,4,4,4,4,3,2,2,2,2
"53",5,5,5,2,3,3,3,3,5,1,1,1,1
"54",4,4,4,5,1,1,1,1,4,2,2,2,2
"55",3,3,3,5,1,1,1,1,3,4,4,4,4
"56",5,5,5,4,1,1,1,1,5,3,3,3,3
"57",1,1,1,2,5,5,5,5,1,3,3,3,3
"58",4,4,4,1,3,3,3,3,4,2,2,2,2
"59",5,5,5,2,3,3,3,3,5,4,4,4,4
"60",3,3,3,4,1,1,1,1,3,5,5,5,5
"61",2,2,2,1,4,4,4,4,2,3,3,3,3
"62",3,3,3,4,2,2,2,2,3,1,1,1,1
"63",1,1,1,2,5,5,5,5,1,4,4,4,4
"64",6,6,6,3,1,1,1,1,6,5,5,5,5
"65",5,5,5,4,2,2,2,2,5,1,1,1,1
"66",2,2,2,1,4,4,4,4,2,3,3,3,3
"67",2,2,2,3,6,6,6,6,2,5,5,5,5
"68",4,4,4,6,2,2,2,2,4,3,3,3,3
"69",6,6,6,1,4,4,4,4,6,2,2,2,2
