"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"2",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"3",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"4",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"5",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"6",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"7",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"8",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"9",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"10",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"11",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"12",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"13",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"14",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"15",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"16",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"17",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"18",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"19",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"20",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"21",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"22",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"23",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"24",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"25",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"26",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"27",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"28",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"29",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"30",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"31",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"32",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"33",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"34",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"35",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"36",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"37",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"38",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"39",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"40",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"41",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"42",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"43",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"44",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"45",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"46",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"47",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"48",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"49",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"50",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"51",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"52",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"53",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"54",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"55",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"56",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"57",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"58",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"59",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"60",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"61",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"62",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"63",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"64",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"65",13,1,5,9,2,9,5,1,9,9,9,9,2,5
"66",12,1,5,9,2,9,5,1,9,9,9,9,2,5
"67",13,1,5,9,2,9,5,1,9,9,9,9,2,5
