"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,3,7,5,3,7,8,9,10,11,12,13
"2",4,3,8,2,13,8,2,10,13,14,14,7,11
"3",1,2,3,7,5,3,7,8,9,10,11,12,13
"4",1,2,3,7,5,3,7,8,9,10,11,12,13
"5",1,2,3,7,5,3,7,8,9,10,11,12,13
"6",1,4,10,12,11,10,12,8,5,5,11,9,9
"7",1,9,7,3,11,7,3,8,8,9,10,6,10
"8",1,2,3,7,5,3,7,8,9,10,11,12,13
"9",1,2,3,7,5,3,7,8,9,10,11,12,13
"10",1,2,3,7,5,3,7,8,9,10,11,12,13
"11",5,6,7,1,9,7,1,2,12,12,9,8,8
"12",7,13,1,14,12,1,14,3,12,13,12,14,5
"13",11,8,13,12,3,13,12,10,6,8,4,2,6
"14",8,5,9,7,14,9,7,6,2,2,4,12,10
"15",6,5,7,2,4,7,2,3,4,5,4,1,2
"16",2,11,8,6,11,8,6,12,10,10,3,5,7
"17",9,8,14,5,2,14,5,1,4,8,1,3,12
"18",2,3,9,10,1,9,10,4,4,3,1,11,10
"19",4,3,2,8,1,2,8,9,1,3,2,5,1
"20",9,8,3,11,12,3,11,5,2,8,8,4,2
"21",1,2,3,7,5,3,7,8,9,10,11,12,13
"22",1,2,3,7,5,3,7,8,9,10,11,12,13
"23",8,4,12,9,14,12,9,10,10,4,7,11,5
"24",1,2,3,7,5,3,7,8,9,10,11,12,13
"25",9,7,3,2,12,3,2,13,12,1,11,4,4
"26",2,7,8,4,10,8,4,9,13,6,10,12,1
"27",11,9,12,13,1,12,13,10,1,2,8,3,7
"28",1,2,3,7,5,3,7,8,9,10,11,12,13
"29",10,8,5,6,2,5,6,4,9,9,7,7,1
"30",1,2,3,7,5,3,7,8,9,10,11,12,13
"31",2,8,4,10,9,4,10,3,1,5,3,7,1
"32",5,10,4,1,6,4,1,3,3,10,10,12,11
"33",9,7,6,2,1,6,2,3,1,7,10,11,8
"34",10,11,4,2,12,4,2,5,6,3,1,8,6
"35",10,8,1,12,9,1,12,9,9,8,13,10,4
"36",2,6,8,5,7,8,5,3,10,6,4,11,9
"37",1,2,3,7,5,3,7,8,9,10,11,12,13
"38",1,2,3,7,5,3,7,8,9,10,11,12,13
"39",8,6,1,11,10,1,11,3,10,7,3,12,2
"40",1,2,3,7,5,3,7,8,9,10,11,12,13
"41",8,4,3,2,7,3,2,7,7,11,11,5,1
"42",9,7,11,4,10,11,4,5,5,1,6,2,8
"43",1,2,3,7,5,3,7,8,9,10,11,12,13
"44",9,11,5,8,10,5,8,1,10,10,7,11,4
"45",1,14,2,13,6,2,13,5,10,4,3,7,10
"46",2,10,3,9,11,3,9,7,1,4,6,5,1
"47",1,2,3,7,5,3,7,8,9,10,11,12,13
"48",5,11,1,8,2,1,8,7,10,11,9,3,14
"49",9,2,7,13,8,7,13,12,4,2,5,10,4
"50",9,10,5,4,11,5,4,6,7,7,8,11,3
"51",7,11,10,4,10,10,4,5,2,11,12,9,2
"52",1,2,3,7,5,3,7,8,9,10,11,12,13
"53",1,2,3,7,5,3,7,8,9,10,11,12,13
"54",7,3,10,1,8,10,1,9,5,3,6,2,5
"55",1,2,3,7,5,3,7,8,9,10,11,12,13
"56",4,8,7,11,3,7,11,1,5,8,2,9,10
"57",7,2,6,4,1,6,4,3,8,2,1,5,5
"58",1,2,3,7,5,3,7,8,9,10,11,12,13
"59",10,3,12,13,5,12,13,1,14,14,2,8,8
"60",1,2,3,7,5,3,7,8,9,10,11,12,13
"61",1,2,3,7,5,3,7,8,9,10,11,12,13
"62",1,2,3,7,5,3,7,8,9,10,11,12,13
"63",11,8,2,6,10,2,6,3,12,12,5,14,1
"64",13,7,4,8,2,4,8,11,6,7,3,14,1
"65",8,4,2,5,1,2,5,7,1,1,9,4,6
"66",3,4,5,10,14,5,10,2,2,4,8,8,13
"67",10,7,11,13,3,11,13,12,9,4,3,1,6
"68",1,2,3,7,5,3,7,8,9,10,11,12,13
"69",1,2,3,7,5,3,7,8,9,10,11,12,13
"70",1,2,3,7,5,3,7,8,9,10,11,12,13
