"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,7,4,1,7,1,2,1,7,6
"2",7,5,2,6,5,6,4,6,5,3
"3",6,4,7,1,4,1,3,1,4,5
"4",3,5,2,7,5,7,6,7,5,4
"5",10,11,7,1,11,1,4,1,11,2
"6",4,7,1,2,7,2,5,2,7,9
"7",4,7,1,10,7,10,6,10,7,2
"8",2,6,3,8,6,8,1,8,6,4
"9",2,5,1,6,5,6,6,6,5,3
"10",6,4,7,5,4,5,2,5,4,3
"11",2,5,6,4,5,4,1,4,5,7
"12",5,4,1,6,4,6,7,6,4,2
"13",1,3,4,5,3,5,2,5,3,6
"14",7,8,5,6,8,6,3,6,8,2
"15",4,3,5,2,3,2,1,2,3,6
"16",5,8,2,7,8,7,3,7,8,3
"17",9,10,2,1,10,1,3,1,10,7
"18",2,10,7,5,10,5,3,5,10,8
"19",1,3,5,6,3,6,4,6,3,7
"20",6,4,5,3,4,3,1,3,4,2
"21",3,6,9,8,6,8,7,8,6,10
"22",8,2,1,9,2,9,6,9,2,6
"23",3,5,8,7,5,7,6,7,5,1
"24",1,2,3,5,2,5,4,5,2,6
"25",3,2,8,7,2,7,5,7,2,4
"26",1,7,3,2,7,2,8,2,7,6
"27",2,5,8,4,5,4,1,4,5,6
"28",7,4,9,1,4,1,6,1,4,5
"29",5,1,7,2,1,2,3,2,1,4
"30",6,4,1,3,4,3,5,3,4,2
"31",3,2,5,4,2,4,6,4,2,1
"32",5,4,1,8,4,8,6,8,4,6
"33",5,6,3,2,6,2,4,2,6,8
"34",1,2,3,4,2,4,7,4,9,10
"35",4,8,2,9,8,9,10,9,8,6
"36",1,6,7,9,6,9,3,9,6,2
"37",1,5,6,3,5,3,4,3,5,2
"38",1,7,8,2,7,2,5,2,7,4
"39",3,4,2,5,4,5,1,5,4,6
"40",5,10,7,8,10,8,3,8,10,6
"41",3,2,9,5,2,5,8,5,2,4
"42",1,4,3,5,4,5,6,5,4,2
"43",2,5,6,1,5,1,3,1,5,4
"44",6,3,7,2,3,2,5,2,3,1
"45",6,7,2,3,7,3,1,3,7,5
"46",7,1,3,2,1,2,2,2,1,8
"47",3,1,5,4,1,4,6,4,1,2
"48",6,1,4,5,1,5,2,5,1,3
"49",4,9,1,10,9,10,8,10,9,5
"50",4,11,1,8,11,8,3,8,11,6
"51",5,4,2,6,4,6,9,6,4,3
"52",9,6,5,1,6,1,10,1,6,8
"53",4,6,5,2,6,2,3,2,6,1
"54",8,6,2,1,6,1,3,1,6,9
"55",1,5,3,6,5,6,8,6,5,4
"56",2,3,7,5,3,5,6,5,3,1
"57",4,2,5,9,2,9,3,9,2,1
"58",2,4,1,3,4,3,6,3,4,5
"59",4,1,9,7,1,7,3,7,1,2
"60",4,2,1,7,2,7,3,7,2,6
"61",1,3,6,2,3,2,7,2,3,5
"62",7,10,4,6,10,6,9,6,10,5
"63",1,7,2,5,7,5,3,5,7,6
"64",5,4,3,7,4,7,2,7,4,9
"65",6,1,3,4,1,4,2,4,1,7
"66",1,6,3,8,6,8,4,8,6,7
"67",2,5,1,6,5,6,9,6,5,8
"68",9,6,5,7,6,7,3,7,6,8
"69",6,10,8,1,10,1,3,1,10,9
"70",7,8,3,2,8,2,9,2,8,4
"71",10,2,9,6,2,6,8,6,2,7
"72",1,6,3,2,6,2,5,2,6,4
"73",1,4,3,7,4,7,6,7,4,8
"74",1,4,5,6,4,6,3,6,4,2
"75",8,4,3,6,4,6,5,6,4,2
"76",6,1,5,4,1,4,7,4,1,2
"77",6,3,4,5,3,5,1,5,3,7
"78",10,8,3,2,8,2,1,2,8,9
"79",4,7,5,1,7,1,6,1,7,2
"80",4,2,9,5,2,5,3,5,2,8
"81",1,2,3,4,2,4,7,4,9,10
"82",1,9,2,5,9,5,6,5,9,3
"83",8,7,1,5,7,5,6,5,7,2
"84",2,6,5,3,6,3,4,3,6,1
"85",7,6,2,1,6,1,3,1,6,5
"86",4,6,2,3,6,3,1,3,6,5
"87",4,2,10,1,2,1,11,1,2,6
"88",8,4,2,10,4,10,6,10,4,3
"89",4,5,3,9,5,9,6,9,5,2
"90",8,2,9,3,2,3,5,3,2,4
"91",3,8,5,7,8,7,4,7,8,1
"92",4,3,6,1,3,1,2,1,3,5
"93",2,3,4,6,3,6,1,6,3,5
"94",1,6,5,2,6,2,7,2,6,4
"95",1,2,4,5,2,5,7,5,2,3
"96",7,5,6,3,5,3,4,3,5,1
"97",4,6,5,1,6,1,2,1,6,3
"98",4,3,2,1,3,1,7,1,3,6
"99",1,3,2,4,3,4,6,4,3,5
"100",6,2,5,1,2,1,7,1,2,3
