"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,4,2,1,7,2,5,1,4
"2",2,7,2,6,3,5,4,6,7
"3",4,6,4,2,5,3,1,2,6
"4",5,2,5,3,4,3,1,3,2
"5",1,2,1,6,7,4,3,6,2
"6",4,6,4,5,2,3,1,5,6
"7",6,5,6,7,4,5,3,7,5
"8",5,1,5,4,2,3,4,4,1
"9",7,1,7,3,5,4,4,3,1
"10",5,6,5,2,1,3,3,2,6
"11",8,3,8,7,5,6,1,7,3
"12",4,6,4,2,3,5,1,2,6
"13",2,6,2,8,3,6,1,8,6
"14",8,3,8,4,7,4,1,4,3
"15",3,1,3,6,5,7,2,6,1
"16",5,3,5,1,2,6,6,1,3
"17",6,2,6,4,1,8,5,4,2
"18",4,1,4,6,2,1,3,6,1
"19",1,3,1,6,8,2,2,6,3
"20",3,7,3,1,2,1,4,1,7
"21",2,3,2,4,7,8,1,4,3
"22",6,5,6,7,1,2,4,7,5
"23",1,5,1,6,3,2,6,6,5
"24",3,2,3,4,5,6,7,4,9
"25",2,5,2,4,3,1,1,4,5
"26",2,6,2,3,1,5,4,3,6
"27",3,5,3,7,4,6,2,7,5
"28",5,1,5,2,4,6,6,2,1
"29",2,1,2,7,5,6,3,7,1
"30",3,6,3,1,4,2,5,1,6
"31",6,5,6,2,1,7,4,2,5
"32",7,2,7,6,4,1,5,6,2
"33",2,3,2,4,1,7,6,4,3
"34",7,8,7,1,5,3,2,1,8
"35",3,2,3,4,5,6,7,4,9
"36",7,1,7,2,6,5,3,2,1
"37",7,4,7,1,3,5,2,1,4
"38",6,1,6,5,7,4,2,5,1
"39",1,6,1,5,4,8,2,5,6
"40",5,2,5,1,4,3,6,1,2
"41",4,1,4,6,3,2,2,6,1
"42",6,1,6,3,2,4,5,3,1
"43",2,3,2,5,6,1,4,5,3
"44",7,1,7,5,3,6,4,5,1
"45",4,6,4,5,3,1,2,5,6
"46",4,7,4,2,8,6,3,2,7
"47",8,2,8,5,7,1,4,5,2
"48",7,3,7,2,4,1,8,2,3
"49",3,7,3,5,2,1,6,5,7
"50",3,8,3,6,7,6,2,6,8
"51",1,6,1,4,5,3,2,4,6
"52",7,1,7,4,6,2,3,4,1
"53",1,2,1,4,3,5,4,4,2
"54",7,6,7,2,5,1,4,2,6
"55",1,5,1,6,4,4,2,6,5
"56",4,2,4,3,1,3,5,3,2
"57",4,1,4,3,5,4,6,3,1
"58",1,6,1,8,4,5,7,8,6
"59",1,3,1,4,6,7,2,4,3
"60",4,6,4,2,5,3,3,2,6
"61",6,3,6,2,4,6,5,2,3
"62",1,2,1,5,6,3,4,5,2
"63",1,7,1,3,6,2,4,3,7
"64",8,5,8,7,6,3,2,7,5
"65",6,7,6,2,5,1,1,2,7
"66",3,1,3,8,5,5,7,8,1
"67",7,2,7,1,5,6,3,1,2
"68",5,4,5,2,3,2,1,2,4
"69",6,8,6,5,1,2,4,5,8
"70",3,2,3,4,5,6,7,4,9
"71",8,6,8,2,7,3,4,2,6
"72",6,1,6,5,2,5,4,5,1
"73",4,6,4,5,2,7,7,5,6
"74",5,6,5,4,7,1,3,4,6
"75",5,6,5,3,1,7,4,3,6
"76",2,7,2,3,6,4,5,3,7
"77",4,5,4,3,1,3,2,3,5
"78",2,4,2,3,1,7,8,3,4
"79",6,7,6,4,3,7,5,4,7
"80",5,4,5,6,1,3,7,6,4
"81",1,5,1,6,2,3,3,6,5
"82",1,4,1,8,5,3,7,8,4
"83",4,5,4,3,6,8,7,3,5
"84",4,5,4,3,6,1,2,3,5
"85",7,2,7,3,4,6,1,3,2
"86",4,6,4,1,7,3,5,1,6
"87",4,1,4,3,5,2,6,3,1
"88",2,1,2,3,5,4,4,3,1
"89",7,2,7,4,5,3,1,4,2
"90",4,1,4,5,8,3,6,5,1
"91",5,6,5,3,1,4,7,3,6
"92",1,2,1,4,5,6,4,4,2
"93",5,2,5,6,4,2,1,6,2
"94",1,4,1,6,3,5,2,6,4
"95",6,4,6,3,5,2,1,3,4
"96",1,4,1,2,8,2,6,2,4
"97",1,3,1,7,2,4,6,7,3
"98",3,4,3,7,5,6,1,7,4
"99",3,1,3,2,5,6,6,2,1
"100",3,4,3,1,6,2,2,1,4
