"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4,5,4,5,3,1,6,5,5,2
"2",2,6,2,6,5,4,3,6,6,7
"3",5,4,5,4,7,1,3,4,4,2
"4",1,4,1,4,3,9,6,5,4,8
"5",2,1,2,1,4,3,9,7,1,3
"6",3,6,3,6,4,8,2,6,6,9
"7",7,3,7,3,4,1,9,2,3,8
"8",1,3,1,3,2,5,6,3,3,5
"9",2,4,2,4,9,3,7,1,4,1
"10",2,9,2,9,6,5,7,6,9,1
"11",3,2,3,2,8,7,5,6,2,4
"12",5,1,5,1,7,3,4,1,1,2
"13",4,7,4,7,5,2,1,6,7,3
"14",3,6,3,6,7,1,5,2,6,6
"15",7,4,7,4,8,6,1,2,4,5
"16",3,4,3,4,2,7,1,4,4,8
"17",5,4,5,4,2,6,7,4,4,6
"18",9,8,9,8,6,3,4,8,8,1
"19",4,5,4,5,8,3,2,6,5,1
"20",3,2,3,2,5,1,4,2,2,2
"21",2,9,2,9,6,5,4,9,9,8
"22",1,3,1,3,5,7,6,3,3,3
"23",2,4,2,4,1,5,7,4,4,4
"24",2,8,2,8,6,4,7,8,8,1
"25",2,7,2,7,3,4,6,1,7,5
"26",5,4,5,4,3,1,7,4,4,6
"27",3,4,3,4,2,8,6,2,4,1
"28",3,4,3,4,2,6,1,4,4,5
"29",1,3,1,3,7,8,2,3,3,3
"30",4,5,4,5,7,3,2,5,5,6
"31",2,5,2,5,6,4,3,1,5,1
"32",6,4,6,4,1,5,2,4,4,4
"33",7,5,7,5,3,2,4,5,5,1
"34",1,2,1,2,5,7,6,5,2,3
"35",3,5,3,5,6,4,2,8,5,1
"36",2,5,2,5,7,8,6,5,5,4
"37",3,7,3,7,1,4,2,7,7,2
"38",6,7,6,7,5,4,1,3,7,7
"39",2,8,2,8,6,5,7,8,8,1
"40",7,5,7,5,6,3,1,5,5,5
"41",4,7,4,7,6,2,9,7,7,2
"42",1,6,1,6,8,3,2,6,6,7
"43",1,2,1,2,4,3,5,2,2,3
"44",6,5,6,5,1,9,3,5,5,9
"45",9,8,9,8,1,5,6,7,8,7
"46",7,2,7,2,3,5,6,2,2,4
"47",5,4,5,4,2,6,3,4,4,4
"48",5,8,5,8,4,1,7,8,8,2
"49",3,7,3,7,6,9,5,7,7,1
"50",8,4,8,4,3,1,5,4,4,6
"51",9,4,9,4,6,5,8,4,4,3
"52",2,5,2,5,6,4,8,1,5,1
"53",1,4,1,4,3,6,7,4,4,2
"54",6,3,6,3,1,8,4,3,3,5
"55",3,1,3,1,5,2,4,5,1,2
"56",2,6,2,6,7,3,5,6,6,5
"57",5,7,5,7,1,2,3,7,7,7
"58",2,8,2,8,1,6,4,5,8,5
"59",8,3,8,3,1,4,5,4,3,9
"60",8,6,8,6,4,2,7,6,6,1
"61",4,7,4,7,1,6,5,2,7,6
"62",6,4,6,4,5,7,1,2,4,7
"63",1,3,1,3,6,5,4,3,3,5
"64",3,7,3,7,4,1,6,1,7,7
"65",6,8,6,8,9,3,4,7,8,7
"66",2,1,2,1,6,3,4,1,1,7
"67",3,7,3,7,8,6,2,9,7,7
"68",5,7,5,7,6,8,1,4,7,3
"69",2,4,2,4,5,1,7,3,4,4
"70",1,3,1,3,4,2,5,3,3,3
"71",6,3,6,3,8,5,1,2,3,2
"72",6,3,6,3,2,8,7,3,3,1
"73",1,2,1,2,4,5,6,2,2,3
"74",5,7,5,7,1,8,4,2,7,3
"75",5,4,5,4,6,1,7,4,4,3
"76",1,3,1,3,8,6,7,5,3,2
"77",2,1,2,1,5,8,9,1,1,3
"78",3,9,3,9,5,7,2,9,9,7
"79",8,7,8,7,4,6,5,2,7,2
"80",2,3,2,3,6,8,4,3,3,1
"81",1,5,1,5,2,6,4,5,5,5
"82",2,6,2,6,4,7,1,3,6,5
"83",1,7,1,7,4,6,2,7,7,2
"84",6,3,6,3,2,1,9,4,3,5
"85",5,8,5,8,1,6,2,8,8,7
"86",4,2,4,2,6,8,7,2,2,1
"87",6,2,6,2,3,5,1,4,2,5
"88",7,6,7,6,5,2,4,6,6,2
"89",3,7,3,7,6,1,2,5,7,4
"90",2,3,2,3,4,5,6,3,3,1
"91",1,6,1,6,5,3,2,6,6,3
"92",6,4,6,4,7,5,8,2,4,3
"93",4,5,4,5,3,8,7,3,5,2
"94",7,8,7,8,6,1,5,8,8,4
"95",2,4,2,4,7,1,5,4,4,2
"96",7,3,7,3,1,6,4,8,3,2
"97",3,1,3,1,6,2,4,1,1,1
"98",5,2,5,2,1,6,4,7,2,7
"99",2,5,2,5,6,7,1,5,5,5
"100",8,5,8,5,4,6,1,5,5,5
