"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,5,8,5,5,2,7,2
"2",6,3,1,3,3,5,4,2
"3",1,7,3,7,7,6,5,4
"4",6,5,3,5,5,8,1,4
"5",3,8,7,8,8,5,6,2
"6",8,1,4,1,1,6,2,3
"7",5,8,1,8,8,4,2,3
"8",2,4,1,4,4,5,3,5
"9",1,4,2,4,4,7,6,3
"10",8,6,5,6,6,7,4,3
"11",5,4,2,4,4,3,1,3
"12",3,2,6,2,2,1,4,5
"13",2,4,5,4,4,3,6,3
"14",3,5,2,5,5,1,4,7
"15",3,2,7,2,2,5,1,6
"16",7,3,4,3,3,2,8,1
"17",6,2,4,2,2,1,5,2
"18",8,1,3,1,1,5,7,2
"19",7,1,6,1,1,2,3,5
"20",6,1,2,1,1,3,5,2
"21",8,3,4,3,3,1,2,7
"22",5,8,7,8,8,2,1,3
"23",4,8,3,8,8,1,5,5
"24",5,6,3,6,6,2,1,4
"25",6,2,3,2,2,5,4,6
"26",1,8,4,8,8,3,7,5
"27",1,6,4,6,6,5,2,3
"28",6,2,4,2,2,1,3,1
"29",7,3,5,3,3,1,2,2
"30",3,5,4,5,5,2,1,6
"31",6,2,5,2,2,4,3,4
"32",1,2,3,2,2,4,6,6
"33",6,4,5,4,4,2,3,7
"34",2,1,3,1,1,5,6,4
"35",8,4,5,4,4,7,2,3
"36",8,5,7,5,5,2,1,3
"37",4,3,6,3,3,5,1,6
"38",1,3,6,3,3,5,4,2
"39",2,5,1,5,5,6,3,7
"40",3,6,1,6,6,2,4,4
"41",3,1,5,1,1,4,2,6
"42",8,4,5,4,4,1,7,2
"43",4,3,2,3,3,5,6,7
"44",6,1,7,1,1,3,5,3
"45",6,5,4,5,5,1,3,1
"46",1,5,3,5,5,2,4,2
"47",2,6,1,6,6,3,7,5
"48",4,2,1,2,2,6,5,3
"49",2,4,1,4,4,5,6,3
"50",3,1,2,1,1,5,7,4
"51",3,1,6,1,1,8,7,2
"52",4,2,5,2,2,3,6,6
"53",4,1,7,1,1,8,3,5
"54",3,1,4,1,1,6,5,7
"55",7,3,1,3,3,5,4,2
"56",4,5,6,5,5,2,3,2
"57",2,8,3,8,8,4,1,4
"58",4,1,6,1,1,2,5,3
"59",6,5,4,5,5,1,2,3
"60",6,2,4,2,2,1,3,5
"61",4,6,3,6,6,7,2,1
"62",5,4,1,4,4,3,2,3
"63",7,5,6,5,5,1,4,8
"64",7,2,5,2,2,3,1,3
"65",5,4,1,4,4,2,3,4
"66",3,4,6,4,4,1,2,5
"67",7,1,4,1,1,2,5,2
"68",1,4,3,4,4,2,5,6
"69",5,1,4,1,1,3,6,6
"70",4,2,3,2,2,5,7,1
"71",2,3,7,3,3,5,6,5
"72",6,5,4,5,5,2,1,3
"73",5,1,7,1,1,3,2,3
"74",5,1,4,1,1,7,3,3
"75",8,7,5,7,7,1,6,6
"76",2,4,6,4,4,1,3,5
"77",5,1,4,1,1,2,6,3
"78",6,4,1,4,4,3,2,2
"79",4,5,1,5,5,7,6,2
"80",8,3,4,3,3,7,2,3
"81",7,1,4,1,1,3,6,6
"82",1,7,2,7,7,3,5,3
"83",1,2,3,4,4,6,7,8
"84",7,2,3,2,2,6,4,5
"85",4,2,6,2,2,3,1,5
"86",6,2,3,2,2,4,5,1
"87",3,1,2,1,1,5,4,5
"88",1,5,3,5,5,2,8,4
"89",4,3,7,3,3,8,5,1
"90",3,5,4,5,5,2,1,1
"91",7,5,1,5,5,2,4,6
"92",4,5,6,5,5,2,1,7
"93",1,2,7,2,2,6,3,5
"94",4,2,1,2,2,7,3,5
"95",4,1,6,1,1,3,5,2
"96",1,6,5,6,6,8,7,4
"97",3,5,2,5,5,1,4,6
"98",4,6,3,6,6,7,2,2
"99",1,3,7,3,3,4,6,4
"100",2,4,5,4,4,6,7,3
