"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",7,3,1,2,2,4,4,5
"2",1,2,3,4,4,6,7,8
"3",5,8,6,2,2,3,4,3
"4",8,5,7,4,4,1,1,6
"5",5,2,1,4,4,7,7,8
"6",1,4,5,8,8,7,7,3
"7",1,2,3,4,4,6,7,8
"8",1,8,5,4,4,3,3,3
"9",5,1,3,7,7,4,4,8
"10",4,5,3,2,2,1,1,8
"11",1,2,3,4,4,6,7,8
"12",9,6,5,1,1,8,8,1
"13",4,6,2,3,3,7,7,7
"14",1,2,3,4,4,6,7,8
"15",5,2,4,7,7,8,8,7
"16",1,2,3,4,4,6,7,8
"17",1,2,3,4,4,6,7,8
"18",1,2,3,4,4,6,7,8
"19",4,5,2,6,6,1,1,3
"20",5,6,3,7,7,2,2,7
"21",4,3,6,8,8,7,7,1
"22",3,6,4,5,5,1,1,7
"23",3,1,2,7,7,8,8,5
"24",8,4,7,1,1,9,9,3
"25",5,3,4,9,9,7,7,6
"26",3,6,1,4,4,7,7,5
"27",5,3,4,1,1,7,7,1
"28",4,8,1,7,7,6,6,7
"29",1,2,3,4,4,6,7,8
"30",1,2,3,4,4,6,7,8
"31",1,2,3,4,4,6,7,8
"32",2,4,6,1,1,3,3,5
"33",1,2,3,4,4,6,7,8
"34",7,1,3,4,4,2,2,4
"35",1,4,5,2,2,6,6,3
"36",5,4,2,6,6,1,3,1
"37",1,2,3,4,4,6,7,8
"38",2,4,7,1,1,9,9,3
"39",1,2,3,4,4,6,7,8
"40",1,2,3,4,4,6,7,8
"41",6,7,5,1,1,9,3,9
"42",1,6,7,3,3,5,5,7
"43",2,3,6,1,1,4,4,4
"44",3,1,6,5,5,4,4,2
"45",1,7,3,2,2,4,4,4
"46",8,2,7,1,1,6,6,9
"47",7,8,2,3,3,6,6,6
"48",6,1,2,9,9,7,7,5
"49",1,2,3,4,4,6,7,8
"50",7,4,9,2,2,3,1,3
"51",5,8,7,3,3,9,1,9
"52",7,3,8,9,9,2,2,5
"53",1,2,3,4,4,6,7,8
"54",2,5,3,8,8,1,1,3
"55",1,2,3,4,4,6,7,8
"56",1,2,3,4,4,6,7,8
"57",1,2,3,4,4,6,7,8
"58",4,2,5,6,6,3,3,3
"59",2,5,6,9,9,3,3,1
"60",4,2,7,1,1,5,9,5
"61",3,4,5,8,8,7,7,8
"62",1,3,5,4,4,6,7,6
"63",1,5,7,3,3,4,4,4
"64",1,2,3,4,4,6,7,8
"65",1,2,3,4,4,6,7,8
"66",2,8,5,7,7,9,9,6
"67",1,2,3,4,4,6,7,8
"68",1,2,3,4,4,6,7,8
"69",1,2,3,4,4,6,7,8
"70",5,7,8,4,4,1,1,1
"71",1,2,3,4,4,6,7,8
"72",6,3,1,7,7,8,8,4
"73",3,2,6,7,7,1,1,5
"74",1,2,3,4,4,6,7,8
"75",4,5,1,6,6,2,2,1
"76",7,8,4,1,1,6,6,3
"77",6,3,8,5,5,2,2,7
"78",1,2,3,4,4,6,7,8
"79",3,8,1,2,2,7,5,7
"80",1,2,3,4,4,6,7,8
"81",1,2,6,3,3,4,4,3
"82",1,8,7,6,6,4,4,2
"83",1,2,3,4,4,6,7,8
"84",4,6,5,3,3,8,8,3
"85",7,4,5,6,6,1,2,1
"86",2,5,4,6,6,8,8,6
"87",1,2,3,4,4,6,7,8
"88",5,6,4,7,7,9,9,7
"89",1,2,3,4,4,6,7,8
"90",2,7,8,1,1,3,3,9
"91",3,6,5,1,1,4,4,2
"92",1,2,3,4,4,6,7,8
"93",3,5,8,9,9,2,6,2
"94",9,6,2,4,4,1,1,5
"95",9,6,7,8,8,1,1,1
"96",2,5,4,6,6,3,3,6
"97",6,4,2,1,1,3,3,2
"98",5,6,1,8,8,7,7,4
"99",2,1,5,3,3,4,4,3
"100",7,4,3,1,1,2,8,2
