"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,3,4,5,4,3,1
"2",1,2,3,4,5,4,7,8
"3",2,7,4,5,6,5,4,1
"4",1,2,3,4,5,4,7,8
"5",1,2,3,4,5,4,7,8
"6",8,6,7,4,1,4,7,7
"7",1,2,3,4,5,4,7,8
"8",1,2,3,4,5,4,7,8
"9",9,6,8,5,7,5,8,7
"10",1,2,3,4,5,4,7,8
"11",6,5,2,1,3,1,2,5
"12",1,2,3,4,5,4,7,8
"13",5,6,4,1,3,1,4,2
"14",5,7,8,3,2,3,8,1
"15",1,2,3,4,5,4,7,8
"16",1,2,3,4,5,4,7,8
"17",4,3,7,8,2,8,7,9
"18",2,4,6,5,3,5,6,4
"19",1,2,3,4,5,4,7,8
"20",2,3,5,6,4,6,5,6
"21",1,2,3,4,5,4,7,8
"22",1,7,6,4,5,4,6,5
"23",1,2,3,4,5,4,7,8
"24",6,7,4,3,5,3,4,1
"25",6,7,8,3,5,3,8,7
"26",3,7,2,4,6,4,2,1
"27",2,5,1,3,7,3,1,3
"28",1,2,3,4,5,4,7,8
"29",2,6,4,1,5,1,4,3
"30",5,3,4,2,1,2,4,3
"31",7,1,2,8,3,8,2,7
"32",4,7,6,1,5,1,6,5
"33",1,2,3,4,5,4,7,8
"34",7,4,1,3,8,3,1,3
"35",1,2,7,4,6,4,7,1
"36",6,3,1,4,2,4,1,6
"37",5,6,1,3,4,3,1,4
"38",3,2,1,6,4,6,1,3
"39",3,2,6,1,5,1,6,3
"40",1,7,4,3,5,3,4,6
"41",4,2,5,6,1,6,5,1
"42",8,5,4,1,6,1,4,8
"43",8,2,1,5,7,5,1,7
"44",6,1,8,3,4,3,8,2
"45",4,6,1,3,5,3,1,6
"46",2,3,8,6,5,6,8,1
"47",1,2,3,4,5,4,7,8
"48",1,5,7,3,4,3,7,5
"49",4,6,5,1,2,1,5,7
"50",1,2,3,4,5,4,7,8
"51",7,2,5,6,8,6,5,6
"52",1,5,4,2,6,2,4,3
"53",4,7,5,6,3,6,5,8
"54",4,5,3,1,2,1,3,3
"55",3,6,7,4,5,4,7,6
"56",4,5,3,2,1,2,3,4
"57",1,2,3,4,5,4,7,8
"58",3,2,5,7,4,7,5,2
"59",1,2,3,4,5,4,7,8
"60",3,7,2,5,1,5,2,2
"61",1,2,3,4,5,4,7,8
"62",6,9,5,7,2,7,5,4
"63",1,2,3,4,5,4,7,8
"64",2,3,5,6,4,6,5,1
"65",1,2,3,4,5,4,7,8
"66",3,5,6,2,7,2,6,1
"67",5,6,7,8,3,8,7,4
"68",5,2,1,3,4,3,1,4
"69",1,2,3,4,5,4,7,8
"70",7,1,4,2,3,2,4,4
"71",1,2,3,4,5,4,7,8
"72",1,2,3,4,5,4,7,8
"73",3,4,9,8,2,8,9,1
"74",4,5,2,7,1,7,2,7
"75",1,2,3,4,5,4,7,8
"76",1,2,3,4,5,4,7,8
"77",2,4,5,7,1,7,5,7
"78",4,6,1,2,3,2,1,5
"79",1,5,4,3,6,3,4,5
"80",8,4,3,2,1,2,3,7
"81",2,7,4,1,3,1,4,1
"82",1,2,3,4,5,4,7,8
"83",4,6,8,1,7,1,8,8
"84",1,2,3,4,5,4,7,8
"85",1,2,3,4,5,4,7,8
"86",1,2,3,4,5,4,7,8
"87",8,1,4,2,5,2,4,8
"88",2,7,1,3,5,3,1,5
"89",1,2,3,4,5,4,7,8
"90",6,1,7,3,5,3,7,2
"91",8,2,4,6,9,6,4,8
"92",7,5,2,6,1,6,2,6
"93",1,3,2,5,6,5,2,6
"94",1,2,3,4,5,4,7,8
"95",4,1,6,5,7,5,6,2
"96",4,6,7,5,2,5,7,5
"97",1,2,3,4,5,4,7,8
"98",1,2,3,4,5,4,7,8
"99",1,2,3,4,5,4,7,8
"100",8,2,1,7,6,7,1,6
