"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,3,6,2,6,8,8,8,8,6,8,8
"2",1,2,3,6,2,6,8,8,8,8,6,8,8
"3",1,2,3,6,2,6,8,8,8,8,6,8,8
"4",1,2,3,6,2,6,8,8,8,8,6,8,8
"5",1,2,3,6,2,6,8,8,8,8,6,8,8
"6",1,2,3,6,2,6,8,8,8,8,6,8,8
"7",1,2,3,6,2,6,8,8,8,8,6,8,8
"8",1,2,3,6,2,6,8,8,8,8,6,8,8
"9",1,2,3,6,2,6,8,8,8,8,6,8,8
"10",1,2,3,6,2,6,8,8,8,8,6,8,8
"11",1,2,3,6,2,6,8,8,8,8,6,8,8
"12",1,2,3,6,2,6,8,8,8,8,6,8,8
"13",1,2,3,6,2,6,8,8,8,8,6,8,8
"14",1,2,3,6,2,6,8,8,8,8,6,8,8
"15",1,2,3,6,2,6,8,8,8,8,6,8,8
"16",1,2,3,6,2,6,8,8,8,8,6,8,8
"17",1,2,3,6,2,6,8,8,8,8,6,8,8
"18",1,2,3,6,2,6,8,8,8,8,6,8,8
"19",1,2,3,6,2,6,8,8,8,8,6,8,8
"20",1,2,3,6,2,6,8,8,8,8,6,8,8
"21",1,2,3,6,2,6,8,8,8,8,6,8,8
"22",1,2,3,6,2,6,8,8,8,8,6,8,8
"23",1,2,3,6,2,6,8,8,8,8,6,8,8
"24",1,2,3,6,2,6,8,8,8,8,6,8,8
"25",1,2,3,6,2,6,8,8,8,8,6,8,8
"26",1,2,3,6,2,6,8,8,8,8,6,8,8
"27",1,2,3,6,2,6,8,8,8,8,6,8,8
"28",1,2,3,6,2,6,8,8,8,8,6,8,8
"29",1,2,3,6,2,6,8,8,8,8,6,8,8
"30",1,2,3,6,2,6,8,8,8,8,6,8,8
"31",1,2,3,6,2,6,8,8,8,8,6,8,8
"32",1,2,3,6,2,6,8,8,8,8,6,8,8
"33",1,2,3,6,2,6,8,8,8,8,6,8,8
"34",1,2,3,6,2,6,8,8,8,8,6,8,8
"35",1,2,3,6,2,6,8,8,8,8,6,8,8
"36",1,2,3,6,2,6,8,8,8,8,6,8,8
"37",1,2,3,6,2,6,8,8,8,8,6,8,8
"38",1,2,3,6,2,6,8,8,8,8,6,8,8
"39",1,2,3,6,2,6,8,8,8,8,6,8,8
"40",1,2,3,6,2,6,8,8,8,8,6,8,8
"41",1,2,3,6,2,6,8,8,8,8,6,8,8
"42",1,2,3,6,2,6,8,8,8,8,6,8,8
"43",1,2,3,6,2,6,8,8,8,8,6,8,8
"44",1,2,3,6,2,6,8,8,8,8,6,8,8
"45",1,2,3,6,2,6,8,8,8,8,6,8,8
"46",1,2,3,6,2,6,8,8,8,8,6,8,8
"47",1,2,3,6,2,6,8,8,8,8,6,8,8
"48",1,2,3,6,2,6,8,8,8,8,6,8,8
"49",1,2,3,6,2,6,8,8,8,8,6,8,8
"50",1,2,3,6,2,6,8,8,8,8,6,8,8
"51",1,2,3,6,2,6,8,8,8,8,6,8,8
"52",1,2,3,6,2,6,8,8,8,8,6,8,8
"53",1,2,3,6,2,6,8,8,8,8,6,8,8
"54",1,2,3,6,2,6,8,8,8,8,6,8,8
"55",1,2,3,6,2,6,8,8,8,8,6,8,8
"56",1,2,3,6,2,6,8,8,8,8,6,8,8
"57",1,2,3,6,2,6,8,8,8,8,6,8,8
"58",1,2,3,6,2,6,8,8,8,8,6,8,8
"59",1,2,3,6,2,6,8,8,8,8,6,8,8
"60",1,2,3,6,2,6,8,8,8,8,6,8,8
"61",1,2,3,6,2,6,8,8,8,8,6,8,8
"62",1,2,3,6,2,6,8,8,8,8,6,8,8
"63",1,2,3,6,2,6,8,8,8,8,6,8,8
"64",1,2,3,6,2,6,8,8,8,8,6,8,8
"65",1,2,3,6,2,6,8,8,8,8,6,8,8
"66",1,2,3,6,2,6,8,8,8,8,6,8,8
"67",1,2,3,6,2,6,8,8,8,8,6,8,8
"68",1,2,3,6,2,6,8,8,8,8,6,8,8
"69",1,2,3,6,2,6,8,8,8,8,6,8,8
"70",1,2,3,6,2,6,8,8,8,8,6,8,8
"71",1,2,3,6,2,6,8,8,8,8,6,8,8
"72",1,2,3,6,2,6,8,8,8,8,6,8,8
"73",1,2,3,6,2,6,8,8,8,8,6,8,8
"74",1,2,3,6,2,6,8,8,8,8,6,8,8
"75",1,2,3,6,2,6,8,8,8,8,6,8,8
"76",1,2,3,6,2,6,8,8,8,8,6,8,8
"77",1,2,3,6,2,6,8,8,8,8,6,8,8
"78",1,2,3,6,2,6,8,8,8,8,6,8,8
"79",1,2,3,6,2,6,8,8,8,8,6,8,8
"80",1,2,3,6,2,6,8,8,8,8,6,8,8
"81",1,2,3,6,2,6,8,8,8,8,6,8,8
"82",1,2,3,6,2,6,8,8,8,8,6,8,8
"83",1,2,3,6,2,6,8,8,8,8,6,8,8
"84",1,2,3,6,2,6,8,8,8,8,6,8,8
"85",1,2,3,6,2,6,8,8,8,8,6,8,8
"86",1,2,3,6,2,6,8,8,8,8,6,8,8
"87",1,2,3,6,2,6,8,8,8,8,6,8,8
"88",1,2,3,6,2,6,8,8,8,8,6,8,8
"89",1,2,3,6,2,6,8,8,8,8,6,8,8
"90",1,2,3,6,2,6,8,8,8,8,6,8,8
"91",1,2,3,6,2,6,8,8,8,8,6,8,8
"92",1,2,3,6,2,6,8,8,8,8,6,8,8
"93",1,2,3,6,2,6,8,8,8,8,6,8,8
"94",1,2,3,6,2,6,8,8,8,8,6,8,8
"95",1,2,3,6,2,6,8,8,8,8,6,8,8
"96",1,2,3,6,2,6,8,8,8,8,6,8,8
"97",1,2,3,6,2,6,8,8,8,8,6,8,8
"98",1,2,3,6,2,6,8,8,8,8,6,8,8
"99",1,2,3,6,2,6,8,8,8,8,6,8,8
"100",1,2,3,6,2,6,8,8,8,8,6,8,8
