"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"2",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"3",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"4",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"5",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"6",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"7",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"8",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"9",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"10",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"11",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"12",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"13",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"14",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"15",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"16",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"17",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"18",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"19",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"20",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"21",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"22",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"23",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"24",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"25",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"26",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"27",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
"28",1,2,2,12,5,6,7,8,9,11,11,12,13,14,17,16,17,18,19,20,21,8,23
