"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91"
"1",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"2",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"3",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"4",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"5",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"6",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"7",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"8",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"9",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"10",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"11",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"12",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"13",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"14",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"15",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"16",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"17",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"18",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"19",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"20",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"21",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"22",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"23",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"24",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"25",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"26",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"27",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"28",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"29",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"30",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"31",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"32",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"33",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
"34",1,29,23,27,23,23,7,8,21,10,12,12,13,14,15,16,17,18,39,10,21,23,23,23,23,26,27,28,29,30,23,26,33,34,26,38,37,38,39,40,23,23,43,54,45,23,47,72,26,50,51,52,54,54,26,56,23,23,59,60,61,23,63,64,65,66,30,23,69,1,88,72,23,38,75,76,77,88,79,23,63,23,83,26,26,26,26,88,89,39,23
