"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"2",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"3",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"4",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"5",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"6",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"7",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"8",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"9",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"10",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"11",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"12",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"13",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"14",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"15",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"16",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"17",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"18",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"19",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"20",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"21",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"22",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"23",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"24",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"25",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"26",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"27",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"28",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"29",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"30",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"31",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"32",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"33",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"34",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"35",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"36",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"37",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"38",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"39",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"40",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"41",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"42",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"43",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"44",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"45",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"46",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"47",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"48",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"49",18,24,29,4,5,24,24,16,16,16,16,16,16,16,16,16,4,18,24,16,21,24,24,24,1,26,24,24,29,30
"50",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"51",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"52",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"53",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
"54",18,24,29,4,5,24,24,15,15,15,15,15,15,15,15,15,4,18,24,15,21,24,24,24,1,26,24,24,29,30
