"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,2,2,4,5,5,7,8,2,13,13,13,13
"2",2,2,2,4,5,5,7,8,2,13,13,13,13
"3",2,2,2,4,5,5,7,8,2,13,13,13,13
"4",2,2,2,4,5,5,7,8,2,13,13,13,13
"5",2,2,2,4,5,5,7,8,2,13,13,13,13
"6",2,2,2,4,5,5,7,8,2,13,13,13,13
"7",2,2,2,4,5,5,7,8,2,13,13,13,13
"8",2,2,2,4,5,5,7,8,2,13,13,13,13
"9",2,2,2,4,5,5,7,8,2,13,13,13,13
"10",2,2,2,4,5,5,7,8,2,13,13,13,13
"11",2,2,2,4,5,5,7,8,2,13,13,13,13
"12",2,2,2,4,5,5,7,8,2,13,13,13,13
"13",2,2,2,4,5,5,7,8,2,13,13,13,13
"14",2,2,2,4,5,5,7,8,2,13,13,13,13
"15",2,2,2,4,5,5,7,8,2,13,13,13,13
"16",2,2,2,4,5,5,7,8,2,13,13,13,13
"17",2,2,2,4,5,5,7,8,2,13,13,13,13
"18",2,2,2,4,5,5,7,8,2,13,13,13,13
"19",2,2,2,4,5,5,7,8,2,13,13,13,13
"20",2,2,2,4,5,5,7,8,2,13,13,13,13
"21",2,2,2,4,5,5,7,8,2,13,13,13,13
"22",2,2,2,4,5,5,7,8,2,13,13,13,13
"23",2,2,2,4,5,5,7,8,2,13,13,13,13
"24",2,2,2,4,5,5,7,8,2,13,13,13,13
"25",2,2,2,4,5,5,7,8,2,13,13,13,13
"26",2,2,2,4,5,5,7,8,2,13,13,13,13
"27",2,2,2,4,5,5,7,8,2,13,13,13,13
"28",2,2,2,4,5,5,7,8,2,13,13,13,13
"29",2,2,2,4,5,5,7,8,2,13,13,13,13
"30",2,2,2,4,5,5,7,8,2,13,13,13,13
"31",2,2,2,4,5,5,7,8,2,13,13,13,13
"32",2,2,2,4,5,5,7,8,2,13,13,13,13
"33",2,2,2,4,5,5,7,8,2,13,13,13,13
"34",2,2,2,4,5,5,7,8,2,13,13,13,13
"35",2,2,2,4,5,5,7,8,2,13,13,13,13
"36",2,2,2,4,5,5,7,8,2,13,13,13,13
"37",2,2,2,4,5,5,7,8,2,13,13,13,13
"38",2,2,2,4,5,5,7,8,2,13,13,13,13
"39",2,2,2,4,5,5,7,8,2,13,13,13,13
"40",2,2,2,4,5,5,7,8,2,13,13,13,13
"41",2,2,2,4,5,5,7,8,2,13,13,13,13
"42",2,2,2,4,5,5,7,8,2,13,13,13,13
"43",2,2,2,4,5,5,7,8,2,13,13,13,13
"44",2,2,2,4,5,5,7,8,2,13,13,13,13
"45",2,2,2,4,5,5,7,8,2,13,13,13,13
"46",2,2,2,4,5,5,7,8,2,13,13,13,13
"47",2,2,2,4,5,5,7,8,2,13,13,13,13
"48",2,2,2,4,5,5,7,8,2,13,13,13,13
"49",2,2,2,4,5,5,7,8,2,13,13,13,13
"50",2,2,2,4,5,5,7,8,2,13,13,13,13
"51",2,2,2,4,5,5,7,8,2,13,13,13,13
"52",2,2,2,4,5,5,7,8,2,13,13,13,13
"53",2,2,2,4,5,5,7,8,2,13,13,13,13
"54",2,2,2,4,5,5,7,8,2,13,13,13,13
"55",2,2,2,4,5,5,7,8,2,13,13,13,13
"56",2,2,2,4,5,5,7,8,2,13,13,13,13
"57",2,2,2,4,5,5,7,8,2,13,13,13,13
"58",2,2,2,4,5,5,7,8,2,13,13,13,13
"59",2,2,2,4,5,5,7,8,2,13,13,13,13
"60",2,2,2,4,5,5,7,8,2,13,13,13,13
"61",2,2,2,4,5,5,7,8,2,13,13,13,13
"62",2,2,2,4,5,5,7,8,2,13,13,13,13
"63",2,2,2,4,5,5,7,8,2,13,13,13,13
"64",2,2,2,4,5,5,7,8,2,13,13,13,13
"65",2,2,2,4,5,5,7,8,2,13,13,13,13
"66",2,2,2,4,5,5,7,8,2,13,13,13,13
"67",2,2,2,4,5,5,7,8,2,13,13,13,13
"68",2,2,2,4,5,5,7,8,2,13,13,13,13
"69",2,2,2,4,5,5,7,8,2,13,13,13,13
"70",2,2,2,4,5,5,7,8,2,13,13,13,13
"71",2,2,2,4,5,5,7,8,2,13,13,13,13
"72",2,2,2,4,5,5,7,8,2,13,13,13,13
"73",2,2,2,4,5,5,7,8,2,13,13,13,13
"74",2,2,2,4,5,5,7,8,2,13,13,13,13
"75",2,2,2,4,5,5,7,8,2,13,13,13,13
"76",2,2,2,4,5,5,7,8,2,13,13,13,13
"77",2,2,2,4,5,5,7,8,2,13,13,13,13
"78",2,2,2,4,5,5,7,8,2,13,13,13,13
"79",2,2,2,4,5,5,7,8,2,13,13,13,13
"80",2,2,2,4,5,5,7,8,2,13,13,13,13
"81",2,2,2,4,5,5,7,8,2,13,13,13,13
"82",2,2,2,4,5,5,7,8,2,13,13,13,13
"83",2,2,2,4,5,5,7,8,2,13,13,13,13
"84",2,2,2,4,5,5,7,8,2,13,13,13,13
"85",2,2,2,4,5,5,7,8,2,13,13,13,13
"86",2,2,2,4,5,5,7,8,2,13,13,13,13
"87",2,2,2,4,5,5,7,8,2,13,13,13,13
"88",2,2,2,4,5,5,7,8,2,13,13,13,13
"89",2,2,2,4,5,5,7,8,2,13,13,13,13
"90",2,2,2,4,5,5,7,8,2,13,13,13,13
"91",2,2,2,4,5,5,7,8,2,13,13,13,13
"92",2,2,2,4,5,5,7,8,2,13,13,13,13
"93",2,2,2,4,5,5,7,8,2,13,13,13,13
"94",2,2,2,4,5,5,7,8,2,13,13,13,13
"95",2,2,2,4,5,5,7,8,2,13,13,13,13
"96",2,2,2,4,5,5,7,8,2,13,13,13,13
"97",2,2,2,4,5,5,7,8,2,13,13,13,13
"98",2,2,2,4,5,5,7,8,2,13,13,13,13
"99",2,2,2,4,5,5,7,8,2,13,13,13,13
"100",2,2,2,4,5,5,7,8,2,13,13,13,13
