"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,2,3,4,5,6,7,4,9
"2",3,2,3,4,5,6,7,4,9
"3",3,2,3,4,5,6,7,4,9
"4",3,2,3,4,5,6,7,4,9
"5",3,2,3,4,5,6,7,4,9
"6",3,2,3,4,5,6,7,4,9
"7",3,2,3,4,5,6,7,4,9
"8",3,2,3,4,5,6,7,4,9
"9",3,2,3,4,5,6,7,4,9
"10",3,2,3,4,5,6,7,4,9
"11",3,2,3,4,5,6,7,4,9
"12",3,2,3,4,5,6,7,4,9
"13",3,2,3,4,5,6,7,4,9
"14",3,2,3,4,5,6,7,4,9
"15",3,2,3,4,5,6,7,4,9
"16",3,2,3,4,5,6,7,4,9
"17",3,2,3,4,5,6,7,4,9
"18",3,2,3,4,5,6,7,4,9
"19",3,2,3,4,5,6,7,4,9
"20",3,2,3,4,5,6,7,4,9
"21",3,2,3,4,5,6,7,4,9
"22",3,2,3,4,5,6,7,4,9
"23",3,2,3,4,5,6,7,4,9
"24",3,2,3,4,5,6,7,4,9
"25",3,2,3,4,5,6,7,4,9
"26",3,2,3,4,5,6,7,4,9
"27",3,2,3,4,5,6,7,4,9
"28",3,2,3,4,5,6,7,4,9
"29",3,2,3,4,5,6,7,4,9
"30",3,2,3,4,5,6,7,4,9
"31",3,2,3,4,5,6,7,4,9
"32",3,2,3,4,5,6,7,4,9
"33",3,2,3,4,5,6,7,4,9
"34",3,2,3,4,5,6,7,4,9
"35",3,2,3,4,5,6,7,4,9
"36",3,2,3,4,5,6,7,4,9
"37",3,2,3,4,5,6,7,4,9
"38",3,2,3,4,5,6,7,4,9
"39",3,2,3,4,5,6,7,4,9
"40",3,2,3,4,5,6,7,4,9
"41",3,2,3,4,5,6,7,4,9
"42",3,2,3,4,5,6,7,4,9
"43",3,2,3,4,5,6,7,4,9
"44",3,2,3,4,5,6,7,4,9
"45",3,2,3,4,5,6,7,4,9
"46",3,2,3,4,5,6,7,4,9
"47",3,2,3,4,5,6,7,4,9
"48",3,2,3,4,5,6,7,4,9
"49",3,2,3,4,5,6,7,4,9
"50",3,2,3,4,5,6,7,4,9
"51",3,2,3,4,5,6,7,4,9
"52",3,2,3,4,5,6,7,4,9
"53",3,2,3,4,5,6,7,4,9
"54",3,2,3,4,5,6,7,4,9
"55",3,2,3,4,5,6,7,4,9
"56",3,2,3,4,5,6,7,4,9
"57",3,2,3,4,5,6,7,4,9
"58",3,2,3,4,5,6,7,4,9
"59",3,2,3,4,5,6,7,4,9
"60",3,2,3,4,5,6,7,4,9
"61",3,2,3,4,5,6,7,4,9
"62",3,2,3,4,5,6,7,4,9
"63",3,2,3,4,5,6,7,4,9
"64",3,2,3,4,5,6,7,4,9
"65",3,2,3,4,5,6,7,4,9
"66",3,2,3,4,5,6,7,4,9
"67",3,2,3,4,5,6,7,4,9
"68",3,2,3,4,5,6,7,4,9
"69",3,2,3,4,5,6,7,4,9
"70",3,2,3,4,5,6,7,4,9
"71",3,2,3,4,5,6,7,4,9
"72",3,2,3,4,5,6,7,4,9
"73",3,2,3,4,5,6,7,4,9
"74",3,2,3,4,5,6,7,4,9
"75",3,2,3,4,5,6,7,4,9
"76",3,2,3,4,5,6,7,4,9
"77",3,2,3,4,5,6,7,4,9
"78",3,2,3,4,5,6,7,4,9
"79",3,2,3,4,5,6,7,4,9
"80",3,2,3,4,5,6,7,4,9
"81",3,2,3,4,5,6,7,4,9
"82",3,2,3,4,5,6,7,4,9
"83",3,2,3,4,5,6,7,4,9
"84",3,2,3,4,5,6,7,4,9
"85",3,2,3,4,5,6,7,4,9
"86",3,2,3,4,5,6,7,4,9
"87",3,2,3,4,5,6,7,4,9
"88",3,2,3,4,5,6,7,4,9
"89",3,2,3,4,5,6,7,4,9
"90",3,2,3,4,5,6,7,4,9
"91",3,2,3,4,5,6,7,4,9
"92",3,2,3,4,5,6,7,4,9
"93",3,2,3,4,5,6,7,4,9
"94",3,2,3,4,5,6,7,4,9
"95",3,2,3,4,5,6,7,4,9
"96",3,2,3,4,5,6,7,4,9
"97",3,2,3,4,5,6,7,4,9
"98",3,2,3,4,5,6,7,4,9
"99",3,2,3,4,5,6,7,4,9
"100",3,2,3,4,5,6,7,4,9
