"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,2,3,4,5,6,7,8,4,10
"2",3,2,3,4,5,6,7,8,4,10
"3",3,2,3,4,5,6,7,8,4,10
"4",3,2,3,4,5,6,7,8,4,10
"5",3,2,3,4,5,6,7,8,4,10
"6",3,2,3,4,5,6,7,8,4,10
"7",3,2,3,4,5,6,7,8,4,10
"8",3,2,3,4,5,6,7,8,4,10
"9",3,2,3,4,5,6,7,8,4,10
"10",3,2,3,4,5,6,7,8,4,10
"11",3,2,3,4,5,6,7,8,4,10
"12",3,2,3,4,5,6,7,8,4,10
"13",3,2,3,4,5,6,7,8,4,10
"14",3,2,3,4,5,6,7,8,4,10
"15",3,2,3,4,5,6,7,8,4,10
"16",3,2,3,4,5,6,7,8,4,10
"17",3,2,3,4,5,6,7,8,4,10
"18",3,2,3,4,5,6,7,8,4,10
"19",3,2,3,4,5,6,7,8,4,10
"20",3,2,3,4,5,6,7,8,4,10
"21",3,2,3,4,5,6,7,8,4,10
"22",3,2,3,4,5,6,7,8,4,10
"23",3,2,3,4,5,6,7,8,4,10
"24",3,2,3,4,5,6,7,8,4,10
"25",3,2,3,4,5,6,7,8,4,10
"26",3,2,3,4,5,6,7,8,4,10
"27",3,2,3,4,5,6,7,8,4,10
"28",3,2,3,4,5,6,7,8,4,10
"29",3,2,3,4,5,6,7,8,4,10
"30",3,2,3,4,5,6,7,8,4,10
"31",3,2,3,4,5,6,7,8,4,10
"32",3,2,3,4,5,6,7,8,4,10
"33",3,2,3,4,5,6,7,8,4,10
"34",3,2,3,4,5,6,7,8,4,10
"35",3,2,3,4,5,6,7,8,4,10
"36",3,2,3,4,5,6,7,8,4,10
"37",3,2,3,4,5,6,7,8,4,10
"38",3,2,3,4,5,6,7,8,4,10
"39",3,2,3,4,5,6,7,8,4,10
"40",3,2,3,4,5,6,7,8,4,10
"41",3,2,3,4,5,6,7,8,4,10
"42",3,2,3,4,5,6,7,8,4,10
"43",3,2,3,4,5,6,7,8,4,10
"44",3,2,3,4,5,6,7,8,4,10
"45",3,2,3,4,5,6,7,8,4,10
"46",3,2,3,4,5,6,7,8,4,10
"47",3,2,3,4,5,6,7,8,4,10
"48",3,2,3,4,5,6,7,8,4,10
"49",3,2,3,4,5,6,7,8,4,10
"50",3,2,3,4,5,6,7,8,4,10
"51",3,2,3,4,5,6,7,8,4,10
"52",3,2,3,4,5,6,7,8,4,10
"53",3,2,3,4,5,6,7,8,4,10
"54",3,2,3,4,5,6,7,8,4,10
"55",3,2,3,4,5,6,7,8,4,10
"56",3,2,3,4,5,6,7,8,4,10
"57",3,2,3,4,5,6,7,8,4,10
"58",3,2,3,4,5,6,7,8,4,10
"59",3,2,3,4,5,6,7,8,4,10
"60",3,2,3,4,5,6,7,8,4,10
"61",3,2,3,4,5,6,7,8,4,10
"62",3,2,3,4,5,6,7,8,4,10
"63",3,2,3,4,5,6,7,8,4,10
"64",3,2,3,4,5,6,7,8,4,10
"65",3,2,3,4,5,6,7,8,4,10
"66",3,2,3,4,5,6,7,8,4,10
"67",3,2,3,4,5,6,7,8,4,10
"68",3,2,3,4,5,6,7,8,4,10
"69",3,2,3,4,5,6,7,8,4,10
"70",3,2,3,4,5,6,7,8,4,10
"71",3,2,3,4,5,6,7,8,4,10
"72",3,2,3,4,5,6,7,8,4,10
"73",3,2,3,4,5,6,7,8,4,10
"74",3,2,3,4,5,6,7,8,4,10
"75",3,2,3,4,5,6,7,8,4,10
"76",3,2,3,4,5,6,7,8,4,10
"77",3,2,3,4,5,6,7,8,4,10
"78",3,2,3,4,5,6,7,8,4,10
"79",3,2,3,4,5,6,7,8,4,10
"80",3,2,3,4,5,6,7,8,4,10
"81",3,2,3,4,5,6,7,8,4,10
"82",3,2,3,4,5,6,7,8,4,10
"83",3,2,3,4,5,6,7,8,4,10
"84",3,2,3,4,5,6,7,8,4,10
"85",3,2,3,4,5,6,7,8,4,10
"86",3,2,3,4,5,6,7,8,4,10
"87",3,2,3,4,5,6,7,8,4,10
"88",3,2,3,4,5,6,7,8,4,10
"89",3,2,3,4,5,6,7,8,4,10
"90",3,2,3,4,5,6,7,8,4,10
"91",3,2,3,4,5,6,7,8,4,10
"92",3,2,3,4,5,6,7,8,4,10
"93",3,2,3,4,5,6,7,8,4,10
"94",3,2,3,4,5,6,7,8,4,10
"95",3,2,3,4,5,6,7,8,4,10
"96",3,2,3,4,5,6,7,8,4,10
"97",3,2,3,4,5,6,7,8,4,10
"98",3,2,3,4,5,6,7,8,4,10
"99",3,2,3,4,5,6,7,8,4,10
"100",3,2,3,4,5,6,7,8,4,10
