"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1
"3",4,1,1,5,3,2,2,2,2,2,8,2,7,6,2,6,6,2,2,2,2,2,2
"4",3,5,5,2,4,3,3,3,3,4,1,3,3,4,3,4,4,3,3,3,3,3,3
"5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"6",2,2,2,4,2,2,2,2,2,4,2,2,1,5,2,3,5,2,2,2,2,2,2
"7",2,2,3,6,4,2,2,2,2,6,5,2,1,7,2,2,7,2,7,2,2,2,2
"8",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"9",2,1,1,5,6,6,6,6,6,5,2,6,4,1,6,3,1,6,6,6,6,6,6
"10",4,2,2,4,5,5,5,5,5,5,6,5,3,2,5,1,1,4,5,5,6,5,5
"11",5,2,2,1,4,5,5,5,5,7,1,5,5,6,5,6,6,5,5,5,5,3,1
"12",2,2,4,6,1,2,2,2,2,5,2,2,3,5,2,5,5,2,2,2,2,2,2
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"14",3,4,4,5,6,3,3,3,3,3,3,3,1,2,3,2,2,3,2,3,3,3,3
"15",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"16",2,3,3,4,5,2,2,2,2,6,2,2,1,6,2,6,6,2,2,2,2,2,2
"17",3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,4,3,3,3,3,3,3,3
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",6,6,7,3,4,6,6,6,6,3,6,6,5,1,6,2,1,6,6,6,6,6,6
"20",1,2,3,4,6,2,2,2,2,4,2,2,2,5,2,7,5,2,2,2,2,2,2
"21",2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
"22",2,2,1,3,2,2,2,2,2,5,2,2,4,5,2,5,5,2,2,2,2,2,2
"23",8,6,6,2,7,8,8,8,8,5,8,8,1,3,8,4,3,8,8,8,8,8,8
"24",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"25",2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"26",1,3,2,6,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3
"27",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",8,4,4,1,6,7,7,7,7,2,5,7,3,2,7,2,2,7,7,7,7,7,7
"29",6,7,7,2,5,4,4,4,4,3,4,4,1,3,4,3,3,4,4,4,4,4,4
"30",4,5,5,7,2,3,3,3,3,4,4,3,6,5,3,1,1,3,3,3,4,3,3
"31",3,3,1,2,4,3,3,3,3,3,3,3,3,5,3,5,5,3,3,3,3,3,3
"32",2,5,3,1,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
"33",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",2,1,1,4,2,2,2,2,2,4,2,2,2,4,2,3,4,2,2,2,2,2,2
"35",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"36",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"37",4,2,2,3,6,5,5,5,5,4,4,5,1,7,5,7,7,5,5,5,4,5,5
"38",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",6,3,5,4,2,3,3,3,3,3,3,3,1,2,3,3,2,3,3,3,3,3,3
"40",1,3,3,2,1,1,1,1,1,2,1,1,1,4,1,1,4,1,1,1,1,1,1
"41",1,4,4,1,2,3,3,3,3,1,3,3,3,2,3,3,2,3,3,3,3,3,3
"42",2,2,3,4,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2
"43",2,2,3,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2
"44",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"45",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"46",4,4,3,5,1,4,4,4,4,5,4,4,2,1,4,1,1,4,4,4,4,4,4
"47",2,3,3,4,5,2,2,2,2,2,2,2,1,5,2,5,5,2,2,2,2,2,2
"48",3,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"49",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"50",1,1,4,6,5,1,1,1,1,6,1,1,2,3,1,6,6,1,1,1,1,3,1
"51",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"52",1,1,5,4,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1
"53",2,3,3,6,4,2,2,2,2,5,2,2,1,5,2,5,5,2,2,2,2,2,2
"54",3,3,5,4,2,3,3,3,3,3,3,3,1,2,3,2,2,3,3,3,3,3,3
"55",1,1,4,7,6,1,1,1,1,1,1,1,2,3,1,5,3,1,3,1,1,1,1
"56",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",5,6,6,3,2,5,5,5,5,5,4,5,5,6,5,1,6,5,5,5,5,5,5
"58",5,5,2,3,4,5,5,5,5,4,5,5,1,4,5,4,4,5,5,5,5,5,5
"59",1,1,2,3,5,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1
"60",5,1,1,4,3,5,5,5,5,2,2,5,6,7,5,2,2,5,5,5,5,5,5
"61",6,5,3,5,4,5,5,5,5,5,5,5,5,2,5,5,2,5,5,5,5,1,5
"62",3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3
"63",4,1,1,3,5,6,6,6,6,6,4,6,6,1,6,2,1,6,6,6,6,6,6
"64",6,3,3,1,2,4,4,4,4,1,4,4,5,1,4,4,1,4,4,4,4,4,4
"65",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"66",2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",1,1,2,3,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,4,5,1
"69",1,6,6,2,3,4,4,4,4,1,4,4,5,3,4,3,3,4,4,4,4,4,4
"70",1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"71",3,7,7,6,1,3,3,3,3,6,4,3,3,2,3,5,2,3,3,3,3,3,3
"72",2,4,4,5,3,4,4,4,4,5,4,4,1,6,4,5,5,4,4,4,4,4,4
"73",3,2,2,7,6,3,3,3,3,5,1,3,4,5,3,5,5,3,3,3,3,3,3
"74",4,4,2,1,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4
"75",5,4,4,5,2,1,1,1,1,5,1,1,3,2,1,2,2,1,1,1,1,1,1
