"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",1,2,2,1,2,2,5,7,1,7,7,7,7,7,7,7,1,1,4,1,1,1,1,1,5,3,5,6,2,2
"2",3,4,4,3,6,4,1,6,3,6,6,6,6,6,6,6,3,3,6,4,3,3,3,3,1,2,1,5,4,4
"3",7,1,6,7,6,6,5,6,7,6,6,6,6,6,6,6,7,7,4,7,7,7,7,7,5,3,5,2,6,6
"4",2,3,3,2,3,3,3,3,3,2,3,2,2,2,2,2,1,2,3,3,2,3,3,3,3,3,3,3,3,3
"5",1,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,1,1,4,5,4,2,3,3
"6",4,5,5,4,5,5,2,1,4,1,1,1,1,1,1,1,4,4,3,4,4,4,4,4,2,7,2,6,5,5
"7",7,2,6,7,6,6,5,6,6,6,6,6,6,6,6,6,7,7,1,6,7,7,7,7,5,4,5,3,6,6
"8",3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,3,5,3,3,3,3,3,3,1,3,4,2,3
"9",3,2,2,3,2,2,2,2,2,3,2,3,3,3,3,3,1,3,2,3,3,2,2,2,2,2,2,2,2,3
"10",5,3,3,5,3,3,5,6,5,6,6,6,6,6,6,6,5,5,4,5,5,5,5,5,5,1,5,2,3,3
"11",1,5,4,1,4,4,2,4,1,4,4,4,4,4,4,4,1,1,1,4,1,1,1,1,2,3,2,1,4,4
"12",1,1,2,1,2,2,6,5,5,5,5,5,5,5,5,5,1,1,7,1,1,1,1,1,6,3,6,4,2,1
"13",6,6,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,6,3,1,6,6,6,6,1,5,1,2,4,4
"14",2,2,5,2,5,5,3,1,2,1,1,1,1,1,1,1,2,2,5,1,2,2,2,2,3,4,3,2,5,2
"15",3,4,4,3,4,4,2,5,5,5,5,5,5,5,5,5,3,3,1,4,3,3,3,3,2,4,2,3,4,4
"16",1,1,5,1,5,5,3,3,3,3,3,3,3,3,3,3,1,1,6,1,1,1,1,1,3,4,3,2,5,1
"17",6,2,2,6,2,2,4,7,7,7,7,7,7,7,7,7,6,6,1,6,6,6,6,6,4,3,4,5,2,2
"18",2,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,1,4,1,2,3,3
"19",3,3,6,3,6,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,1,5,2,6,6
"20",4,2,2,4,2,2,5,6,6,6,6,6,6,6,6,6,4,4,3,2,4,4,4,4,5,2,5,1,2,2
"21",2,2,5,2,5,5,4,5,4,5,5,5,5,5,5,5,2,2,1,5,2,2,2,2,4,3,4,2,5,2
"22",1,1,3,1,4,3,2,1,3,1,3,3,3,3,3,3,1,1,4,1,1,1,1,1,2,4,2,1,3,1
"23",2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,3,1,1,1,1,1
"24",3,2,2,3,2,2,2,2,3,3,1,3,3,3,3,3,4,3,2,3,3,2,2,2,2,5,2,2,2,2
"25",1,2,2,1,2,2,5,1,4,4,4,4,4,4,4,4,1,1,3,1,1,1,1,1,5,6,5,7,2,2
"26",2,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,2,2,1,5,2,2,2,2,2,4,2,3,5,2
"27",2,2,3,2,3,3,1,5,5,5,5,5,5,5,5,5,2,2,4,5,2,2,2,2,1,5,1,2,3,2
"28",5,5,3,5,3,3,4,3,3,3,3,3,3,3,3,3,5,5,2,3,5,5,5,5,4,1,4,6,3,5
"29",2,1,1,1,6,1,4,5,5,5,5,5,5,5,5,5,1,2,6,2,2,2,2,2,4,6,4,3,1,1
"30",1,5,5,1,5,5,6,6,6,6,6,6,6,6,6,6,1,1,3,1,1,1,1,1,6,4,6,2,5,5
"31",2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2
"32",4,7,3,4,3,3,2,3,4,3,3,3,3,3,3,3,4,4,6,4,4,4,4,4,2,1,2,5,3,3
"33",1,1,5,1,5,5,2,5,1,5,5,5,5,5,5,5,1,1,3,5,1,1,1,1,2,4,2,1,5,1
"34",6,4,4,6,4,4,6,2,2,2,2,2,2,2,2,2,6,6,5,6,6,6,6,6,6,1,6,3,4,4
