"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",6,1,5,2,2,1,2,4,2,1,5,3,2,6,1,5,3,1,2,1,2,1,3,2,2
"2",7,6,5,4,4,6,5,2,4,6,5,3,4,7,6,5,3,6,5,6,4,6,3,1,4
"3",1,4,2,4,3,4,3,5,4,4,2,3,3,1,4,2,3,4,3,4,3,4,3,3,3
"4",1,2,3,2,5,2,5,4,2,2,3,6,5,1,2,3,6,2,5,6,5,2,5,5,5
"5",2,5,4,5,1,5,1,3,5,5,5,1,1,2,5,4,1,5,1,5,1,5,1,1,1
"6",2,3,1,3,4,3,4,5,3,3,1,4,4,2,3,1,4,3,4,3,4,3,4,4,4
"7",2,1,5,1,4,1,5,6,1,1,5,4,4,2,1,5,4,1,4,5,4,1,4,3,4
"8",5,2,1,2,2,5,2,4,2,2,1,6,2,5,6,1,6,5,2,7,2,2,6,3,2
"9",1,2,2,2,4,2,4,3,2,2,2,4,4,1,2,2,4,2,2,2,2,2,4,4,4
"10",2,1,5,1,4,1,4,4,1,1,5,3,4,2,1,5,3,1,4,3,4,1,3,4,4
"11",5,5,3,2,2,5,2,4,2,5,5,1,2,5,5,3,1,5,3,5,2,5,1,6,2
"12",3,6,2,6,1,6,2,5,6,6,2,4,1,3,6,2,4,6,1,4,1,6,4,1,1
"13",4,2,5,2,3,2,3,1,2,2,5,3,3,4,2,5,3,2,3,2,3,2,3,3,3
"14",5,5,5,5,2,5,2,1,5,2,5,3,2,5,3,5,3,5,5,3,2,2,3,4,2
"15",2,3,1,3,4,3,4,5,3,3,1,4,4,2,3,1,4,3,1,3,4,3,4,4,4
"16",1,3,5,3,4,3,4,2,3,3,5,4,4,1,3,5,4,3,4,3,4,3,4,4,4
"17",4,2,1,2,5,2,5,3,2,2,2,5,5,4,2,1,5,2,5,2,5,2,5,5,5
"18",5,1,2,1,4,1,2,3,1,1,2,4,4,5,1,2,4,1,2,1,4,1,4,4,4
"19",1,1,2,1,3,1,2,4,1,1,2,3,3,1,1,2,3,1,2,1,3,1,3,3,3
"20",1,3,4,3,3,3,3,6,3,3,4,5,3,1,5,4,5,3,3,1,3,3,5,2,3
"21",7,1,2,3,3,1,2,5,3,1,2,6,3,7,1,2,6,1,3,1,3,1,6,4,3
"22",4,1,5,1,2,1,2,3,1,1,5,5,2,4,1,5,2,1,5,5,2,1,2,2,2
"23",2,1,6,1,5,1,5,3,1,1,6,5,5,2,1,6,5,1,6,1,5,1,5,4,5
"24",3,2,4,2,6,2,4,5,2,2,4,6,6,3,2,4,6,2,6,2,6,2,6,1,6
"25",3,2,6,2,1,2,1,4,2,2,2,5,1,3,2,2,1,2,1,5,1,2,1,7,1
"26",5,1,4,1,2,1,2,3,1,1,4,2,2,5,1,4,2,1,2,1,2,1,2,2,2
"27",1,7,4,5,5,7,4,3,5,7,4,6,5,1,7,4,6,7,4,7,5,7,6,2,5
"28",6,4,1,4,3,4,3,5,4,4,4,3,3,6,4,1,3,4,3,4,3,4,3,2,3
"29",4,2,1,2,3,2,3,5,2,2,3,3,3,4,2,1,3,2,3,2,3,2,3,3,3
"30",3,4,5,4,2,4,5,1,4,4,5,3,2,3,4,5,3,4,2,4,2,4,2,2,2
"31",4,2,3,2,1,2,1,1,2,2,2,1,1,4,2,3,1,2,1,2,1,2,1,1,1
"32",6,3,4,3,1,3,1,5,3,3,3,1,1,6,3,4,1,3,1,3,1,3,1,2,1
"33",1,1,3,1,2,1,2,2,1,1,3,2,2,1,1,3,2,1,2,1,2,1,2,2,2
"34",1,2,2,2,3,2,2,4,2,2,3,5,3,1,5,2,5,2,2,2,3,2,5,3,3
"35",1,6,6,6,5,6,5,2,6,6,3,1,5,1,6,6,1,6,6,6,5,6,5,4,5
"36",4,4,1,4,2,4,2,3,4,4,1,2,2,4,4,1,2,4,2,4,2,4,2,2,2
"37",6,1,5,1,2,1,5,3,1,1,5,2,2,6,1,5,2,1,2,1,2,1,2,4,2
"38",1,5,7,5,2,5,7,3,5,5,7,6,2,1,5,7,6,5,7,6,2,5,6,4,2
"39",5,2,3,3,3,2,3,1,3,2,3,4,3,5,2,2,4,2,3,2,3,2,4,3,3
"40",3,1,2,1,2,1,2,5,1,1,1,4,2,3,1,2,4,1,2,1,2,1,4,2,2
"41",1,1,5,1,4,1,5,2,1,1,5,4,4,1,1,5,4,1,5,1,4,1,4,3,4
"42",4,3,6,3,6,3,6,5,3,3,6,1,6,4,3,6,1,3,6,3,6,3,1,2,6
"43",3,1,4,1,2,1,2,5,1,1,4,2,2,3,1,4,2,1,2,1,2,1,2,2,2
"44",4,1,3,1,3,1,3,2,1,1,1,4,3,4,1,3,4,1,3,1,1,1,3,3,3
"45",3,4,1,4,2,4,2,5,4,4,1,2,2,3,4,1,2,4,2,4,2,4,2,2,2
"46",4,1,5,1,1,1,5,3,1,1,5,5,1,4,1,5,5,1,1,5,1,1,5,2,1
"47",2,2,4,2,3,2,3,1,2,2,3,5,3,2,2,3,5,2,3,2,3,2,3,3,3
"48",2,5,3,1,1,5,1,4,1,5,3,2,1,2,5,3,2,5,3,3,1,5,2,1,1
"49",1,1,2,1,2,1,2,3,1,1,2,5,2,1,5,2,5,1,2,1,2,1,5,4,2
"50",3,4,6,4,2,4,2,5,4,4,6,1,2,3,4,6,2,4,2,1,2,4,2,2,2
"51",5,1,7,1,3,1,7,4,1,1,7,2,3,5,1,7,2,1,7,2,3,1,2,6,3
"52",2,3,3,3,4,3,3,1,3,3,3,2,4,2,3,3,2,3,4,3,4,3,4,4,4
"53",1,2,5,4,4,2,4,3,4,2,5,4,4,1,2,5,4,2,4,2,4,2,4,4,4
"54",5,6,1,6,2,6,2,3,6,6,1,2,2,5,6,1,2,6,1,6,2,6,2,4,2
"55",3,3,4,3,3,3,3,3,3,3,4,2,3,1,2,4,2,3,3,1,3,3,2,3,3
"56",3,3,2,3,2,3,2,2,3,3,2,2,2,3,4,1,2,3,2,3,2,3,2,2,2
"57",4,5,5,2,2,4,2,6,2,5,5,1,2,4,5,5,1,5,5,5,5,5,1,3,2
"58",5,2,5,2,3,2,5,4,2,2,5,5,3,1,2,5,5,2,3,2,3,2,3,3,3
"59",4,3,2,3,1,3,2,2,3,3,3,1,1,4,3,2,1,3,1,3,1,3,1,5,1
"60",4,2,2,3,3,3,3,5,3,3,2,1,3,4,2,2,1,2,3,1,3,3,1,3,3
"61",4,3,3,3,2,3,3,2,3,3,3,2,2,4,3,3,2,3,3,3,2,3,2,1,2
"62",5,1,4,1,3,1,3,2,1,1,4,3,3,5,1,4,3,1,3,1,3,1,3,3,3
"63",4,2,1,2,2,2,1,6,2,2,1,5,2,4,2,1,5,2,1,4,2,2,5,3,2
"64",5,1,4,1,6,1,4,3,1,1,4,6,6,5,1,4,6,1,4,1,6,1,6,2,6
"65",3,5,1,5,4,5,4,2,5,5,5,4,4,3,5,1,4,5,4,5,4,5,4,4,4
"66",3,4,7,4,1,4,7,6,4,4,7,2,1,3,4,7,2,4,1,2,1,4,2,5,1
"67",4,3,1,3,5,3,1,2,3,3,1,1,5,4,3,1,1,3,5,3,5,3,5,5,5
"68",1,2,5,6,6,2,6,7,6,2,5,3,6,1,2,5,3,2,6,2,6,2,3,4,6
"69",2,1,5,1,3,1,3,4,1,1,1,3,3,2,1,5,3,1,3,1,3,1,3,3,3
"70",5,2,5,2,4,2,5,1,2,2,5,5,4,5,2,5,5,2,5,2,4,2,4,3,4
"71",3,4,4,4,2,4,4,1,4,4,4,5,2,3,4,2,5,4,2,5,2,4,5,2,2
"72",2,6,7,4,4,6,7,1,4,6,7,5,4,2,6,7,5,6,4,6,4,6,5,3,4
"73",3,3,6,3,1,3,6,5,3,3,6,4,1,3,4,6,4,3,1,3,1,3,1,2,1
"74",6,5,3,5,2,5,2,4,5,5,3,2,2,6,5,3,2,5,2,5,2,5,2,1,2
"75",4,3,1,3,6,3,1,5,3,3,1,2,6,4,3,1,2,3,1,2,6,3,2,6,6
"76",2,2,1,2,3,2,3,3,2,2,2,3,3,2,2,1,3,2,3,2,3,2,3,3,3
"77",5,1,2,1,1,1,2,4,1,1,2,3,1,5,3,2,3,1,1,5,1,1,3,1,1
"78",1,2,4,4,4,2,4,3,4,2,4,5,4,1,2,4,5,2,4,2,4,2,5,4,4
"79",5,4,2,4,2,4,2,1,4,4,4,3,2,5,4,2,3,4,2,3,2,4,3,2,2
"80",1,2,5,2,4,2,4,3,2,2,2,4,4,1,2,5,4,2,5,2,4,2,4,6,4
"81",4,5,2,5,6,5,2,1,5,5,2,7,6,4,5,2,7,5,6,7,6,5,6,3,6
"82",4,4,1,4,1,4,1,2,4,4,1,3,1,4,3,1,3,4,1,4,1,4,3,1,1
"83",2,1,3,1,5,1,3,4,1,1,3,2,5,2,1,3,2,1,5,1,5,1,5,5,5
"84",4,4,1,4,2,4,2,3,4,4,1,2,2,4,4,1,2,4,2,4,2,4,2,2,2
"85",3,5,4,5,1,5,2,6,5,5,4,2,2,3,5,4,2,5,4,5,2,5,2,1,2
"86",4,2,5,3,3,2,5,1,3,2,5,5,3,4,2,5,5,2,3,5,3,2,5,3,3
"87",2,3,5,3,1,3,5,4,3,3,5,1,1,2,3,5,1,3,1,2,1,3,1,1,1
"88",2,2,4,2,3,2,4,1,2,2,4,5,3,2,5,4,5,2,3,2,3,2,5,3,3
"89",3,2,1,2,1,2,1,4,2,2,1,5,1,3,2,1,5,2,1,2,1,2,5,1,1
