"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",4,2,1,2,1,3,5,6,5,2,3
"2",1,2,4,2,4,3,5,6,5,2,3
"3",1,2,4,2,4,3,5,6,5,2,3
"4",1,4,2,4,2,4,5,6,5,4,3
"5",4,1,3,1,3,2,5,6,5,1,2
"6",1,3,2,3,2,4,5,6,5,3,4
"7",4,1,3,1,3,2,5,6,5,1,2
"8",3,2,4,2,4,1,5,6,5,2,1
"9",4,3,2,3,2,3,5,6,5,3,1
"10",1,4,3,4,3,4,5,6,5,4,2
"11",2,1,3,1,3,4,5,6,5,1,4
"12",4,2,1,2,1,3,5,6,5,2,3
"13",4,3,2,3,2,1,5,6,5,3,1
"14",3,2,4,2,4,1,5,6,5,2,1
"15",2,4,1,4,1,3,5,6,5,4,3
"16",1,2,4,2,4,3,5,6,5,2,3
"17",4,3,2,3,2,1,5,6,5,3,1
"18",1,3,2,3,2,4,5,6,5,3,4
"19",4,1,3,1,3,1,5,6,5,1,2
"20",3,4,2,4,2,1,5,6,5,4,1
"21",1,4,2,4,2,3,5,6,5,4,3
"22",3,4,2,4,2,1,5,6,5,4,1
"23",4,3,1,3,1,2,5,6,5,3,2
"24",1,3,4,3,4,2,5,6,5,3,2
"25",4,2,1,2,1,3,5,6,5,2,3
"26",3,2,1,2,1,2,5,6,5,2,4
"27",1,2,4,2,4,3,5,6,5,2,3
"28",1,4,2,4,2,3,5,6,5,4,3
"29",2,4,1,4,1,3,5,6,5,4,3
"30",1,3,4,3,4,2,5,6,5,3,2
"31",1,4,2,4,2,4,5,6,5,4,3
"32",2,1,4,1,4,3,5,6,5,1,3
"33",4,2,1,2,1,2,5,6,5,2,3
"34",3,4,2,4,2,4,5,6,5,4,1
"35",2,1,4,1,4,3,5,6,5,1,3
"36",1,2,4,2,4,2,5,6,5,2,3
"37",4,2,1,2,1,2,5,6,5,2,3
"38",3,2,4,2,4,2,5,6,5,2,1
"39",1,4,2,4,2,3,5,6,5,4,3
"40",1,4,3,4,3,2,5,6,5,4,2
"41",4,1,2,1,2,3,5,6,5,1,3
"42",3,4,1,4,1,2,5,6,5,4,2
"43",4,3,1,3,1,2,5,6,5,3,2
"44",3,1,2,1,2,4,5,6,5,1,4
"45",4,3,2,3,2,1,5,6,5,3,1
"46",4,2,3,2,3,2,5,6,5,2,1
"47",4,1,3,1,3,2,5,6,5,1,2
"48",3,1,4,1,4,2,5,6,5,1,2
"49",2,3,1,3,1,3,5,6,5,3,4
"50",2,1,4,1,4,3,5,6,5,1,3
"51",1,2,3,2,3,4,5,6,5,2,4
"52",4,1,3,1,3,2,5,6,5,1,2
"53",4,3,1,3,1,2,5,6,5,3,2
"54",3,2,4,2,4,2,5,6,5,2,1
"55",3,2,4,2,4,1,5,6,5,2,1
"56",4,2,3,2,3,1,5,6,5,2,1
"57",1,2,4,2,4,3,5,6,5,2,3
"58",4,2,3,2,3,2,5,6,5,2,1
"59",1,3,4,3,4,3,5,6,5,3,2
"60",4,3,1,3,1,2,5,6,5,3,2
"61",4,1,3,1,3,2,5,6,5,1,2
"62",1,4,2,4,2,3,5,6,5,4,3
"63",1,4,2,4,2,3,5,6,5,4,3
"64",3,1,2,1,2,1,5,6,5,1,4
"65",3,2,4,2,4,2,5,6,5,2,1
"66",1,4,2,4,2,3,5,6,5,4,3
"67",4,3,1,3,1,2,5,6,5,3,2
"68",3,1,4,1,4,2,5,6,5,1,2
"69",1,4,2,4,2,3,5,6,5,4,3
"70",1,3,2,3,2,3,5,6,5,3,4
"71",3,4,1,4,1,2,5,6,5,4,2
"72",1,3,2,3,2,3,5,6,5,3,4
"73",3,1,4,1,4,2,5,6,5,1,2
"74",4,1,3,1,3,2,5,6,5,1,2
"75",1,3,2,3,2,3,5,6,5,3,4
"76",1,3,2,3,2,3,5,6,5,3,4
"77",4,3,1,3,1,2,5,6,5,3,2
"78",1,3,2,3,2,4,5,6,5,3,4
"79",4,3,1,3,1,2,5,6,5,3,2
"80",1,3,4,3,4,2,5,6,5,3,2
"81",4,2,3,2,3,2,5,6,5,2,1
"82",1,3,4,3,4,3,5,6,5,3,2
"83",1,4,2,4,2,3,5,6,5,4,3
"84",4,3,2,3,2,1,5,6,5,3,1
"85",1,4,2,4,2,4,5,6,5,4,3
"86",1,2,4,2,4,3,5,6,5,2,3
"87",3,1,2,1,2,1,5,6,5,1,4
"88",4,2,3,2,3,1,5,6,5,2,1
"89",1,2,4,2,4,3,5,6,5,2,3
"90",2,4,1,4,1,3,5,6,5,4,3
"91",3,4,1,4,1,2,5,6,5,4,2
"92",4,2,3,2,3,2,5,6,5,2,1
"93",1,4,2,4,2,3,5,6,5,4,3
"94",4,1,3,1,3,2,5,6,5,1,2
"95",2,3,1,3,1,4,5,6,5,3,4
"96",3,2,4,2,4,1,5,6,5,2,1
"97",1,4,3,4,3,2,5,6,5,4,2
"98",4,3,2,3,2,1,5,6,5,3,1
"99",2,1,3,1,3,4,5,6,5,1,4
"100",1,2,3,2,3,4,5,6,5,2,4
