"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,1,4,2,1,2,1,5,5,3
"2",4,3,5,2,3,2,3,1,1,4
"3",3,5,1,2,5,2,5,4,4,3
"4",1,3,2,3,4,3,4,5,5,1
"5",3,5,4,5,1,5,1,2,2,3
"6",3,1,2,1,5,1,5,4,4,3
"7",5,3,4,3,2,3,2,1,1,5
"8",1,4,2,4,5,4,5,3,3,1
"9",2,5,3,1,5,1,5,4,4,2
"10",5,3,4,3,2,3,2,1,1,5
"11",1,5,2,5,4,5,4,3,3,1
"12",2,4,3,1,4,1,4,5,5,2
"13",4,5,3,5,1,5,1,2,2,4
"14",2,3,1,3,5,3,5,4,4,2
"15",1,4,2,4,3,4,3,5,5,1
"16",2,3,1,3,4,3,4,5,5,2
"17",4,2,3,2,1,2,1,5,5,4
"18",4,2,5,2,1,2,1,3,3,4
"19",3,1,4,5,1,5,1,2,2,3
"20",4,2,5,1,2,1,2,3,3,4
"21",2,5,1,4,5,4,5,3,3,2
"22",4,3,5,2,3,2,3,1,1,4
"23",3,5,4,5,1,5,1,2,2,3
"24",1,2,3,2,5,2,5,4,4,1
"25",3,4,2,5,4,5,4,1,1,3
"26",1,2,5,2,3,2,3,4,4,1
"27",3,5,2,5,4,5,4,1,1,3
"28",4,2,1,2,3,2,3,5,5,4
"29",3,1,4,1,2,1,2,5,5,3
"30",4,1,3,2,1,2,1,5,5,4
"31",2,5,3,5,4,5,4,1,1,2
"32",5,3,4,3,1,3,1,2,2,5
"33",4,5,3,5,2,5,2,1,1,4
"34",3,5,4,2,5,2,5,1,1,3
"35",4,2,5,3,2,3,2,1,1,4
"36",3,1,4,1,5,1,5,2,2,3
"37",3,5,4,5,1,5,1,2,2,3
"38",4,1,3,1,2,1,2,5,5,4
"39",3,4,2,4,1,4,1,5,5,3
"40",2,1,3,4,1,4,1,5,5,2
"41",3,1,4,1,5,1,5,2,2,3
"42",2,5,3,5,4,5,4,1,1,2
"43",4,1,3,1,2,1,2,5,5,4
"44",3,2,4,1,2,1,2,5,5,3
"45",5,3,4,1,3,1,3,2,2,5
"46",5,3,4,3,2,3,2,1,1,5
"47",4,1,5,2,1,2,1,3,3,4
"48",2,5,3,1,5,1,5,4,4,2
"49",3,1,2,1,4,1,4,5,5,3
"50",2,3,5,3,4,3,4,1,1,2
"51",2,3,1,3,5,3,5,4,4,2
"52",4,2,5,2,3,2,3,1,1,4
"53",1,3,2,4,3,4,3,5,5,1
"54",3,4,1,4,2,4,2,5,5,3
"55",2,3,1,3,5,3,5,4,4,2
"56",2,4,1,4,3,4,3,5,5,2
"57",1,3,2,4,3,4,3,5,5,1
"58",4,2,3,2,1,2,1,5,5,4
"59",4,5,3,5,1,5,1,2,2,4
"60",1,4,2,4,3,4,3,5,5,1
"61",1,3,2,4,3,4,3,5,5,1
"62",2,5,4,5,3,5,3,1,1,2
"63",4,1,3,2,1,2,1,5,5,4
"64",3,5,2,5,4,5,4,1,1,3
"65",3,5,4,5,1,5,1,2,2,3
"66",2,3,1,3,4,3,4,5,5,2
"67",4,1,5,1,3,1,3,2,2,4
"68",4,5,3,5,2,5,2,1,1,4
"69",1,4,2,4,3,4,3,5,5,1
"70",4,1,3,1,2,1,2,5,5,4
"71",4,5,3,1,5,1,5,2,2,4
"72",2,3,1,3,4,3,4,5,5,2
"73",3,1,4,2,1,2,1,5,5,3
"74",1,2,4,2,3,2,3,5,5,1
"75",4,5,3,2,5,2,5,1,1,4
"76",3,4,2,4,1,4,1,5,5,3
"77",3,1,2,1,4,1,4,5,5,3
"78",4,2,5,2,1,2,1,3,3,4
"79",3,1,4,1,5,1,5,2,2,3
"80",3,5,2,5,1,5,1,4,4,3
"81",3,2,4,1,2,1,2,5,5,3
"82",3,5,4,5,1,5,1,2,2,3
"83",3,2,1,2,4,2,4,5,5,3
"84",1,5,3,5,2,5,2,4,4,1
"85",3,1,2,1,5,1,5,4,4,3
"86",3,1,2,1,4,1,4,5,5,3
"87",1,4,2,5,4,5,4,3,3,1
"88",5,4,2,4,3,4,3,1,1,5
"89",2,4,3,4,1,4,1,5,5,2
"90",3,5,4,5,2,5,2,1,1,3
"91",4,5,3,5,1,5,1,2,2,4
"92",4,1,5,2,1,2,1,3,3,4
"93",5,3,4,3,1,3,1,2,2,5
"94",2,5,1,4,5,4,5,3,3,2
"95",4,3,5,2,3,2,3,1,1,4
"96",4,3,5,2,3,2,3,1,1,4
"97",2,3,1,3,5,3,5,4,4,2
"98",2,4,1,4,3,4,3,5,5,2
"99",4,5,3,2,5,2,5,1,1,4
"100",3,1,2,5,1,5,1,4,4,3
