"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",4,2,1,3,3,6,6,6,5
"2",4,2,3,5,5,2,2,2,1
"3",3,1,2,5,5,4,4,4,4
"4",2,1,3,5,5,5,4,4,1
"5",2,2,2,1,1,2,2,2,2
"6",2,2,2,1,1,2,2,2,2
"7",2,1,1,1,1,1,1,1,1
"8",3,1,1,2,1,1,1,1,1
"9",5,4,1,2,2,4,4,4,3
"10",1,1,2,1,1,1,1,1,2
"11",1,1,1,2,2,1,1,1,1
"12",2,4,5,3,3,4,4,4,1
"13",3,1,1,4,4,1,1,1,2
"14",2,2,2,1,1,2,2,2,2
"15",2,5,4,3,3,5,5,5,1
"16",2,2,3,1,1,2,2,2,2
"17",5,2,1,4,4,2,2,2,3
"18",5,4,3,1,1,1,1,1,2
"19",1,3,3,2,2,3,3,3,3
"20",5,1,3,4,4,2,2,2,2
"21",1,3,4,2,2,3,3,3,3
"22",1,1,1,1,2,1,1,1,1
"23",5,1,2,3,3,3,1,1,4
"24",1,4,2,5,5,4,4,4,3
"25",2,2,2,1,1,2,2,2,2
"26",4,3,1,5,5,3,3,3,2
"27",3,1,5,6,6,4,4,4,2
"28",3,2,4,6,6,1,1,1,5
"29",3,4,1,5,5,2,2,2,2
"30",2,3,3,1,1,3,3,3,3
"31",1,5,3,2,2,2,4,4,3
"32",1,2,4,3,3,2,2,2,2
"33",3,2,3,3,1,3,3,3,3
"34",1,2,4,3,3,2,2,2,2
"35",4,6,1,3,3,5,6,5,2
"36",3,1,2,6,6,4,4,4,5
"37",4,3,2,1,1,3,3,3,3
"38",3,1,5,2,2,4,1,4,6
"39",2,3,4,1,1,3,3,3,3
"40",3,2,2,1,2,2,2,2,2
"41",1,4,5,2,2,4,4,4,3
"42",2,2,2,1,2,2,2,2,2
"43",4,2,3,1,1,3,3,3,3
"44",1,3,2,4,4,3,3,3,2
"45",0,0,0,0,0,0,0,0,0
"46",1,5,2,6,6,3,3,3,4
"47",3,2,2,1,1,2,2,2,2
"48",2,1,1,3,3,1,1,1,4
"49",4,3,1,5,5,3,3,3,2
"50",2,4,1,3,3,5,5,5,6
"51",2,1,2,2,2,2,2,2,2
"52",2,1,3,6,6,4,4,4,5
"53",3,4,2,5,5,1,1,1,1
"54",1,2,4,5,5,2,2,2,3
"55",2,2,2,1,1,2,2,2,2
"56",2,1,4,3,3,5,5,5,4
"57",3,2,2,1,1,2,2,2,2
"58",4,1,2,5,5,3,3,3,2
"59",4,3,2,5,5,3,3,3,1
"60",4,2,3,1,1,2,2,2,5
"61",2,1,5,4,4,4,1,1,3
"62",3,3,2,1,1,3,3,3,3
"63",2,1,4,3,3,1,1,1,5
"64",4,2,2,1,1,3,3,3,2
"65",2,4,6,1,1,5,5,5,3
"66",1,1,1,2,2,1,1,1,1
"67",3,1,2,5,5,5,1,5,4
"68",1,2,2,3,3,2,2,2,2
"69",3,2,4,5,5,4,4,4,1
"70",2,6,4,5,5,1,1,1,3
"71",3,2,2,1,2,2,2,2,2
"72",2,2,2,1,1,2,2,2,2
"73",2,1,5,3,3,4,4,4,6
"74",2,2,2,1,1,2,2,2,3
"75",0,0,0,0,0,0,0,0,0
"76",3,1,2,4,4,1,1,1,1
"77",3,2,4,5,5,1,1,1,1
"78",1,4,3,5,5,1,1,1,2
"79",3,1,1,1,1,1,1,1,2
"80",2,4,3,1,1,2,2,2,2
"81",1,1,1,2,2,1,1,1,1
"82",5,2,4,6,6,1,1,1,3
"83",3,2,2,4,4,1,1,1,2
"84",2,1,2,2,2,2,2,2,2
"85",2,1,3,4,4,3,3,3,3
"86",4,3,5,1,1,2,2,2,6
"87",1,5,2,4,4,5,5,3,5
"88",1,1,1,2,2,1,1,1,1
"89",3,6,5,4,4,2,2,2,1
"90",1,3,3,2,3,3,3,3,3
"91",4,1,2,3,3,4,4,4,4
"92",3,2,3,1,1,3,3,3,3
"93",2,2,2,2,1,2,2,2,2
"94",1,4,5,3,3,1,1,1,2
"95",2,1,5,4,4,3,3,3,6
"96",5,3,4,1,1,2,2,2,2
"97",1,5,2,6,6,3,3,3,4
"98",2,2,2,1,1,2,2,2,2
"99",6,3,4,5,5,5,3,1,2
"100",4,3,1,5,5,2,2,2,2
