"","V1","V2","V3","V4","V5","V6","V7"
"1",2,1,3,3,1,2,2
"2",2,3,1,1,3,2,2
"3",1,2,3,3,2,1,1
"4",3,1,2,2,1,1,3
"5",2,1,3,3,1,2,2
"6",3,2,1,1,2,3,3
"7",3,2,1,1,2,3,3
"8",3,2,1,1,2,3,3
"9",2,1,3,3,1,2,2
"10",2,1,3,3,1,2,2
"11",2,3,1,1,3,2,2
"12",3,2,1,1,2,3,3
"13",2,3,1,1,3,2,2
"14",3,2,1,1,2,3,3
"15",2,1,3,3,1,2,2
"16",2,3,1,1,3,2,2
"17",3,2,1,1,2,3,3
"18",2,1,3,3,1,2,2
"19",1,2,3,3,2,1,1
"20",2,3,1,1,3,2,2
"21",2,1,3,3,1,2,2
"22",3,1,2,2,1,4,3
"23",2,1,3,3,1,2,2
"24",2,3,1,1,3,2,2
"25",2,3,1,1,3,2,2
"26",2,3,1,1,3,2,2
"27",2,1,3,3,1,2,2
"28",3,2,1,1,2,3,3
"29",2,3,1,1,3,2,2
"30",2,3,1,1,3,2,2
"31",2,3,1,1,3,2,2
"32",2,3,1,1,3,2,2
"33",2,1,3,3,1,2,2
"34",2,3,1,1,3,2,2
"35",3,2,1,1,2,3,3
"36",3,1,1,1,2,3,3
"37",3,1,4,4,1,2,3
"38",2,3,1,1,3,2,2
"39",3,2,1,1,2,3,3
"40",3,2,1,1,2,3,3
"41",3,1,4,4,1,2,3
"42",2,3,1,1,3,2,2
"43",3,2,1,1,2,3,3
"44",3,2,1,1,2,3,3
"45",2,3,1,1,3,2,2
"46",2,3,1,1,3,2,2
"47",2,3,1,1,3,2,2
"48",2,3,1,1,3,2,2
"49",3,2,1,1,2,3,3
"50",1,2,3,3,2,1,1
"51",3,2,1,1,2,3,3
"52",3,1,2,2,1,3,3
"53",2,1,3,3,1,2,2
"54",3,2,1,1,2,3,3
"55",2,3,1,1,3,2,2
"56",2,3,1,1,3,2,2
"57",2,3,1,1,3,2,2
"58",2,1,3,3,1,2,2
"59",1,2,3,3,2,1,1
"60",2,3,3,3,1,2,2
"61",2,3,1,1,3,2,2
"62",3,2,1,1,2,3,3
"63",2,1,3,3,1,2,2
"64",2,3,1,1,3,2,2
"65",2,1,3,3,1,2,2
"66",3,2,1,1,2,3,3
"67",1,2,1,1,2,1,1
"68",3,2,1,1,2,3,3
"69",1,2,3,3,2,1,1
"70",1,2,3,3,2,1,1
"71",1,2,3,3,2,1,1
"72",2,3,1,1,3,2,2
"73",2,1,3,3,1,2,2
"74",2,3,1,1,3,2,2
"75",1,2,3,3,2,1,1
"76",2,3,3,3,1,2,2
"77",2,1,3,3,1,2,2
"78",1,2,3,3,2,1,1
"79",2,1,3,3,1,2,2
"80",1,2,3,3,2,1,1
"81",2,1,3,3,1,2,2
"82",2,3,1,1,3,2,2
"83",2,3,1,1,3,2,2
"84",4,3,1,1,3,2,4
"85",1,2,3,3,2,1,1
"86",2,3,1,1,3,2,2
"87",3,2,1,1,2,3,3
"88",2,1,3,3,1,2,2
"89",1,2,1,1,2,1,1
"90",1,2,1,1,2,1,1
"91",2,1,3,3,1,2,2
"92",3,2,1,1,2,3,3
"93",1,2,3,3,2,1,1
"94",3,2,1,1,2,3,3
"95",1,2,3,3,2,1,1
"96",3,2,1,1,2,3,3
"97",1,2,3,3,2,1,1
"98",4,1,2,2,1,3,4
"99",1,2,3,3,2,1,1
"100",2,1,3,3,1,2,2
