"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",8,4,6,1,3,6,1,2,3,4,2,5,7
"2",8,5,6,2,4,6,2,4,4,5,7,1,3
"3",4,1,2,5,6,2,5,7,6,1,7,3,8
"4",4,3,8,7,1,8,7,6,1,3,6,5,2
"5",1,2,6,7,3,6,7,5,3,2,5,4,8
"6",3,4,6,5,8,6,5,2,8,4,2,1,7
"7",7,1,4,6,2,4,6,3,2,1,3,8,5
"8",5,2,1,3,8,1,3,7,8,2,7,4,6
"9",5,8,2,7,4,2,7,1,4,8,1,6,3
"10",1,3,6,4,8,6,4,5,8,3,5,7,2
"11",7,2,1,3,8,1,3,5,8,2,5,6,4
"12",7,5,2,8,3,2,8,4,1,1,3,9,6
"13",1,5,2,4,6,2,4,3,6,5,3,8,7
"14",6,7,5,8,3,5,8,3,3,7,4,1,2
"15",1,6,2,8,5,2,8,5,5,6,4,7,3
"16",2,1,4,3,7,4,3,6,7,1,6,8,5
"17",6,1,7,2,8,7,2,3,8,1,3,5,4
"18",6,7,5,1,8,5,1,8,8,7,4,2,3
"19",9,2,3,1,7,3,1,6,4,4,7,8,5
"20",7,1,8,6,2,8,6,3,9,9,2,4,5
"21",6,4,2,1,7,2,1,8,7,4,8,3,5
"22",5,7,2,4,8,6,4,6,1,7,6,3,1
"23",8,4,3,2,1,3,2,1,1,4,6,7,5
"24",7,4,5,3,6,5,3,8,2,4,6,1,2
"25",7,5,2,4,8,2,4,8,8,5,6,3,1
"26",4,8,1,7,2,1,7,5,6,8,2,3,6
"27",4,8,1,7,5,1,7,5,5,8,2,3,6
"28",3,5,2,6,8,2,6,7,8,5,7,1,4
"29",4,1,7,8,5,7,8,6,3,1,5,2,3
"30",1,5,2,6,8,4,6,4,8,5,4,3,7
"31",2,7,5,4,6,5,4,6,6,7,1,8,3
"32",4,1,6,5,7,6,5,7,7,1,3,8,2
"33",8,7,1,6,3,1,6,5,3,7,5,4,2
"34",1,3,4,5,6,4,5,6,6,3,2,8,7
"35",8,2,1,6,3,1,6,3,3,2,5,4,7
"36",5,1,4,3,2,4,3,2,2,1,8,7,6
"37",3,7,4,1,8,4,1,6,8,7,6,5,2
"38",7,1,4,6,8,3,6,3,2,1,8,5,2
"39",8,4,1,6,5,1,6,3,5,4,3,2,7
"40",5,3,2,7,1,2,7,6,1,3,6,4,8
"41",4,3,6,5,2,6,5,7,2,3,7,1,8
"42",5,7,1,8,3,1,8,4,3,7,4,6,2
"43",4,6,1,2,7,1,2,7,7,6,8,3,5
"44",2,4,5,3,1,5,3,6,1,4,6,8,7
"45",9,1,5,2,8,5,2,6,3,3,8,4,7
"46",4,2,3,1,7,3,1,7,7,2,5,6,8
"47",7,5,6,4,3,6,4,3,3,5,1,8,2
"48",8,6,1,4,2,1,4,7,5,6,2,3,5
"49",6,2,5,7,4,5,7,3,4,2,3,1,8
"50",1,8,2,3,6,2,3,4,5,8,6,7,5
"51",4,5,1,6,2,1,6,3,2,5,3,7,8
"52",4,5,2,7,6,2,7,1,6,5,1,3,8
"53",8,4,6,1,7,6,1,7,7,4,5,3,2
"54",8,7,1,3,2,1,3,2,2,7,4,5,6
"55",8,2,1,4,7,1,4,7,7,2,5,3,6
"56",4,5,3,8,6,3,8,7,1,5,6,2,1
"57",4,8,2,3,6,2,3,5,6,8,5,1,7
"58",6,7,4,5,8,4,5,8,8,7,1,3,2
"59",2,5,3,4,8,3,4,7,8,5,7,6,1
"60",2,3,6,4,9,6,4,7,8,8,9,1,5
"61",8,5,2,7,6,2,7,6,6,5,4,1,3
"62",7,8,6,3,1,6,3,1,1,8,2,5,4
"63",7,5,8,2,3,8,2,6,3,5,6,1,4
